arm,ensg,uniprot,pe,p_seq,soma_present,olink_present,ms_present,aff_abund_z,pep_n_unique
Media,ENSG00000172969,A6NGY1,3,0.5594133640620256,1,0,0,0.3628188503074767,5.0
Organoid,ENSG00000104818,Q6NT52,2,0.2138936222134085,1,0,0,0.3188222046144018,0.0
Organoid,ENSG00000163515,Q9BQ08,2,0.559007204616886,1,0,0,0.3046259282820783,2.0
Organoid,ENSG00000289549,F5H284,3,0.5239512496978023,1,0,0,0.30039051226788854,1.0
Organoid,ENSG00000260691,Q5TYW2,2,0.476030568218525,0,1,0,0.2779409582297946,2.0
Organoid,ENSG00000227729,P0DJH9,4,0.8237426231263987,1,0,0,0.2397544538999262,12.0
Media,ENSG00000256574,Q8NGR1,2,0.2779103236464567,1,0,0,0.2276908792897056,5.0
Organoid,ENSG00000165935,A6NFE2,2,0.8683374837064735,1,0,0,0.17158984355650347,16.0
Organoid,ENSG00000203870,A6NGZ8,3,0.5216669392861117,1,0,0,0.1654689365026183,2.0
Organoid,ENSG00000179240,Q3ZCU0,2,0.7530026705142961,1,0,0,0.11122183630666871,16.0
Organoid,ENSG00000119608,Q3B8N5,2,0.568111090973584,1,0,0,0.062326697285608156,29.0
Organoid,ENSG00000225899,Q96QU4,2,0.3966518161201513,1,0,0,0.049398391675905394,1.0
Organoid,ENSG00000196337,P0DN87,2,0.2138936222134085,1,0,0,-0.003995898848352597,0.0
Organoid,ENSG00000215545,Q30KQ4,3,0.4331753117286997,1,0,0,-0.016816324379456918,3.0
Organoid,ENSG00000205884,Q30KP8,3,0.4939641514771378,1,0,0,-0.11196930827884664,3.0
Organoid,ENSG00000228836,P0DMU8,2,0.1416927741910467,1,0,0,-0.12023708926203282,0.0
Media,ENSG00000173662,Q7RTX1,2,0.6519841759947814,1,0,0,-0.1419141193645087,32.0
Organoid,ENSG00000187944,Q6UXQ4,3,0.5682553473266115,1,0,0,-0.15861668836420878,2.0
Organoid,ENSG00000178125,Q7Z4L9,2,0.662739742755173,1,0,0,-0.21827108924933472,16.0
Organoid,ENSG00000204869,Q6B9Z1,2,0.5653405212252458,1,0,0,-0.23441793694756996,5.0
Organoid,ENSG00000267368,B0FP48,2,0.3140411890408156,1,0,0,-0.23790141381757735,0.0
Organoid,ENSG00000186376,P51815,2,0.2428190988903415,1,0,0,-0.26646645300638616,23.0
Organoid,ENSG00000278085,P0DMV1,3,0.159286613990455,1,0,0,-0.2824595249715105,0.0
Organoid,ENSG00000213822,A8MTB9,3,0.735965937926913,1,0,0,-0.29889458779312117,13.0
Media,ENSG00000186523,Q8N7N1,2,0.5536181109124164,1,0,0,-0.30333143370986526,1.0
Organoid,ENSG00000162723,Q96A28,2,0.5875856879895112,1,0,0,-0.31753199152603234,7.0
Organoid,ENSG00000229453,P0C7L1,3,0.687952783842816,1,0,0,-0.33229316266370107,4.0
Organoid,ENSG00000173673,Q5TGS1,3,0.4027366799381182,1,0,0,-0.3473901585982169,10.0
Organoid,ENSG00000215529,A8MWE9,4,0.8049931169983723,1,0,0,-0.36125069764076057,7.0
Media,ENSG00000278289,P0DMU7,2,0.1416927741910467,1,0,0,-0.36234600416489526,0.0
Organoid,ENSG00000169059,Q9NNX9,2,0.3464875933157995,1,0,0,-0.42267100831073773,0.0
Media,ENSG00000271449,Q5DJT8,2,0.159286613990455,1,0,0,-0.4270892855564327,0.0
Media,ENSG00000182583,Q9H320,2,0.388631978082884,1,0,0,-0.4432304275297556,0.0
Media,ENSG00000255423,Q6P2I7,2,0.7524672955593756,1,0,0,-0.4608918377308747,13.0
Organoid,ENSG00000124818,Q6U736,2,0.5005097799533447,1,0,0,-0.47985697271054856,11.0
Organoid,ENSG00000214940,P0DM63,3,0.0699437377409183,1,0,0,-0.5333363181452906,0.0
Organoid,ENSG00000125650,O60542,2,0.622571916107612,1,0,0,-0.5976092603751251,8.0
Media,ENSG00000188958,Q765I0,3,0.3487883098758071,1,0,0,-0.6087471519911197,0.0
Organoid,ENSG00000236362,P0CL80,3,0.0301413271825389,1,0,0,-0.6098535532701828,0.0
Media,ENSG00000205884,Q30KP8,3,0.4939641514771378,1,0,0,-0.6862343972501018,3.0
Media,ENSG00000229453,P0C7L1,3,0.687952783842816,1,0,0,-0.6898283183287588,4.0
Media,ENSG00000196337,P0DN87,2,0.2138936222134085,1,0,0,-0.6932244568594929,0.0
Organoid,ENSG00000257008,Q7Z601,2,0.726176800252201,1,0,0,-0.7225431456368555,19.0
Organoid,ENSG00000125787,O43555,2,0.4270846191223674,1,0,0,-0.7898696354369105,4.0
Media,ENSG00000267631,A6NKQ9,2,0.2258579919232294,1,0,0,-0.8260158335990705,0.0
Organoid,ENSG00000205693,A6NHS7,3,0.3698743683422624,1,0,0,-0.8376419527432826,12.0
Media,ENSG00000289549,F5H284,3,0.5239512496978023,1,0,0,-0.8640076436145402,1.0
Media,ENSG00000203870,A6NGZ8,3,0.5216669392861117,1,0,0,-0.8732923236287045,2.0
Organoid,ENSG00000135175,P0CE71,3,0.8170001001949285,1,0,0,-0.9101658032237484,2.0
Media,ENSG00000227729,P0DJH9,4,0.8237426231263987,1,0,0,-0.9118751397151434,12.0
Media,ENSG00000233701,Q6ZRP0,2,0.6007493203443122,1,0,0,-1.0035496370595152,5.0
Media,ENSG00000204869,Q6B9Z1,2,0.5653405212252458,1,0,0,-1.048472813742894,5.0
Media,ENSG00000204480,Q5SWL8,3,0.4929567885242658,1,0,0,-1.0969244367250175,14.0
Media,ENSG00000228836,P0DMU8,2,0.1416927741910467,1,0,0,-1.203134821969214,0.0
Organoid,ENSG00000204147,P0C7U1,2,0.5756251155711065,1,0,0,-1.277174516690688,1.0
Media,ENSG00000124818,Q6U736,2,0.5005097799533447,1,0,0,-1.2899948038281601,11.0
Media,ENSG00000277865,H0YM25,3,0.6131856614250832,1,0,0,-1.2970375208709137,2.0
Media,ENSG00000178125,Q7Z4L9,2,0.662739742755173,1,0,0,-1.3320153742511285,16.0
Media,ENSG00000267368,B0FP48,2,0.3140411890408156,1,0,0,-1.3428145244417942,0.0
Media,ENSG00000278085,P0DMV1,3,0.159286613990455,1,0,0,-1.479022310390106,0.0
