ensg	soma_abund	olink_abund	ms_batches	ms_frac	ms_abund	uniprot	ms_n_batches	ms_present	ms_present2	ms_any	soma_present	olink_present	aff_present	aff_abund_z	r_soma_olink	p_soma_olink	n_soma_olink	concordant	r_ms_soma	r_ms_olink	soma_abund_AD	soma_abund_Control	olink_abund_AD	olink_abund_Control	fluid	arm	set	p_detect_intrinsic	p_detect_practical	p_detect_full	top_dark_reason	tryptic_per_kda	n_tryptic_7_30	n_tm	is_secreted	has_signal	is_membrane	disorder_fraction_proxy	pep_n_unique	pep_frac_shared	pep_max_shared_genes	pep_n_clean
ENSG00000002746	7.422890594459781		0	0.0		Q76N89	3	0	0	0	1	0	1	-0.4944357609996891				0			7.404515173235975	7.4412660156835795			CSF	neat	CSF neat	0.8980652154062656	0.8400317670967616	0.6010669043479508	abundance	0.3509	63.0	0.0	0.0	0.0	0.0	0.2515802781289507	56.0	0.1111111111111111	5.0	35.0
ENSG00000002822	7.519888991666104	2.0605966666666666	0	0.0		Q9Y6D9	3	0	0	0	1	1	1	-0.7122563238581676	-0.05686274509803922	0.7455974609492884	35.0	0			7.484671072143036	7.555106911189167	2.124323888888889	1.9968694444444444	CSF	neat	CSF neat	0.9423107141481653	0.922505787860516	0.9300509039258738	localization	0.5417	45.0	0.0	0.0	0.0	0.0	0.6729106628242075	45.0	0.0	0.0	26.0
ENSG00000002834	12.039915809041837		3	1.0	5.364739825023872	Q14847	3	1	1	1	1	0	1	1.4324325385237746				0	0.6319327731092438		12.01739399383133	12.062437624252347			CSF	neat	CSF neat	0.6490516776826128	0.8639144267895161	0.9870613784987848	size	0.4711	14.0	0.0	0.0	0.0	0.0	0.4050632911392405	14.0	0.0	0.0	7.0
ENSG00000002919	7.913454171797619		0	0.0		Q9Y5W9	3	0	0	0	1	0	1	-0.28970406425961115				0			7.87564380926467	7.951264534330567			CSF	neat	CSF neat	0.813317934010118	0.8557711956412697	0.8205810857745973	abundance	0.4272	13.0	0.0	0.0	0.0	1.0	0.2439024390243902	13.0	0.0	0.0	9.0
ENSG00000003096	7.983417361925138		0	0.0		Q9P2N7	3	0	0	0	1	0	1	-0.2605056416985913				0			7.950248766618748	8.01658595723152			CSF	neat	CSF neat	0.8642976537128468	0.7166780596150741	0.8410388350561098	proteotypicity	0.555	41.0	0.0	0.0	0.0	0.0	0.1315372424722662	21.0	0.4878048780487805	1.0	8.0
ENSG00000003147	7.192547783571022	2.6964758333333334	0	0.0		Q05084	3	0	0	0	1	1	1	-0.6621852892590356	-0.1483401051112786	0.39508072745205736	35.0	0			7.118736281775243	7.266359285366802	2.7002161111111116	2.692735555555555	CSF	neat	CSF neat	0.9579606191251088	0.9314485336219532	0.9371117024632514	abundance	0.5307	29.0	0.0	0.0	0.0	1.0	0.4313725490196078	27.0	0.0689655172413793	1.0	14.0
ENSG00000003249	8.650972017087584		0	0.0		Q9H9R9	3	0	0	0	1	0	1	0.018091472991039557				0			8.636749313836583	8.66519472033858			CSF	neat	CSF neat	0.624508041144766	0.633699508328502	0.5828259957421031	abundance	0.2347	4.0	0.0	0.0	0.0	0.0	0.2686567164179104	4.0	0.0	0.0	3.0
ENSG00000003400	9.686662702687707		0	0.0		Q92851^SL025813@CASP10.5340.24	3	0	0	0	1	0	1	0.4503263986075871				0			9.645277859597247	9.728047545778168			CSF	neat	CSF neat	0.6489389964415431	0.5926468659328504	0.8416045577255443	abundance	0.1696	10.0	0.0	0.0	0.0	0.0	0.0				
ENSG00000003402	5.002077743974643		0	0.0		O15519	3	0	0	0	1	0	1	-1.5047372698471118				0			4.790288425596831	5.213867062352456			CSF	neat	CSF neat	0.9534016777063028	0.9683004758535771	0.8320129145039022	abundance	0.3975	22.0	0.0	0.0	0.0	1.0	0.4517045454545454	22.0	0.0	0.0	14.0
ENSG00000003436	14.312606014645443	9.67994611111111	2	0.6666666666666666	4.251233959034674	P10646	3	0	1	1	1	1	1	2.123621535067425	0.8462184873949581	1.5300467846592487e-10	35.0	1			14.324145719724243	14.301066309566645	9.649479999999999	9.710412222222221	CSF	neat	CSF neat	0.6960273435221204	0.8328795519551546	0.9726392793464836	size	0.3427	12.0	0.0	1.0	1.0	0.0	0.3134920634920635	12.0	0.0	0.0	3.0
ENSG00000003987	8.145042605396112		0	0.0		Q9Y216	3	0	0	0	1	0	1	-0.19305299771835416				0			7.994412314343977	8.295672896448245			CSF	neat	CSF neat												37.0	0.075	2.0	15.0
ENSG00000004059	6.889511998002014		0	0.0		P84085	3	0	0	0	1	0	1	-0.7170358685132503				0			6.869916321249457	6.909107674754575			CSF	neat	CSF neat												6.0	0.4	3.0	2.0
ENSG00000004399	13.118716404996027		3	1.0	4.7850699367925555	Q9Y4D7	3	1	1	1	1	0	1	1.8826589447573647				0	0.6734836877951155		13.048121660138722	13.189311149853342			CSF	neat	CSF neat	0.760818105780755	0.908545231774145	0.922447143964636	ptm	0.3821	81.0	1.0	0.0	1.0	1.0	0.1590296495956873	78.0	0.037037037037037	3.0	32.0
ENSG00000004455	10.016314184021963		0	0.0		P54819	3	0	0	0	1	0	1	0.5879030761764638				0			10.034330984765862	9.998297383278057			CSF	neat	CSF neat	0.93305108043101	0.9784551893997137	0.9906176388076005	size	0.5287	14.0	0.0	0.0	0.0	0.0	0.4325581395348837	14.0	0.0	0.0	7.0
ENSG00000004468	8.546658708775631	6.376803333333332	0	0.0		P28907^SL002722@CD38.7174.15	3	0	0	0	1	1	1	0.30551836787120557	0.2276229186079582	0.18848629604701944	35.0	0			8.534487124024695	8.558830293526562	6.163779444444443	6.5898272222222225	CSF	neat	CSF neat	0.6910738631597391	0.6033390717593899	0.951509524531311	size	0.5826	20.0	1.0	0.0	0.0	1.0	0.1557971014492753				
ENSG00000004478	10.657634789277767	2.276967777777778	2	0.6666666666666666	4.984791892311333	Q02790	3	0	1	1	1	1	1	-0.017222914774058462	0.6794593475588109	7.1798997191409226e-06	35.0	1			10.645665026173646	10.66960455238189	2.336402222222222	2.2175333333333334	CSF	neat	CSF neat	0.9699817579137284	0.9785339227679464	0.9950711476006158	size	0.5598	29.0	0.0	0.0	0.0	0.0	0.5494252873563218	29.0	0.0	0.0	17.0
ENSG00000004487	7.259489983914589		0	0.0		O60341	3	0	0	0	1	0	1	-0.5626293362887965				0			7.243754336091448	7.275225631737728			CSF	neat	CSF neat	0.9542774309610688	0.9743231754168163	0.973079853512711	localization	0.3983	37.0	0.0	0.0	0.0	0.0	0.2741545893719807	37.0	0.0	0.0	20.0
ENSG00000004660	7.114836267850322	0.19297722222222222	0	0.0		Q8N5S9	3	0	0	0	1	1	1	-1.1444606099179588	0.0780275985566783	0.6559345144201316	35.0	0			7.10008130622623	7.129591229474418	0.3607738888888889	0.025180555555555553	CSF	neat	CSF neat	0.8539493965144337	0.8452803527201747	0.8560823139909541	abundance	0.5203	29.0	0.0	0.0	0.0	0.0	0.3575883575883576	29.0	0.0	0.0	20.0
ENSG00000004700	7.693781699587215		0	0.0		P46063	3	0	0	0	1	0	1	-0.3813821260651479				0			7.568816577740211	7.818746821434221			CSF	neat	CSF neat	0.8236978144896221	0.7856923404493124	0.9861895772383864	localization	0.4629	34.0	0.0	0.0	0.0	0.0	0.3264	33.0	0.0294117647058823	1.0	11.0
ENSG00000004776	9.084736126895617	6.090094166666667	0	0.0		O14558	3	0	0	0	1	1	1	0.36442423351081243	0.9004832293250041	1.772608066409648e-13	35.0	1			8.973163458641224	9.196308795150008	6.01697111111111	6.163217222222222	CSF	neat	CSF neat	0.7863936964122235	0.5946792550241091	0.9760712952790844	size	0.4085	7.0	0.0	1.0	0.0	0.0	0.2279411764705882	7.0	0.0	0.0	5.0
ENSG00000004809	7.948063507790668		0	0.0		Q86VW1	3	0	0	0	1	0	1	-0.2752602114987595				0			7.901699503483935	7.994427512097395			CSF	neat	CSF neat	0.5702077800031716	0.3956235010929761	0.3135683751568904	abundance	0.325	21.0	12.0	0.0	0.0	1.0	0.0958408679927667	21.0	0.0	0.0	8.0
ENSG00000004897		1.5511813888888888	0	0.0		P30260	3	0	0	0	0	1	1	-1.1602269146783466				0					1.5927066666666665	1.5096561111111113	CSF	neat	CSF neat	0.82719598731007	0.893829579106511	0.9637845725543324	localization	0.4245	39.0	0.0	0.0	0.0	0.0	0.15625	39.0	0.0	0.0	19.0
ENSG00000004948	7.886813361955577		0	0.0		P30988	3	0	0	0	1	0	1	-0.30082233404859476				0			7.849326435159524	7.924300288751632			CSF	neat	CSF neat	0.3435932999944217	0.2524218536207586	0.4383644345588502	abundance	0.1626	9.0	7.0	0.0	1.0	1.0	0.068075117370892	9.0	0.0	0.0	2.0
ENSG00000004961	7.972452332522587		0	0.0		P53701	3	0	0	0	1	0	1	-0.2650817846861559				0			7.967161168380343	7.977743496664827			CSF	neat	CSF neat	0.8663845871126622	0.8969063639637727	0.9691064550727864	size	0.4902	15.0	0.0	0.0	0.0	0.0	0.3909465020576131	15.0	0.0	0.0	7.0
ENSG00000004975	6.001428850460467		0	0.0		O14641	3	0	0	0	1	0	1	-1.0876682962795625				0			5.9599378742932005	6.04291982662773			CSF	neat	CSF neat	0.9640247996932524	0.963562447536404	0.9542359360147276	proteotypicity	0.38	30.0	0.0	0.0	0.0	1.0	0.2219101123595505	24.0	0.2	3.0	15.0
ENSG00000005001	9.79646875540367		0	0.0		Q9GZN4	3	0	0	0	1	0	1	0.4961528327812507				0			9.78159175664365	9.811345754163693			CSF	neat	CSF neat	0.5927806822047824	0.7451692314230329	0.3016622341000258	abundance	0.415	14.0	0.0	1.0	1.0	0.0	0.0153256704980842	14.0	0.0	0.0	8.0
ENSG00000005073	6.426004071741679		0	0.0		P31270	3	0	0	0	1	0	1	-0.9104761657133048				0			6.388142791121859	6.463865352361499			CSF	neat	CSF neat	0.4319266378317961	0.2195837705653789	0.3374223273190996	abundance	0.29	10.0	0.0	0.0	0.0	0.0	0.3252595155709342	9.0	0.1	2.0	7.0
ENSG00000005075	7.78410110783016		0	0.0		P52435	3	0	0	0	1	0	1	-0.3436882438603478				0			7.758654186740994	7.809548028919325			CSF	neat	CSF neat												0.0	1.0	2.0	0.0
ENSG00000005102	7.857375867454727		0	0.0		P50221	3	0	0	0	1	0	1	-0.31310777160521386				0			7.8502713610801855	7.864480373829271			CSF	neat	CSF neat	0.5393376245757086	0.252653147284371	0.3868561834421836	abundance	0.2857	8.0	0.0	0.0	0.0	0.0	0.3869565217391304	7.0	0.125	1.0	5.0
ENSG00000005108	7.994733407156902		3	1.0	3.806474689083697	Q9UPZ6	3	1	1	1	1	0	1	-0.2557830058411578				0	0.11122005883176915		7.973027280206775	8.016439534107029			CSF	neat	CSF neat	0.8722429135499608	0.800454322505092	0.7830227886088017	abundance	0.3884	72.0	1.0	1.0	1.0	1.0	0.2068095838587642	71.0	0.0138888888888888	1.0	11.0
ENSG00000005249	8.221319380810606		0	0.0		P31323	3	0	0	0	1	0	1	-0.16121966484595338				0			8.261992333741835	8.180646427879376			CSF	neat	CSF neat	0.9563921681342428	0.9645404969437478	0.9892840852847822	size	0.4535	21.0	0.0	0.0	0.0	1.0	0.467005076142132	19.0	0.0952380952380952	1.0	11.0
ENSG00000005339	9.723493962111057		0	0.0		Q92793	3	0	0	0	1	0	1	0.46569754840989586				0			9.66240195272671	9.78458597149541			CSF	neat	CSF neat	0.978903692041788	0.9613751374790092	0.9065411092269222	proteotypicity	0.2751	73.0	0.0	0.0	0.0	0.0	0.1762515515101365	49.0	0.3287671232876712	2.0	19.0
ENSG00000005381	8.824716560463779	3.5712908333333337	1	0.3333333333333333	4.023195099174749	P05164	3	0	0	1	1	1	1	-0.15874246406300052	0.29775910364145664	0.08234454487275794	35.0	0			8.747707037614164	8.901726083313395	3.5579305555555556	3.584651111111112	CSF	neat	CSF neat					0.5008	42.0	0.0	1.0	1.0	0.0	0.1545319465081723	36.0	0.1428571428571428	1.0	11.0
ENSG00000005421	7.633052617938521		3	1.0	10.800181491925747	P27169	3	1	1	1	1	0	1	-0.4067267878006879				0	0.46750700280112045		7.616589860910535	7.64951537496651			CSF	neat	CSF neat					0.3775	15.0	0.0	1.0	1.0	0.0	0.0727272727272727	13.0	0.1333333333333333	1.0	6.0
ENSG00000005469	7.895697935160671		0	0.0		Q9UKG9	3	0	0	0	1	0	1	-0.2971144481982808				0			7.870871168676176	7.920524701645167			CSF	neat	CSF neat	0.9823611007483186	0.9712623356146258	0.9404473216138738	abundance	0.4702	33.0	0.0	0.0	0.0	0.0	0.2244897959183673	33.0	0.0	0.0	17.0
ENSG00000005844	8.376574605356813		0	0.0		P20701^SL004121@ITGAL.11617.1	3	0	0	0	1	0	1	-0.09642548317922726				0			8.362697144478705	8.390452066234914			CSF	neat	CSF neat	0.9490331781252652	0.9519415660136452	0.9766294264925168	ptm	0.3029	39.0	1.0	0.0	1.0	1.0	0.1489741302408563				
ENSG00000005882	7.191511922134806		0	0.0		Q15119	3	0	0	0	1	0	1	-0.5909992858166483				0			7.160125665467127	7.2228981788024855			CSF	neat	CSF neat	0.8699768139427914	0.9237114731725108	0.9098603302565552	abundance	0.4767	22.0	0.0	0.0	0.0	0.0	0.1070496083550913	19.0	0.1363636363636363	2.0	8.0
ENSG00000005884	7.467267438430857		0	0.0		P26006	3	0	0	0	1	0	1	-0.47591553858229746				0			7.44165443635253	7.492880440509187			CSF	neat	CSF neat	0.860336926286534	0.8629132061486486	0.9567188127379816	ptm	0.2916	34.0	1.0	0.0	1.0	1.0	0.1346733668341708	34.0	0.0	0.0	12.0
ENSG00000005961	8.594310424168086		0	0.0		P08514^SL000542@ITGA2B.ITGB3.8488.33	3	0	0	0	1	0	1	-0.005555663882343947				0			8.57630350000811	8.61231734832806			CSF	neat	CSF neat					0.3263	37.0	1.0	0.0	1.0	1.0	0.0914634146341463				
ENSG00000006016	8.356453594966856		1	0.3333333333333333	4.096312467020752	O75462	3	0	0	1	1	0	1	-0.10482278128198408				0			8.322042864215181	8.390864325718537			CSF	neat	CSF neat					0.4535	21.0	0.0	1.0	1.0	0.0	0.113573407202216	21.0	0.0	0.0	12.0
ENSG00000006047	9.136092359804536		0	0.0		Q9Y2T7	3	0	0	0	1	0	1	0.22055149137754732				0			9.04006008474309	9.232124634865981			CSF	neat	CSF neat	0.7469900292582515	0.5173491792769949	0.9770201526283198	structure_af	0.4414	17.0	0.0	0.0	0.0	0.0	0.3911764705882353	14.0	0.1764705882352941	2.0	11.0
ENSG00000006118	16.735547357190164		3	1.0	9.06189289998653	Q24JP5	3	1	1	1	1	0	1	3.3921063882123623				0	0.8033613445378153		16.737764918249493	16.733329796130835			CSF	neat	CSF neat	0.8241683856469355	0.8043806718344206	0.8799256702133278	abundance	0.2906	32.0	1.0	0.0	1.0	1.0	0.1514522821576763	32.0	0.0	0.0	20.0
ENSG00000006125	16.73237694176515		3	1.0	9.195818740676227	P63010	3	1	1	1	1	0	1	3.3907832477279904				0	0.8201680672268907		16.799144025522185	16.665609858008118			CSF	neat	CSF neat	0.9213062803768408	0.9670493997027722	0.9895152795821762	proteotypicity	0.4017	42.0	0.0	0.0	0.0	1.0	0.2182017543859649	25.0	0.4047619047619047	1.0	13.0
ENSG00000006128	7.058144667727356		3	1.0	6.376437367666744	P20366	3	1	1	1	1	0	1	-0.6466587467831095				0	0.4718817855958841		7.026275695315319	7.090013640139389			CSF	neat	CSF neat	0.6240316163275145	0.5610726450472012	0.5800090342535551	structure_af	0.3999	6.0	0.0	1.0	1.0	0.0	0.1020408163265306	6.0	0.0	0.0	3.0
ENSG00000006194	7.051305533892875		0	0.0		O14978	3	0	0	0	1	0	1	-0.6495129894110766				0			7.030714963876282	7.071896103909466			CSF	neat	CSF neat	0.4733906520778124	0.3285905936882395	0.2952013486114214	abundance	0.4787	37.0	0.0	0.0	0.0	0.0	0.2716236722306525	33.0	0.1081081081081081	63.0	10.0
ENSG00000006210	7.7225553702741525	6.606998333333333	3	1.0	6.4314347755146075	P78423	3	1	1	1	1	1	1	0.17640664742566822	0.11960784313725492	0.4937389037718612	35.0	0	0.3705882352941177	0.5029601029601031	7.700552634011989	7.744558106536315	6.516559444444445	6.697437222222223	CSF	neat	CSF neat	0.5183090685002248	0.677950542549079	0.4003151634740828	abundance	0.4265	18.0	1.0	1.0	1.0	1.0	0.0859598853868194	18.0	0.0	0.0	10.0
ENSG00000006282	7.5742137637295075		0	0.0		Q8TB22	3	0	0	0	1	0	1	-0.4312825824274005				0			7.551206239024428	7.59722128843459			CSF	neat	CSF neat	0.9231293504331328	0.91053440549564	0.9467547606293312	localization	0.5006	44.0	0.0	1.0	1.0	0.0	0.1378378378378378	44.0	0.0	0.0	28.0
ENSG00000006327	7.636030379494013	6.056681666666666	0	0.0		Q9NP84	3	0	0	0	1	1	1	0.055902785329258714	0.07129850189012352	0.6840025638145717	35.0	0			7.623686039982936	7.648374719005087	6.01664	6.096723333333333	CSF	neat	CSF neat	0.4580455802754899	0.511119369452992	0.6862796903708627	size	0.3594	5.0	1.0	0.0	1.0	1.0	0.2051282051282051	5.0	0.0	0.0	2.0
ENSG00000006451	8.569194540469312		0	0.0		P11233	3	0	0	0	1	0	1	-0.016037521326145426				0			8.56308633949387	8.575302741444752			CSF	neat	CSF neat	0.9482870170558564	0.9809641894296804	0.9695172954871158	proteotypicity	0.4243	10.0	0.0	0.0	0.0	1.0	0.6759776536312849	6.0	0.4	1.0	4.0
ENSG00000006534	7.537507295959104		0	0.0		P43353	3	0	0	0	1	0	1	-0.4466016517083926				0			7.515641708379103	7.559372883539104			CSF	neat	CSF neat	0.9344123496589636	0.9549143688780384	0.9402230332604	size	0.3665	19.0	0.0	0.0	0.0	1.0	0.0770975056689342	16.0	0.1578947368421052	3.0	11.0
ENSG00000006606	7.888576858596924		0	0.0		Q9Y258	3	0	0	0	1	0	1	-0.3000863567435985				0			7.837103815220108	7.940049901973737			CSF	neat	CSF neat												3.0	0.0	0.0	1.0
ENSG00000006611	6.993739344707901		0	0.0		Q9Y6N9	3	0	0	0	1	0	1	-0.6735376502932757				0			6.968263572940606	7.019215116475199			CSF	neat	CSF neat	0.9094559875067794	0.9435102056820758	0.6284510669085887	abundance	0.5305	33.0	0.0	0.0	0.0	0.0	0.4261363636363636	33.0	0.0	0.0	22.0
ENSG00000006625	8.326911589716554		3	1.0	8.045704272341505	O75223	3	1	1	1	1	0	1	-0.11715183533206396				0	0.8047619047619048		8.413015097191584	8.24080808224153			CSF	neat	CSF neat	0.8812067581963067	0.9308310109089089	0.9738703084021147	size	0.6188	13.0	0.0	0.0	0.0	0.0	0.1890243902439024	13.0	0.0	0.0	8.0
ENSG00000006652	7.256536671613613		0	0.0		O00458	3	0	0	0	1	0	1	-0.5638618710025708				0			7.234484276995371	7.278589066231859			CSF	neat	CSF neat	0.7889527956351784	0.8736161490580632	0.9314137807952098	size	0.3979	20.0	0.0	0.0	0.0	0.0	0.3676814988290398	20.0	0.0	0.0	10.0
ENSG00000006747	9.394695921181329		0	0.0		Q9Y6U3	3	0	0	0	1	0	1	0.32847704547394607				0			9.444573852261337	9.344817990101312			CSF	neat	CSF neat	0.9233677151512713	0.9480218529241004	0.9714904549119618	localization	0.4845	39.0	0.0	0.0	0.0	0.0	0.3314037626628075	39.0	0.0	0.0	29.0
ENSG00000007001	7.654063887446908		0	0.0		O95045	3	0	0	0	1	0	1	-0.3979579491509472				0			7.618563199317044	7.689564575576767			CSF	neat	CSF neat												17.0	0.0	0.0	3.0
ENSG00000007062	8.912587481184794		0	0.0		O43490	3	0	0	0	1	0	1	0.12727401391412696				0			8.879898799981207	8.94527616238838			CSF	neat	CSF neat	0.8038399576794742	0.9033200302686832	0.9611281481544428	ptm	0.4012	39.0	5.0	0.0	1.0	1.0	0.1289537712895377	39.0	0.0	0.0	22.0
ENSG00000007129	8.372739475285817		0	0.0		Q3KPI0	3	0	0	0	1	0	1	-0.09802603552947488				0			8.379671628456732	8.365807322114902			CSF	neat	CSF neat	0.7159450418135955	0.694405027377459	0.1276423128779528	abundance	0.34	11.0	1.0	0.0	1.0	1.0	0.0170212765957446	11.0	0.0	0.0	7.0
ENSG00000007237	8.020483164841295		0	0.0		O60861	3	0	0	0	1	0	1	-0.24503660756597348				0			8.05419051687141	7.986775812811181			CSF	neat	CSF neat	0.9012081753831878	0.9039640782119694	0.9419880633947724	size	0.3495	19.0	0.0	0.0	0.0	0.0	0.4424778761061947	18.0	0.0526315789473684	1.0	6.0
ENSG00000007255	7.376652956372076		0	0.0		O75865	3	0	0	0	1	0	1	-0.5137325668292632				0			7.356168972167323	7.397136940576829			CSF	neat	CSF neat	0.7543267713493419	0.9060363159989164	0.7663035490032669	peptide_chemistry	0.3976	7.0	0.0	0.0	0.0	0.0	0.1333333333333333	7.0	0.0	0.0	4.0
ENSG00000007264	7.542774187080479		0	0.0		P42679	3	0	0	0	1	0	1	-0.44440356851257945				0			7.5393587512543165	7.546189622906638			CSF	neat	CSF neat	0.764365207999528	0.5499508585335502	0.8315670167869597	abundance	0.4427	25.0	0.0	0.0	0.0	0.0	0.2546583850931677	24.0	0.04	1.0	13.0
ENSG00000007306	7.476685376757047		0	0.0		Q14002	3	0	0	0	1	0	1	-0.4719850582482745				0			7.463708492860322	7.489662260653767			CSF	neat	CSF neat	0.5254394925591592	0.7208408083198634	0.6631752894120958	abundance	0.3408	10.0	0.0	0.0	1.0	1.0	0.0	10.0	0.0	0.0	4.0
ENSG00000007312	7.4596108631963745	2.9421844444444445	0	0.0		P40259	3	0	0	0	1	1	1	-0.5607153686129789	0.32773109243697485	0.05461514675833051	35.0	0			7.416296898773784	7.502924827618965	2.812920555555556	3.071448333333333	CSF	neat	CSF neat	0.4871483038391961	0.452834125869705	0.5937710003358337	abundance	0.3455	9.0	1.0	0.0	1.0	1.0	0.288135593220339	9.0	0.0	0.0	1.0
ENSG00000007520	6.889823163154815		0	0.0		Q9UJK0	3	0	0	0	1	0	1	-0.7169060069160135				0			6.867679396165285	6.911966930144347			CSF	neat	CSF neat	0.7105782914373371	0.6340510966379272	0.8073847180829663	abundance	0.4167	14.0	0.0	0.0	0.0	0.0	0.3298611111111111	14.0	0.0	0.0	10.0
ENSG00000007866	7.421253638983482		0	0.0		Q99594	3	0	0	0	1	0	1	-0.4951189276423682				0			7.395748676884336	7.446758601082629			CSF	neat	CSF neat					0.3287	16.0	0.0	0.0	0.0	0.0	0.2878048780487804	12.0	0.25	3.0	7.0
ENSG00000007908	10.139423482328864	12.239057500000001	0	0.0		P16581	3	0	0	0	1	1	1	1.7292163083582208	0.7938375350140058	1.2721138221378344e-08	35.0	1			10.04442485469285	10.234422109964886	12.072663333333331	12.405451666666668	CSF	neat	CSF neat	0.7436532738770358	0.447631813724318	0.9477099919049072	ptm	0.285	19.0	1.0	0.0	1.0	1.0	0.1008849557522123	19.0	0.0	0.0	4.0
ENSG00000007923	8.64351760534759		0	0.0		Q9NVH1	3	0	0	0	1	0	1	0.01498045041571872				0			8.631926189801518	8.65510902089366			CSF	neat	CSF neat					0.4109	26.0	0.0	0.0	0.0	0.0	0.3707865168539326	26.0	0.0	0.0	17.0
ENSG00000007933	8.399130052759288		0	0.0		P31513	3	0	0	0	1	0	1	-0.08701219766280159				0			8.371054604225032	8.427205501293544			CSF	neat	CSF neat	0.9177249858093146	0.9338431833817395	0.955610447651791	hydrophobicity	0.4997	30.0	1.0	0.0	0.0	1.0	0.1439842209072978	29.0	0.0333333333333333	1.0	15.0
