uniprot	pep_n_7_30	pep_n_unique	pep_frac_unique	pep_n_unique_mz	pep_n_clean	pep_clean_per_kda	pep_frac_met	pep_frac_cys	pep_frac_sequon	pep_frac_slow_cleave	pep_frac_ptm_site	pep_frac_disulfide	pep_gravy_mean	pep_frac_hydrophilic	pep_frac_hydrophobic	pep_max_shared_genes	pep_frac_shared	pep_max_gap	pep_coverage_7_30	pep_coverage_clean
A0AV96	21	19	0.9047619047619048	19	9	0.14049715928802234	0.38095238095238093	0.23809523809523808	0.047619047619047616	0.47619047619047616	0.0	0.0	-0.15802508377088212	0.09523809523809523	0.047619047619047616	2	0.09523809523809523	61	0.5193929173693086	0.209106239460371
A0AVF1	35	35	1.0	34	20	0.31183532505107264	0.2571428571428571	0.2	0.08571428571428572	0.4857142857142857	0.0	0.0	-0.11796899738916551	0.05714285714285714	0.08571428571428572	0	0.0	28	0.8357400722021661	0.40252707581227437
A0AVI4	14	14	1.0	14	6	0.14837737896575945	0.21428571428571427	0.5	0.07142857142857142	0.42857142857142855	0.0	0.0	0.17578629587032948	0.0	0.14285714285714285	0	0.0	54	0.6298342541436464	0.2569060773480663
A0AVK6	35	34	0.9714285714285714	34	17	0.18064445661953799	0.2571428571428571	0.2	0.11428571428571428	0.5714285714285714	0.0	0.0	-0.48496039519148754	0.14285714285714285	0.05714285714285714	1	0.02857142857142857	86	0.5201845444059977	0.23760092272202998
A0AVT1	58	58	1.0	58	29	0.24598147490960323	0.2413793103448276	0.3275862068965517	0.05172413793103448	0.5517241379310345	0.0	0.0	-0.19541571383080505	0.017241379310344827	0.05172413793103448	0	0.0	48	0.7946768060836502	0.3203422053231939
A0FGR8	45	45	1.0	45	28	0.27372102225033274	0.2	0.13333333333333333	0.08888888888888889	0.6	0.0	0.0	-0.2973350953694091	0.044444444444444446	0.06666666666666667	0	0.0	41	0.6764386536373507	0.40390879478827363
A0FGR9	37	36	0.972972972972973	36	21	0.210058484871967	0.10810810810810811	0.2972972972972973	0.05405405405405406	0.4594594594594595	0.0	0.0	-0.24023782272776084	0.02702702702702703	0.08108108108108109	1	0.02702702702702703	63	0.5293453724604966	0.27313769751693
A0JLT2	8	8	1.0	8	2	0.07617153092047477	0.625	0.25	0.125	0.625	0.0	0.0	-0.5657405303030304	0.125	0.0	0	0.0	57	0.5819672131147541	0.1721311475409836
A0JNW5	81	79	0.9753086419753086	79	38	0.2315728287213771	0.2839506172839506	0.2222222222222222	0.1111111111111111	0.5061728395061729	0.0	0.0	-0.3745984178566302	0.07407407407407407	0.037037037037037035	1	0.024691358024691357	44	0.7704918032786885	0.36133879781420764
A0JP26	26	1	0.038461538461538464	1	1	0.01522802910941404	0.2692307692307692	0.23076923076923078	0.07692307692307693	0.5384615384615384	0.0	0.0	-0.5531148504961154	0.19230769230769232	0.07692307692307693	11	0.9615384615384616	40	0.5817555938037866	0.0189328743545611
A0MZ66	38	38	1.0	38	23	0.32124837840786474	0.21052631578947367	0.10526315789473684	0.10526315789473684	0.631578947368421	0.0	0.0	-0.7643807804230243	0.18421052631578946	0.0	0	0.0	35	0.7099841521394612	0.40887480190174325
A0PJK1	14	13	0.9285714285714286	13	5	0.07775995570206162	0.35714285714285715	0.2857142857142857	0.07142857142857142	0.21428571428571427	0.0	0.0	0.47283966616949796	0.07142857142857142	0.35714285714285715	1	0.07142857142857142	74	0.3221476510067114	0.12080536912751678
A0PJY2	25	18	0.72	18	9	0.173062552774603	0.32	0.36	0.2	0.4	0.0	0.0	-0.34901128427128425	0.04	0.04	1	0.28	44	0.64	0.17684210526315788
A0PK00	13	13	1.0	13	2	0.0497266969999221	0.38461538461538464	0.3076923076923077	0.15384615384615385	0.6153846153846154	0.0	0.0	0.07589311706393151	0.07692307692307693	0.15384615384615385	0	0.0	33	0.6637168141592921	0.12094395280235988
A0PK05	6	6	1.0	6	2	0.06695342404636745	0.5	0.3333333333333333	0.0	0.5	0.0	0.0	-0.04767255892255889	0.0	0.0	0	0.0	45	0.3381818181818182	0.12363636363636364
A0PK11	8	8	1.0	7	6	0.23594524896836772	0.0	0.25	0.125	0.5	0.125	0.0	0.040765692640692575	0.0	0.125	0	0.0	43	0.4396551724137931	0.3448275862068966
A1A4S6	45	43	0.9555555555555556	42	22	0.24630999079740065	0.24444444444444444	0.2	0.06666666666666667	0.6222222222222222	0.0	0.0	-0.3004806120568907	0.044444444444444446	0.044444444444444446	1	0.044444444444444446	48	0.7302798982188295	0.32951653944020354
A1A4Y4	10	10	1.0	10	5	0.24839883810489646	0.5	0.0	0.1	0.5	0.0	0.0	-0.35315095710290223	0.1	0.0	0	0.0	38	0.6850828729281768	0.2596685082872928
A1A519	18	18	1.0	18	11	0.2962205778483553	0.2222222222222222	0.16666666666666666	0.0	0.6111111111111112	0.0	0.0	-0.8069851765802319	0.16666666666666666	0.0	0	0.0	36	0.7272727272727273	0.4303030303030303
A1A5B4	28	28	1.0	28	11	0.12185039403350816	0.35714285714285715	0.35714285714285715	0.14285714285714285	0.35714285714285715	0.14285714285714285	0.0	-0.054960376542707766	0.0	0.14285714285714285	0	0.0	49	0.5370843989769821	0.16879795396419436
A1A5C7	29	29	1.0	29	8	0.10854829252788206	0.3793103448275862	0.3793103448275862	0.1724137931034483	0.5172413793103449	0.034482758620689655	0.0	0.006959445643478597	0.034482758620689655	0.2413793103448276	0	0.0	56	0.7026239067055393	0.10787172011661808
A1E959	1	1	1.0	1	0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	-0.8620689655172415	0.0	0.0	0	0.0	112	0.1039426523297491	0.0
A1KXE4	3	3	1.0	3	1	0.049234968463959417	0.3333333333333333	0.3333333333333333	0.0	0.0	0.0	0.0	-0.48240740740740734	0.0	0.0	0	0.0	52	0.3076923076923077	0.07179487179487179
A1KZ92	78	78	1.0	77	39	0.23841233007624776	0.20512820512820512	0.28205128205128205	0.1282051282051282	0.44871794871794873	0.01282051282051282	0.19230769230769232	-0.26855476834348746	0.038461538461538464	0.02564102564102564	0	0.0	43	0.7566643882433356	0.3315105946684894
A1L0T0	25	25	1.0	25	10	0.1474388066901139	0.32	0.32	0.0	0.48	0.0	0.0	0.18616515166754588	0.04	0.12	0	0.0	46	0.5996835443037974	0.20094936708860758
A1L167	9	9	1.0	9	5	0.2728309818899425	0.4444444444444444	0.1111111111111111	0.1111111111111111	0.6666666666666666	0.0	0.0	-0.10421086901479058	0.0	0.0	0	0.0	25	0.7267080745341615	0.3105590062111801
A1L190	8	7	0.875	7	1	0.09439278633290832	0.75	0.125	0.0	1.0	0.0	0.0	-0.7707738095238095	0.25	0.0	1	0.125	16	0.8522727272727273	0.11363636363636363
A1L390	48	47	0.9791666666666666	45	30	0.223331838220303	0.20833333333333334	0.125	0.041666666666666664	0.5208333333333334	0.0	0.0	-0.5813179299970611	0.0625	0.0	1	0.020833333333333332	78	0.4946677604593929	0.2838392124692371
A1L3X0	8	8	1.0	8	2	0.0599989439465878	0.5	0.5	0.0	0.25	0.0	0.0	0.4904050925925926	0.0	0.25	0	0.0	36	0.5266903914590747	0.08185053380782918
A1L4H1	60	60	1.0	59	30	0.1811170716613096	0.15	0.4	0.03333333333333333	0.5833333333333334	0.03333333333333333	0.3	-0.5151113063619647	0.05	0.016666666666666666	0	0.0	254	0.5162110616656072	0.23521932612841703
A1L4K1	30	30	1.0	30	13	0.15234763935727408	0.4	0.26666666666666666	0.03333333333333333	0.5666666666666667	0.0	0.0	-0.42197339059575906	0.0	0.06666666666666667	0	0.0	56	0.5514018691588785	0.18958611481975968
A1X283	46	44	0.9565217391304348	43	29	0.28566893805853594	0.15217391304347827	0.13043478260869565	0.06521739130434782	0.5217391304347826	0.0	0.0	-0.6825554004706649	0.08695652173913043	0.021739130434782608	1	0.043478260869565216	41	0.6597145993413831	0.3765093304061471
A1XBS5	12	12	1.0	12	8	0.23944947181332943	0.25	0.08333333333333333	0.0	0.4166666666666667	0.0	0.0	-0.47220607864357866	0.08333333333333333	0.0	0	0.0	25	0.5605536332179931	0.39792387543252594
A1Z1Q3	17	17	1.0	17	8	0.16880550604504208	0.058823529411764705	0.35294117647058826	0.11764705882352941	0.7647058823529411	0.0	0.0	-0.8803711484593837	0.29411764705882354	0.058823529411764705	0	0.0	40	0.5129411764705882	0.22588235294117648
A2A288	31	30	0.967741935483871	30	22	0.3790380115646091	0.12903225806451613	0.16129032258064516	0.0	0.5483870967741935	0.0	0.0	-0.3649722666139458	0.12903225806451613	0.03225806451612903	3	0.03225806451612903	30	0.7798861480075902	0.5426944971537002
A2A2Y4	24	24	1.0	24	12	0.1746012943174477	0.20833333333333334	0.375	0.08333333333333333	0.5	0.0	0.0	-0.48026939637633365	0.125	0.041666666666666664	0	0.0	41	0.4824120603015075	0.23785594639865998
A2IDD5	24	24	1.0	24	18	0.3711966270702764	0.08333333333333333	0.16666666666666666	0.041666666666666664	0.2916666666666667	0.0	0.0	-0.6140399931193753	0.125	0.0	0	0.0	30	0.7785388127853882	0.545662100456621
A2PYH4	88	88	1.0	88	53	0.3261395808326668	0.25	0.14772727272727273	0.056818181818181816	0.5340909090909091	0.0	0.0	-0.23488478885094277	0.045454545454545456	0.056818181818181816	0	0.0	34	0.7846689895470383	0.4397212543554007
A2RRP1	110	110	1.0	110	67	0.24962676552570442	0.2	0.23636363636363636	0.045454545454545456	0.4818181818181818	0.0	0.0	-0.2683747755083461	0.09090909090909091	0.05454545454545454	0	0.0	41	0.6427667650780261	0.360185575706453
A2RTX5	39	35	0.8974358974358975	35	17	0.18361217339529023	0.2564102564102564	0.28205128205128205	0.05128205128205128	0.6410256410256411	0.0	0.0	-0.20734697129672122	0.05128205128205128	0.0	1	0.10256410256410256	71	0.6384039900249376	0.2456359102244389
A2RU14	3	3	1.0	3	3	0.24094390360211687	0.0	0.0	0.0	0.0	0.0	0.0	0.8984848484848483	0.0	0.3333333333333333	0	0.0	35	0.3739130434782609	0.3739130434782609
A2RU30	22	22	1.0	22	11	0.185886149182827	0.3181818181818182	0.36363636363636365	0.0	0.5454545454545454	0.0	0.0	-0.6345938486338398	0.22727272727272727	0.0	0	0.0	52	0.6525911708253359	0.28598848368522073
A2RU49	18	18	1.0	18	10	0.23862786021201715	0.2777777777777778	0.2222222222222222	0.0	0.5555555555555556	0.0	0.0	-0.053969863355312335	0.0	0.05555555555555555	0	0.0	40	0.6514745308310992	0.3726541554959786
A2RUB1	54	54	1.0	54	25	0.23257702970302116	0.2222222222222222	0.2777777777777778	0.2222222222222222	0.42592592592592593	0.0	0.0	-0.7081866502144917	0.14814814814814814	0.037037037037037035	0	0.0	54	0.7331932773109243	0.3014705882352941
A2RUB6	51	50	0.9803921568627451	50	26	0.23778301660011222	0.3333333333333333	0.13725490196078433	0.09803921568627451	0.6470588235294118	0.0	0.0	-0.8052564573474018	0.11764705882352941	0.0	2	0.0196078431372549	42	0.6255274261603375	0.30063291139240506
A2RUC4	19	19	1.0	19	12	0.32854383208167853	0.2631578947368421	0.10526315789473684	0.0	0.7894736842105263	0.0	0.0	-0.47535916276705753	0.05263157894736842	0.05263157894736842	0	0.0	35	0.6349206349206349	0.3396825396825397
A2RUH7	12	12	1.0	12	4	0.10333511614016372	0.16666666666666666	0.5	0.0	0.3333333333333333	0.0	0.16666666666666666	-0.13480245412523764	0.0	0.0	0	0.0	34	0.5169491525423728	0.1638418079096045
A2VDJ0	68	68	1.0	68	34	0.18970585208735144	0.23529411764705882	0.3088235294117647	0.17647058823529413	0.5735294117647058	0.08823529411764706	0.0	-0.31507767325552605	0.058823529411764705	0.029411764705882353	0	0.0	124	0.5724052206339342	0.23927905531385954
A2VEC9	139	139	1.0	136	24	0.04383798078752585	0.10071942446043165	0.8057553956834532	0.07913669064748201	0.41007194244604317	0.08633093525179857	0.4244604316546763	-0.4023350094239931	0.04316546762589928	0.007194244604316547	0	0.0	108	0.3920388349514563	0.05747572815533981
A3KMH1	108	108	1.0	108	74	0.3446841609126341	0.21296296296296297	0.10185185185185185	0.037037037037037035	0.7314814814814815	0.037037037037037035	0.0	-0.195499771512175	0.06481481481481481	0.027777777777777776	0	0.0	45	0.7196850393700788	0.4671916010498688
A4D0S4	81	79	0.9753086419753086	79	33	0.17061898099656658	0.14814814814814814	0.4074074074074074	0.13580246913580246	0.49382716049382713	0.13580246913580246	0.2839506172839506	-0.47032925669148884	0.06172839506172839	0.024691358024691357	1	0.024691358024691357	88	0.6070414537194776	0.20840431572969903
A4D126	24	24	1.0	24	14	0.28089448539359096	0.25	0.2916666666666667	0.041666666666666664	0.4583333333333333	0.0	0.0	0.07368526682558542	0.0	0.125	0	0.0	37	0.7893569844789357	0.36807095343680707
A4D161	13	13	1.0	13	6	0.18148251007920194	0.15384615384615385	0.38461538461538464	0.07692307692307693	0.3076923076923077	0.0	0.0	-0.3786260025025208	0.07692307692307693	0.0	0	0.0	31	0.7281879194630873	0.3389261744966443
A4D1B5	37	37	1.0	37	19	0.19439557407693825	0.24324324324324326	0.24324324324324326	0.05405405405405406	0.5675675675675675	0.0	0.0	-0.21586815586815591	0.05405405405405406	0.05405405405405406	0	0.0	67	0.5585480093676815	0.22482435597189696
A4D1E9	25	25	1.0	24	15	0.3496045401525241	0.28	0.12	0.0	0.48	0.0	0.0	-0.02596542112857902	0.04	0.08	0	0.0	28	0.8062015503875969	0.4496124031007752
A4D1P6	39	39	1.0	38	24	0.28814383387901316	0.2564102564102564	0.20512820512820512	0.02564102564102564	0.48717948717948717	0.0	0.0	-0.3980762198833219	0.05128205128205128	0.02564102564102564	0	0.0	36	0.6653279785809906	0.3868808567603748
A4D1T9	10	10	1.0	10	3	0.11351778615178713	0.5	0.2	0.1	0.6	0.0	0.2	0.006142533936651545	0.0	0.1	0	0.0	31	0.6085106382978723	0.14893617021276595
A4D256	20	8	0.4	8	6	0.11632210092396893	0.25	0.3	0.05	0.45	0.0	0.0	-0.2976563395754573	0.05	0.1	1	0.6	38	0.610738255033557	0.13870246085011187
A4D2B0	10	10	1.0	10	10	0.3678393648648223	0.0	0.0	0.0	0.6	0.0	0.0	-0.3387546959952399	0.1	0.1	0	0.0	53	0.6127819548872181	0.6127819548872181
A4D2P6	53	53	1.0	53	33	0.24963386163124027	0.22641509433962265	0.1320754716981132	0.03773584905660377	0.5283018867924528	0.0	0.0	-0.2503738254580855	0.05660377358490566	0.0	0	0.0	54	0.6218001651527663	0.3666391412056152
A4GXA9	18	18	1.0	18	10	0.24300019821280722	0.1111111111111111	0.3888888888888889	0.0	0.4444444444444444	0.0	0.0	-0.22566658634220435	0.1111111111111111	0.05555555555555555	0	0.0	65	0.58311345646438	0.28232189973614774
A4UGR9	190	188	0.9894736842105263	188	114	0.2983799002569937	0.24210526315789474	0.11578947368421053	0.07368421052631578	0.5578947368421052	0.0	0.0	-0.7128359895551954	0.12105263157894737	0.0	1	0.010526315789473684	53	0.7068761114404268	0.3767042086544161
A5A3E0	54	5	0.09259259259259259	5	2	0.016478985580636325	0.42592592592592593	0.18518518518518517	0.1111111111111111	0.5740740740740741	0.0	0.0	-0.5951102310381786	0.2037037037037037	0.018518518518518517	11	0.9074074074074074	40	0.706046511627907	0.024186046511627906
A5D8T8	21	1	0.047619047619047616	1	0	0.0	0.14285714285714285	0.6190476190476191	0.09523809523809523	0.14285714285714285	0.047619047619047616	0.14285714285714285	-0.17414007016948205	0.0	0.0	2	0.9523809523809523	40	0.625560538116592	0.0
A5D8V6	7	7	1.0	7	2	0.051767023022172697	0.7142857142857143	0.0	0.14285714285714285	0.7142857142857143	0.0	0.0	-0.48631120786155113	0.0	0.0	0	0.0	92	0.29295774647887324	0.0647887323943662
A5D8V7	33	33	1.0	33	27	0.39075355572636783	0.18181818181818182	0.06060606060606061	0.0	0.5151515151515151	0.0	0.0	-0.5671157489532807	0.06060606060606061	0.030303030303030304	0	0.0	20	0.6554621848739496	0.534453781512605
A5D8W1	48	48	1.0	48	25	0.23625990596720275	0.25	0.3125	0.041666666666666664	0.5625	0.0	0.0	0.06556318461699961	0.020833333333333332	0.08333333333333333	0	0.0	39	0.7162592986184909	0.2763018065887354
A5LHX3	16	16	1.0	16	8	0.24607960057652617	0.1875	0.3125	0.0	0.5	0.0	0.0	-0.1734338057775558	0.0	0.0	0	0.0	24	0.74	0.39
A5PKW4	42	42	1.0	41	29	0.2649000206624755	0.21428571428571427	0.09523809523809523	0.0	0.4523809523809524	0.0	0.0	-0.37213670031597196	0.07142857142857142	0.0	0	0.0	71	0.5	0.3359375
A5PLL7	11	11	1.0	11	7	0.2249725702579382	0.18181818181818182	0.36363636363636365	0.0	0.5454545454545454	0.0	0.0	-0.2050812033815987	0.0	0.09090909090909091	0	0.0	42	0.6370370370370371	0.2777777777777778
A5PLN9	20	20	1.0	19	5	0.10754198297382486	0.3	0.5	0.15	0.4	0.0	0.0	-0.1850798248592366	0.0	0.05	0	0.0	48	0.6834532374100719	0.10071942446043165
A5X5Y0	12	9	0.75	9	5	0.09726807541807156	0.3333333333333333	0.25	0.0	0.5833333333333334	0.0	0.0	0.07151456232698887	0.0	0.16666666666666666	2	0.25	63	0.43201754385964913	0.17763157894736842
A5YKK6	120	120	1.0	119	62	0.2324117735095148	0.36666666666666664	0.16666666666666666	0.08333333333333333	0.4583333333333333	0.0	0.0	-0.06322041968151726	0.05	0.05	0	0.0	66	0.6645622895622896	0.29545454545454547
A5YM72	35	34	0.9714285714285714	32	20	0.2261730524489733	0.17142857142857143	0.2857142857142857	0.0	0.4	0.0	0.0	0.2959608442322359	0.02857142857142857	0.2	1	0.02857142857142857	46	0.558645707376058	0.2914147521160822
A6BM72	22	22	1.0	22	3	0.02708408486364867	0.3181818181818182	0.6363636363636364	0.045454545454545456	0.36363636363636365	0.0	0.4090909090909091	-0.3532178735661937	0.045454545454545456	0.045454545454545456	0	0.0	121	0.28735632183908044	0.032567049808429116
A6H8Y1	125	125	1.0	125	70	0.23833413344233598	0.24	0.152	0.136	0.728	0.0	0.0	-0.8281027645285349	0.224	0.04	0	0.0	84	0.6265243902439024	0.3250762195121951
A6H8Z2	18	18	1.0	18	9	0.19838897710481163	0.1111111111111111	0.4444444444444444	0.0	0.6666666666666666	0.0	0.0	-0.5281473499361431	0.16666666666666666	0.0	0	0.0	81	0.6716417910447762	0.31840796019900497
A6NC98	80	80	1.0	80	67	0.4067757699289771	0.1	0.0625	0.0	0.7	0.0	0.0	-0.6804271967927155	0.15	0.0125	0	0.0	68	0.6233062330623306	0.5338753387533876
A6NCS4	12	10	0.8333333333333334	10	6	0.18690842892898335	0.25	0.16666666666666666	0.0	0.9166666666666666	0.0	0.0	-0.2210099902534113	0.0	0.08333333333333333	7	0.16666666666666666	84	0.5049833887043189	0.2425249169435216
A6ND01	7	7	1.0	7	4	0.13960390172121084	0.0	0.42857142857142855	0.0	0.7142857142857143	0.0	0.0	-0.8511099176512712	0.2857142857142857	0.0	0	0.0	37	0.344	0.152
A6ND36	41	41	1.0	40	27	0.29742652376462353	0.2682926829268293	0.07317073170731707	0.024390243902439025	0.6341463414634146	0.0	0.0	-0.41336794494535756	0.07317073170731707	0.04878048780487805	0	0.0	46	0.6038882138517618	0.40340218712029163
A6NDB9	29	29	1.0	29	21	0.29308224551488343	0.20689655172413793	0.06896551724137931	0.0	0.7586206896551724	0.0	0.0	-0.7793317561312976	0.2413793103448276	0.0	0	0.0	74	0.62555720653789	0.399702823179792
A6NDG6	18	18	1.0	18	5	0.14712586186542112	0.3333333333333333	0.3888888888888889	0.05555555555555555	0.2777777777777778	0.0	0.1111111111111111	0.05895294507566606	0.05555555555555555	0.05555555555555555	0	0.0	46	0.7414330218068536	0.16510903426791276
A6NDV4	15	15	1.0	15	4	0.07706184594583644	0.13333333333333333	0.4666666666666667	0.2	0.4666666666666667	0.13333333333333333	0.13333333333333333	0.19313730613357302	0.0	0.13333333333333333	0	0.0	58	0.559322033898305	0.13347457627118645
A6NED2	19	19	1.0	19	15	0.3744946053087032	0.05263157894736842	0.21052631578947367	0.0	0.3157894736842105	0.0	0.0	-0.24807399546180706	0.05263157894736842	0.05263157894736842	0	0.0	45	0.7127659574468085	0.5638297872340425
A6NEM1	18	3	0.16666666666666666	3	0	0.0	0.2222222222222222	0.1111111111111111	0.16666666666666666	0.7777777777777778	0.0	0.0	-0.8725571114896673	0.2777777777777778	0.05555555555555555	8	0.8333333333333334	59	0.4652777777777778	0.0
A6NER3	1	0	0.0	0	0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	-2.442857142857143	1.0	0.0	13	1.0	56	0.05982905982905983	0.0
A6NFA1	12	10	0.8333333333333334	10	7	0.12198278243814328	0.16666666666666666	0.08333333333333333	0.08333333333333333	0.5	0.08333333333333333	0.0	-0.2869234625668449	0.08333333333333333	0.08333333333333333	1	0.16666666666666666	80	0.30174081237911027	0.15473887814313347
A6NFQ2	31	31	1.0	31	16	0.1586649200767349	0.3225806451612903	0.2903225806451613	0.0	0.6129032258064516	0.0	0.0	-0.06943913938049934	0.0	0.06451612903225806	0	0.0	85	0.529923830250272	0.22742110990206746
A6NFX1	11	10	0.9090909090909091	10	5	0.09309588255325812	0.36363636363636365	0.2727272727272727	0.0	0.2727272727272727	0.0	0.0	0.24363045064769207	0.0	0.18181818181818182	1	0.09090909090909091	59	0.40674603174603174	0.17261904761904762
A6NFY7	6	6	1.0	6	4	0.3125331464841833	0.16666666666666666	0.16666666666666666	0.0	0.16666666666666666	0.0	0.0	-0.9152380952380953	0.16666666666666666	0.0	0	0.0	20	0.6260869565217392	0.33043478260869563
A6NGG8	65	65	1.0	65	36	0.257937762975458	0.16923076923076924	0.3230769230769231	0.09230769230769231	0.5230769230769231	0.0	0.0	-0.7157270383957867	0.16923076923076924	0.03076923076923077	0	0.0	50	0.6940993788819876	0.343944099378882
A6NGQ2	7	7	1.0	7	5	0.29139349671040843	0.2857142857142857	0.14285714285714285	0.0	0.5714285714285714	0.0	0.0	-0.3477540713254999	0.0	0.0	0	0.0	34	0.5973154362416108	0.4429530201342282
A6NGU5	18	0	0.0	0	0	0.0	0.16666666666666666	0.16666666666666666	0.16666666666666666	0.4444444444444444	0.16666666666666666	0.0	0.07627572016460905	0.1111111111111111	0.1111111111111111	2	1.0	52	0.3732394366197183	0.0
A6NHQ2	18	14	0.7777777777777778	13	9	0.2587535987832181	0.16666666666666666	0.05555555555555555	0.0	0.2777777777777778	0.0	0.0	-0.10706121177870405	0.05555555555555555	0.0	2	0.2222222222222222	33	0.6676646706586826	0.32335329341317365
A6NHR9	104	104	1.0	104	61	0.26963580503306034	0.17307692307692307	0.21153846153846154	0.0673076923076923	0.625	0.0	0.0	-0.31063352302163627	0.038461538461538464	0.0	0	0.0	48	0.6448877805486284	0.34463840399002493
A6NHX0	13	12	0.9230769230769231	12	8	0.22201560277861912	0.38461538461538464	0.15384615384615385	0.07692307692307693	0.46153846153846156	0.0	0.0	0.2686686951696682	0.0	0.0	1	0.07692307692307693	58	0.6595744680851063	0.3556231003039514
A6NI15	4	4	1.0	4	4	0.19262768836859137	0.0	0.0	0.0	0.25	0.0	0.0	-0.32359090909090915	0.0	0.0	0	0.0	80	0.29015544041450775	0.29015544041450775
A6NI61	9	9	1.0	9	3	0.12154279214809907	0.5555555555555556	0.3333333333333333	0.0	0.4444444444444444	0.1111111111111111	0.0	0.8639120543143533	0.0	0.3333333333333333	0	0.0	33	0.7285067873303167	0.22171945701357465
A6NI73	11	10	0.9090909090909091	10	7	0.21384181871086008	0.18181818181818182	0.09090909090909091	0.09090909090909091	0.18181818181818182	0.09090909090909091	0.0	-0.4495576724355965	0.09090909090909091	0.09090909090909091	1	0.09090909090909091	50	0.5986622073578596	0.3411371237458194
A6NIH7	10	9	0.9	9	5	0.17781577047379113	0.1	0.3	0.0	0.1	0.0	0.0	-0.315451914098973	0.0	0.0	1	0.1	36	0.5338645418326693	0.250996015936255
A6NIM6	22	22	1.0	22	8	0.12266242434501501	0.18181818181818182	0.5909090909090909	0.0	0.45454545454545453	0.0	0.0	0.33861330331315903	0.0	0.2727272727272727	0	0.0	63	0.6269430051813472	0.16580310880829016
A6NIX2	23	22	0.9565217391304348	22	13	0.2882804676703222	0.043478260869565216	0.43478260869565216	0.0	0.5652173913043478	0.0	0.0	-0.235891783146932	0.0	0.08695652173913043	2	0.043478260869565216	31	0.7813953488372093	0.40930232558139534
A6NJ78	23	15	0.6521739130434783	15	9	0.1952632454861858	0.43478260869565216	0.13043478260869565	0.0	0.5652173913043478	0.0	0.0	-0.24184671691385243	0.043478260869565216	0.043478260869565216	1	0.34782608695652173	27	0.7616707616707616	0.25552825552825553
A6NK06	21	21	1.0	21	12	0.2281581086020305	0.19047619047619047	0.14285714285714285	0.14285714285714285	0.42857142857142855	0.0	0.0	-0.18279012230173217	0.09523809523809523	0.0	0	0.0	46	0.6673596673596673	0.33264033264033266
A6NK58	9	9	1.0	9	3	0.11914572096766912	0.2222222222222222	0.5555555555555556	0.0	0.3333333333333333	0.0	0.0	0.16893999518999514	0.0	0.1111111111111111	0	0.0	36	0.4675324675324675	0.1341991341991342
