uniprot	pe	pe_text	length	mw_da	gravy	pI	n_tryptic_7_30	tryptic_per_kda	cysteine_fraction	charged_fraction	proline_fraction	glycine_fraction	aromatic_fraction	n_glyco_motif_count	low_complexity_fraction	pep_frac_unique	pep_frac_shared	pep_max_shared_genes	pep_n_unique	pep_n_clean	pep_clean_per_kda	pep_coverage_clean	pep_frac_met	pep_frac_cys	pep_frac_sequon	pep_frac_slow_cleave	pep_gravy_mean	pep_frac_hydrophilic	pep_frac_hydrophobic	pep_max_gap	pep_coverage_7_30	ensg	y	p_seq
A0AV96	1	Evidence at protein level	593	64099.080464999955	-0.23440134907251223	7.76	21	0.32761780430636034	0.013490725126475547	0.21079258010118043	0.0775716694772344	0.09106239460370995	0.09106239460370995	1	0.029616724738675958	0.9047619047619048	0.0952380952380952	2	19	9	0.1404971592880223	0.209106239460371	0.3809523809523809	0.238095238095238	0.0476190476190476	0.4761904761904761	-0.1580250837708821	0.0952380952380952	0.0476190476190476	61	0.5193929173693086	ENSG00000163694	1.0	0.7920408404033642
A0AVF1	1	Evidence at protein level	554	64177.620564999874	-0.3333935018050544	6.93	35	0.5453614467453117	0.019855595667870037	0.2545126353790614	0.023465703971119134	0.05054151624548736	0.11913357400722022	3	0.0	1.0	0.0	0	35	20	0.3118353250510726	0.4025270758122743	0.2571428571428571	0.2	0.0857142857142857	0.4857142857142857	-0.1179689973891655	0.0571428571428571	0.0857142857142857	28	0.8357400722021661			0.9041051338719163
A0AVI4	1	Evidence at protein level	362	40463.90386500001	0.1751381215469608	7.7	14	0.3459873779531578	0.049723756906077346	0.16574585635359115	0.055248618784530384	0.03591160220994475	0.09668508287292818	1	0.0	1.0	0.0	0	14	6	0.1483773789657594	0.2569060773480663	0.2142857142857142	0.5	0.0714285714285714	0.4285714285714285	0.1757862958703294	0.0	0.1428571428571428	54	0.6298342541436464			0.5800886285668215
A0AVK6	1	Evidence at protein level	867	94166.1229650003	-0.4673587081891581	9.46	35	0.37168356196430447	0.012687427912341407	0.21914648212226068	0.09111880046136102	0.05536332179930796	0.04844290657439446	9	0.0	0.9714285714285714	0.0285714285714285	1	34	17	0.1806444566195379	0.2376009227220299	0.2571428571428571	0.2	0.1142857142857142	0.5714285714285714	-0.4849603951914875	0.1428571428571428	0.0571428571428571	86	0.5201845444059977	ENSG00000129173	0.0	0.7531981973822041
A0AVT1	1	Evidence at protein level	1052	117969.97016500056	-0.23384030418250917	6.05	58	0.49165054393823604	0.021863117870722433	0.23574144486692014	0.053231939163498096	0.051330798479087454	0.08650190114068441	4	0.0	1.0	0.0	0	58	29	0.2459814749096032	0.3203422053231939	0.2413793103448276	0.3275862068965517	0.0517241379310344	0.5517241379310345	-0.195415713830805	0.0172413793103448	0.0517241379310344	48	0.7946768060836502	ENSG00000033178	1.0	0.9398723639615484
A0FGR8	1	Evidence at protein level	921	102357.47726500014	-0.3393051031487511	9.8	45	0.43963568859260255	0.009771986970684038	0.23995656894679696	0.06623235613463627	0.07600434310532031	0.06188925081433225	7	0.0	1.0	0.0	0	45	28	0.2737210222503327	0.4039087947882736	0.2	0.1333333333333333	0.0888888888888888	0.6	-0.2973350953694091	0.0444444444444444	0.0666666666666666	41	0.6764386536373507	ENSG00000117868	1.0	0.8596284963928615
A0FGR9	1	Evidence at protein level	886	100035.43066500034	-0.2832957110609479	8.47	37	0.3698689529703328	0.023702031602708805	0.24492099322799096	0.07223476297968397	0.05981941309255079	0.08013544018058691	3	0.0	0.972972972972973	0.027027027027027	1	36	21	0.210058484871967	0.27313769751693	0.1081081081081081	0.2972972972972973	0.054054054054054	0.4594594594594595	-0.2402378227277608	0.027027027027027	0.081081081081081	63	0.5293453724604966	ENSG00000158220	0.0	0.73692847565493
A0JLT2	1	Evidence at protein level	244	26273.036265000017	-1.0151639344262302	10.55	8	0.30449468874890984	0.012295081967213115	0.25	0.1598360655737705	0.09016393442622951	0.045081967213114756	2	0.14666666666666667	1.0	0.0	0	8	2	0.0761715309204747	0.1721311475409836	0.625	0.25	0.125	0.625	-0.5657405303030304	0.125	0.0	57	0.5819672131147541	ENSG00000156603	1.0	0.6111991536070838
A0JNW5	1	Evidence at protein level	1464	164198.5025650013	-0.4541666666666669	6.27	81	0.49330535135626163	0.01707650273224044	0.23292349726775957	0.045765027322404374	0.03756830601092896	0.06762295081967214	12	0.0	0.9753086419753086	0.0246913580246913	1	79	38	0.2315728287213771	0.3613387978142076	0.2839506172839506	0.2222222222222222	0.1111111111111111	0.5061728395061729	-0.3745984178566302	0.074074074074074	0.037037037037037	44	0.7704918032786885			0.9169560074066554
A0JP26	1	Evidence at protein level	581	65710.33776499989	-0.7753872633390694	6.66	26	0.3956759451303369	0.0378657487091222	0.29948364888123924	0.027538726333907058	0.05679862306368331	0.04130808950086059	2	0.0	0.0384615384615384	0.9615384615384616	11	1	1	0.015228029109414	0.0189328743545611	0.2692307692307692	0.2307692307692307	0.0769230769230769	0.5384615384615384	-0.5531148504961154	0.1923076923076923	0.0769230769230769	40	0.5817555938037866			0.2321939361818543
A0MZ66	1	Evidence at protein level	631	71639.8552649999	-0.9686212361331212	5.01	38	0.5304309990498423	0.014263074484944533	0.347068145800317	0.060221870047543584	0.02694136291600634	0.017432646592709985	6	0.021241830065359478	1.0	0.0	0	38	23	0.3212483784078647	0.4088748019017432	0.2105263157894736	0.1052631578947368	0.1052631578947368	0.631578947368421	-0.7643807804230243	0.1842105263157894	0.0	35	0.7099841521394612	ENSG00000187164	1.0	0.8331718138331211
A0PJK1	1	Evidence at protein level	596	64342.49436499984	0.6270134228187937	7.66	14	0.21758559624035234	0.018456375838926176	0.10906040268456375	0.04697986577181208	0.087248322147651	0.10570469798657718	5	0.0	0.9285714285714286	0.0714285714285714	1	13	5	0.0777599557020616	0.1208053691275167	0.3571428571428571	0.2857142857142857	0.0714285714285714	0.2142857142857142	0.4728396661694979	0.0714285714285714	0.3571428571428571	74	0.3221476510067114			0.6472990907957126
A0PJY2	1	Evidence at protein level	475	52038.196764999855	-0.447368421052631	10.07	25	0.48041633942271117	0.042105263157894736	0.17684210526315788	0.10947368421052632	0.06315789473684211	0.07157894736842105	6	0.02631578947368421	0.72	0.28	1	18	9	0.173062552774603	0.1768421052631578	0.32	0.36	0.2	0.4	-0.3490112842712842	0.04	0.04	44	0.64	ENSG00000128610	0.0	0.32030490333717254
A0PK00	1	Evidence at protein level	339	40245.78766499993	-0.13038348082595916	9.12	13	0.3230151713816637	0.02654867256637168	0.21238938053097345	0.014749262536873156	0.0471976401179941	0.14749262536873156	2	0.0	1.0	0.0	0	13	2	0.0497266969999221	0.1209439528023598	0.3846153846153846	0.3076923076923077	0.1538461538461538	0.6153846153846154	0.0758931170639315	0.0769230769230769	0.1538461538461538	33	0.6637168141592921	ENSG00000188735	1.0	0.5881830151940338
A0PK05	1	Evidence at protein level	275	29890.642864999998	0.18872727272727224	6.5	6	0.20073171484128938	0.02181818181818182	0.16363636363636364	0.06545454545454546	0.06909090909090909	0.09454545454545454	0	0.0	1.0	0.0	0	6	2	0.0669534240463674	0.1236363636363636	0.5	0.3333333333333333	0.0	0.5	-0.0476725589225588	0.0	0.0	45	0.3381818181818182	ENSG00000187783	1.0	0.6796050223951885
A0PK11	1	Evidence at protein level	232	25446.152065000028	0.7577586206896555	7.01	8	0.31438938113568926	0.021551724137931036	0.14224137931034483	0.03017241379310345	0.07327586206896551	0.11206896551724138	1	0.0	1.0	0.0	0	8	6	0.2359452489683677	0.3448275862068966	0.0	0.25	0.125	0.5	0.0407656926406925	0.0	0.125	43	0.4396551724137931			0.7237552832417482
A1A4S6	1	Evidence at protein level	786	89374.61156500016	-0.5856234096692101	7.2	45	0.5034986917651945	0.013994910941475827	0.27099236641221375	0.06361323155216285	0.04961832061068702	0.08396946564885496	4	0.0	0.9555555555555556	0.0444444444444444	1	43	22	0.2463099907974006	0.3295165394402035	0.2444444444444444	0.2	0.0666666666666666	0.6222222222222222	-0.3004806120568907	0.0444444444444444	0.0444444444444444	48	0.7302798982188295			0.9096960002153434
A1A4Y4	1	Evidence at protein level	181	20142.02186500002	-0.18618784530386726	5.01	10	0.4964744883618956	0.011049723756906077	0.20441988950276244	0.03314917127071823	0.055248618784530384	0.07734806629834254	1	0.0	1.0	0.0	0	10	5	0.2483988381048964	0.2596685082872928	0.5	0.0	0.1	0.5	-0.3531509571029022	0.1	0.0	38	0.6850828729281768			0.8681059841292522
A1A519	1	Evidence at protein level	330	37157.929164999994	-1.0184848484848477	4.71	18	0.4844188146242192	0.030303030303030304	0.296969696969697	0.05454545454545454	0.06666666666666667	0.045454545454545456	0	0.01607717041800643	1.0	0.0	0	18	11	0.2962205778483553	0.4303030303030303	0.2222222222222222	0.1666666666666666	0.0	0.6111111111111112	-0.8069851765802319	0.1666666666666666	0.0	36	0.7272727272727273	ENSG00000164334	0.0	0.8178415615692738
A1A5B4	1	Evidence at protein level	782	90333.30416500014	0.04923273657288968	8.24	28	0.3099631997170836	0.020460358056265986	0.21483375959079284	0.04603580562659847	0.04859335038363171	0.11892583120204604	5	0.0	1.0	0.0	0	28	11	0.1218503940335081	0.1687979539641943	0.3571428571428571	0.3571428571428571	0.1428571428571428	0.3571428571428571	-0.0549603765427077	0.0	0.1428571428571428	49	0.5370843989769821	ENSG00000185101	1.0	0.7086952723910107
A1A5C7	1	Evidence at protein level	686	73748.19506499992	0.3158892128279889	7.78	29	0.3932299627731917	0.03206997084548105	0.15014577259475217	0.0641399416909621	0.10641399416909621	0.08892128279883382	7	0.0	1.0	0.0	0	29	8	0.108548292527882	0.107871720116618	0.3793103448275862	0.3793103448275862	0.1724137931034483	0.5172413793103449	0.0069594456434785	0.0344827586206896	0.2413793103448276	56	0.7026239067055393	ENSG00000137266	1.0	0.7115083532983904
A1E959	1	Evidence at protein level	279	30776.927664999996	-0.4428030303030304	4.13	1	0.03249187218700896	0.0	0.12121212121212122	0.125	0.06060606060606061	0.08712121212121213	0	0.004081632653061225	1.0	0.0	0	1	0	0.0	0.0	1.0	0.0	0.0	0.0	-0.8620689655172415	0.0	0.0	112	0.1039426523297491			0.5388623712137962
A1KXE4	1	Evidence at protein level	195	20323.934965000008	-0.29794871794871836	9.38	3	0.14760921077371686	0.005128205128205128	0.02564102564102564	0.19487179487179487	0.09230769230769231	0.11794871794871795	0	0.0	1.0	0.0	0	3	1	0.0492349684639594	0.0717948717948717	0.3333333333333333	0.3333333333333333	0.0	0.0	-0.4824074074074073	0.0	0.0	52	0.3076923076923077	ENSG00000152102	0.0	0.5187850414356205
A1KZ92	1	Evidence at protein level	1463	163686.04066500088	-0.3845138888888876	7.46	78	0.476522003239326	0.030555555555555555	0.21458333333333332	0.06458333333333334	0.06180555555555556	0.0763888888888889	11	0.0	1.0	0.0	0	78	39	0.2384123300762477	0.3315105946684894	0.2051282051282051	0.282051282051282	0.1282051282051282	0.4487179487179487	-0.2685547683434874	0.0384615384615384	0.0256410256410256	43	0.7566643882433356			0.858344771340339
A1L0T0	1	Evidence at protein level	632	67867.74036499987	0.18370253164556924	8.22	25	0.3683635239002707	0.01740506329113924	0.18354430379746836	0.058544303797468354	0.09177215189873418	0.06487341772151899	1	0.0	1.0	0.0	0	25	10	0.1474388066901139	0.2009493670886075	0.32	0.32	0.0	0.48	0.1861651516675458	0.04	0.12	46	0.5996835443037974			0.8489943924637886
A1L167	1	Evidence at protein level	161	18338.076665	-0.3118012422360248	8.21	9	0.49078211223630525	0.012422360248447204	0.2670807453416149	0.049689440993788817	0.055900621118012424	0.10559006211180125	1	0.0	1.0	0.0	0	9	5	0.2728309818899425	0.3105590062111801	0.4444444444444444	0.1111111111111111	0.1111111111111111	0.6666666666666666	-0.1042108690147905	0.0	0.0	25	0.7267080745341615			0.8645619396164569
A1L190	1	Evidence at protein level	88	10601.085865000003	-0.8670454545454548	4.25	8	0.7546396757724967	0.011363636363636364	0.375	0.022727272727272728	0.0	0.056818181818181816	0	0.0	0.875	0.125	1	7	1	0.0943927863329083	0.1136363636363636	0.75	0.125	0.0	1.0	-0.7707738095238095	0.25	0.0	16	0.8522727272727273			0.6608388224367956
A1L390	1	Evidence at protein level	1219	134412.22996500085	-0.70090237899918	6.52	48	0.3571103612558066	0.013125512715340444	0.26004922067268255	0.081214109926169	0.06726825266611977	0.054963084495488104	4	0.0008333333333333334	0.9791666666666666	0.0208333333333333	1	47	30	0.223331838220303	0.2838392124692371	0.2083333333333333	0.125	0.0416666666666666	0.5208333333333334	-0.5813179299970611	0.0625	0.0	78	0.4946677604593929	ENSG00000126822	1.0	0.8631278166484841
A1L3X0	1	Evidence at protein level	281	33356.30816499999	0.24642857142857116	9.57	8	0.23983469514753486	0.02142857142857143	0.15714285714285714	0.03571428571428571	0.04642857142857143	0.20714285714285716	1	0.0	1.0	0.0	0	8	2	0.0599989439465878	0.0818505338078291	0.5	0.5	0.0	0.25	0.4904050925925926	0.0	0.25	36	0.5266903914590747	ENSG00000164181	0.0	0.29235964533959874
A1L4H1	1	Evidence at protein level	1573	165742.7327650007	-0.6217726396917206	6.02	60	0.36200682225429065	0.02697495183044316	0.18561335902376364	0.14836223506743737	0.0899165061014772	0.04238921001926782	5	0.053315994798439535	1.0	0.0	0	60	30	0.1811170716613096	0.235219326128417	0.15	0.4	0.0333333333333333	0.5833333333333334	-0.5151113063619647	0.05	0.0166666666666666	254	0.5162110616656072	ENSG00000179954	1.0	0.8581145283658875
A1L4K1	1	Evidence at protein level	749	85385.29286500011	-0.5807743658210938	4.54	30	0.35134856359199956	0.025367156208277702	0.27770360480640854	0.0520694259012016	0.0520694259012016	0.08811748998664887	2	0.0	1.0	0.0	0	30	13	0.152347639357274	0.1895861148197596	0.4	0.2666666666666666	0.0333333333333333	0.5666666666666667	-0.421973390595759	0.0	0.0666666666666666	56	0.5514018691588785			0.8582015133359586
A1X283	1	Evidence at protein level	911	101579.08796500035	-0.8447859495060374	9.06	46	0.45284911413902	0.008781558726673985	0.287596048298573	0.11745334796926454	0.07574094401756312	0.06586169045005488	5	0.0	0.9565217391304348	0.0434782608695652	1	44	29	0.2856689380585359	0.3765093304061471	0.1521739130434782	0.1304347826086956	0.0652173913043478	0.5217391304347826	-0.6825554004706649	0.0869565217391304	0.0217391304347826	41	0.6597145993413831	ENSG00000174705	1.0	0.8602503123993915
A1XBS5	1	Evidence at protein level	289	33430.622865	-0.7595041322314051	4.83	12	0.358952330875155	0.008264462809917356	0.3305785123966942	0.02066115702479339	0.02066115702479339	0.06198347107438017	0	0.0	1.0	0.0	0	12	8	0.2394494718133294	0.3979238754325259	0.25	0.0833333333333333	0.0	0.4166666666666667	-0.4722060786435786	0.0833333333333333	0.0	25	0.5605536332179931			0.8077960877457615
A1Z1Q3	1	Evidence at protein level	425	47421.245565000005	-0.9040000000000002	4.31	17	0.35848910751823687	0.021176470588235293	0.33647058823529413	0.04470588235294118	0.07058823529411765	0.04941176470588235	5	0.0	1.0	0.0	0	17	8	0.168805506045042	0.2258823529411764	0.0588235294117647	0.3529411764705882	0.1176470588235294	0.7647058823529411	-0.8803711484593837	0.2941176470588235	0.0588235294117647	40	0.5129411764705882	ENSG00000172264	1.0	0.8667120603000246
A2A288	1	Evidence at protein level	527	58077.85286499999	-0.5800759013282724	8.85	31	0.5337662890544258	0.015180265654648957	0.25616698292220114	0.12144212523719165	0.08918406072106262	0.07590132827324478	0	0.0	0.967741935483871	0.032258064516129	3	30	22	0.3790380115646091	0.5426944971537002	0.1290322580645161	0.1612903225806451	0.0	0.5483870967741935	-0.3649722666139458	0.1290322580645161	0.032258064516129	30	0.7798861480075902	ENSG00000178199	0.0	0.6732933435221901
A2A2Y4	1	Evidence at protein level	597	68772.00436499993	-0.3639865996649912	6.35	24	0.34897921358555456	0.02680067001675042	0.26800670016750416	0.06365159128978225	0.04187604690117253	0.10050251256281408	3	0.005190311418685121	1.0	0.0	0	24	12	0.1746012943174477	0.2378559463986599	0.2083333333333333	0.375	0.0833333333333333	0.5	-0.4802693963763336	0.125	0.0416666666666666	41	0.4824120603015075	ENSG00000172159	1.0	0.7625935922260348
A2IDD5	1	Evidence at protein level	438	48521.29946500002	-0.6837899543378977	8.28	24	0.49462813784103155	0.01141552511415525	0.2374429223744292	0.05707762557077625	0.07077625570776255	0.04794520547945205	1	0.0	1.0	0.0	0	24	18	0.3711966270702764	0.545662100456621	0.0833333333333333	0.1666666666666666	0.0416666666666666	0.2916666666666667	-0.6140399931193753	0.125	0.0	30	0.7785388127853882			0.8309048657603004
A2PYH4	1	Evidence at protein level	1435	162609.79616500132	-0.3768641114982564	7.09	88	0.5411728080066331	0.014634146341463415	0.25365853658536586	0.03902439024390244	0.04320557491289199	0.08362369337979095	7	0.0	1.0	0.0	0	88	53	0.3261395808326668	0.4397212543554007	0.25	0.1477272727272727	0.0568181818181818	0.5340909090909091	-0.2348847888509427	0.0454545454545454	0.0568181818181818	34	0.7846689895470383			0.9247708338630017
A2RRP1	1	Evidence at protein level	2371	268571.30906500254	-0.2897089835512458	5.82	110	0.40957465033383966	0.02446225221425559	0.24209194432728806	0.04597216364403205	0.04723745255166596	0.07971320118093632	9	0.0017006802721088435	1.0	0.0	0	110	67	0.2496267655257044	0.360185575706453	0.2	0.2363636363636363	0.0454545454545454	0.4818181818181818	-0.2683747755083461	0.0909090909090909	0.0545454545454545	41	0.6427667650780261	ENSG00000151779	1.0	0.9534788498656422
A2RTX5	1	Evidence at protein level	802	92645.54726500019	-0.4963795255930072	5.93	39	0.42095924900141957	0.02247191011235955	0.27965043695380776	0.039950062421972535	0.052434456928838954	0.09987515605493133	3	0.0	0.8974358974358975	0.1025641025641025	1	35	17	0.1836121733952902	0.2456359102244389	0.2564102564102564	0.282051282051282	0.0512820512820512	0.6410256410256411	-0.2073469712967212	0.0512820512820512	0.0	71	0.6384039900249376	ENSG00000185418	1.0	0.8833342417902966
A2RU14	1	Evidence at protein level	115	12459.134665000009	1.486956521739131	7.51	3	0.24078718792787024	0.008695652173913044	0.10434782608695652	0.043478260869565216	0.08695652173913043	0.14782608695652175	0	0.0	1.0	0.0	0	3	3	0.2409439036021168	0.3739130434782609	0.0	0.0	0.0	0.0	0.8984848484848483	0.0	0.3333333333333333	35	0.3739130434782609			0.39707279347516
A2RU30	1	Evidence at protein level	521	59213.333164999975	-0.7556621880998076	5.42	22	0.3715379429611951	0.028790786948176585	0.2629558541266795	0.07869481765834933	0.0345489443378119	0.07677543186180422	1	0.0	1.0	0.0	0	22	11	0.185886149182827	0.2859884836852207	0.3181818181818182	0.3636363636363636	0.0	0.5454545454545454	-0.6345938486338398	0.2272727272727272	0.0	52	0.6525911708253359	ENSG00000135426	0.0	0.5586839155437913
A2RU49	1	Evidence at protein level	373	41933.13506499999	-0.15442359249329785	6.84	18	0.42925481178782465	0.013404825737265416	0.2037533512064343	0.040214477211796246	0.05630026809651475	0.09919571045576407	0	0.0	1.0	0.0	0	18	10	0.2386278602120171	0.3726541554959786	0.2777777777777778	0.2222222222222222	0.0	0.5555555555555556	-0.0539698633553123	0.0	0.0555555555555555	40	0.6514745308310992	ENSG00000188266	1.0	0.8702486069822142
A2RUB1	1	Evidence at protein level	952	107558.67716500025	-0.789180672268908	7.12	54	0.5020515445458795	0.022058823529411766	0.22794117647058823	0.05777310924369748	0.051470588235294115	0.0861344537815126	15	0.0	1.0	0.0	0	54	25	0.2325770297030211	0.3014705882352941	0.2222222222222222	0.2777777777777778	0.2222222222222222	0.4259259259259259	-0.7081866502144917	0.1481481481481481	0.037037037037037	54	0.7331932773109243	ENSG00000180336	1.0	0.8665951407221486
A2RUB6	1	Evidence at protein level	948	109411.27926500032	-1.0820675105485236	8.41	51	0.4661311004003079	0.016877637130801686	0.31223628691983124	0.04219409282700422	0.035864978902953586	0.046413502109704644	10	0.006458557588805167	0.9803921568627452	0.0196078431372549	2	50	26	0.2377830166001122	0.300632911392405	0.3333333333333333	0.1372549019607843	0.0980392156862745	0.6470588235294118	-0.8052564573474018	0.1176470588235294	0.0	42	0.6255274261603375	ENSG00000180376	1.0	0.8387454376637157
A2RUC4	1	Evidence at protein level	315	36547.851164999985	-0.42952380952381003	7.65	19	0.5198664051197444	0.009523809523809525	0.27936507936507937	0.05396825396825397	0.047619047619047616	0.12380952380952381	0	0.0	1.0	0.0	0	19	12	0.3285438320816785	0.3396825396825397	0.2631578947368421	0.1052631578947368	0.0	0.7894736842105263	-0.4753591627670575	0.0526315789473684	0.0526315789473684	35	0.6349206349206349			0.8926411378047776
A2RUH7	1	Evidence at protein level	354	38733.32666499996	-0.28361581920904017	8.47	12	0.3098107245934904	0.025423728813559324	0.211864406779661	0.08192090395480225	0.07344632768361582	0.07344632768361582	0	0.0	1.0	0.0	0	12	4	0.1033351161401637	0.1638418079096045	0.1666666666666666	0.5	0.0	0.3333333333333333	-0.1348024541252376	0.0	0.0	34	0.5169491525423728			0.5873894392337456
A2VDJ0	1	Evidence at protein level	1609	179339.19826500083	-0.3866794136392611	6.7	68	0.3791697557358303	0.02676864244741874	0.2001274697259401	0.06437221159974506	0.05162523900573614	0.08922880815806246	17	0.0	1.0	0.0	0	68	34	0.1897058520873514	0.2392790553138595	0.2352941176470588	0.3088235294117647	0.1764705882352941	0.5735294117647058	-0.315077673255526	0.0588235294117647	0.0294117647058823	124	0.5724052206339342	ENSG00000121210	0.0	0.8397502107034296
A2VEC9	2	Evidence at transcript level	5150	547841.3583650122	-0.3414377556984249	5.95	139	0.2537230858488562	0.10968244691213715	0.159360997467368	0.10831872199493474	0.11221507890122735	0.058445353594389245	43	0.0	1.0	0.0	0	139	24	0.0438379807875258	0.0574757281553398	0.1007194244604316	0.8057553956834532	0.079136690647482	0.4100719424460431	-0.4023350094239931	0.0431654676258992	0.0071942446043165	108	0.3920388349514563			0.7651359036824121
A3KMH1	1	Evidence at protein level	1905	214824.45336500157	-0.3347895578050077	7.13	108	0.5027360633684497	0.009589770911028236	0.24347362812999468	0.053809270111880664	0.06180074587107086	0.07298881193393714	5	0.0	1.0	0.0	0	108	74	0.3446841609126341	0.4671916010498688	0.2129629629629629	0.1018518518518518	0.037037037037037	0.7314814814814815	-0.195499771512175	0.0648148148148148	0.0277777777777777	45	0.7196850393700788	ENSG00000102763	1.0	0.9643452490645329
A4D0S4	1	Evidence at protein level	1761	193539.72886500155	-0.44638346727898986	6.26	81	0.41851872209916846	0.07405281285878301	0.21699196326061998	0.05855338691159587	0.07807118254879448	0.05970149253731343	16	0.0	0.9753086419753086	0.0246913580246913	1	79	33	0.1706189809965665	0.208404315729699	0.1481481481481481	0.4074074074074074	0.1358024691358024	0.4938271604938271	-0.4703292566914888	0.0617283950617283	0.0246913580246913	88	0.6070414537194776	ENSG00000091128	1.0	0.8437846783855206
A4D126	1	Evidence at protein level	451	49872.598564999884	-0.05720620842572064	6.2	24	0.4812261781130244	0.028824833702882482	0.22838137472283815	0.04878048780487805	0.0598669623059867	0.057649667405764965	1	0.0	1.0	0.0	0	24	14	0.2808944853935909	0.368070953436807	0.25	0.2916666666666667	0.0416666666666666	0.4583333333333333	0.0736852668255854	0.0	0.125	37	0.7893569844789357			0.7877422783877999
