fluid	gene	uniprot	Mass spectrometry	SomaScan	Olink PEA	Luminex xMAP	NULISAseq	ELISA-based protein array	group	pe	p_seq	pep_n_unique	pep_n_clean	pep_frac_shared	ensg	is_secreted	has_signal	ms_class	on_somascan	on_olink	org_lysate_ms	org_lysate_aff	org_media_ms	org_media_aff	druggable	approved_drug
plasma	AXIN1	O15169	0	0	1	0	0	0	affinity_only	1.0	0.8674176868828001	40.0	24.0	0.0	ENSG00000103126	0.0	0.0	confirmable	1	1	1.0	1.0	0.0	1.0	1	0
plasma	B2M	P61769	0	0	0	1	0	0	other_only	1.0	0.7601806917496268	5.0	4.0	0.0	ENSG00000166710	1.0	1.0	confirmable	1	1	1.0	1.0	1.0	1.0	1	1
plasma	BACE1	P56817	0	0	0	0	1	0	other_only	1.0	0.7926488202655567	15.0	9.0	0.0	ENSG00000186318	0.0	1.0	confirmable	1	1	1.0	1.0	0.0	1.0	1	0
plasma	BASP1	P80723	0	0	0	0	1	0	other_only	1.0	0.9215406202111596	11.0	11.0	0.0	ENSG00000176788	0.0	0.0	confirmable	1	0	1.0	1.0	1.0	1.0	0	0
plasma	BCAN	Q96GW7	0	0	1	0	0	0	affinity_only	1.0	0.7475235979981696	34.0	17.0	0.0285714285714285	ENSG00000132692	1.0	1.0	confirmable	1	1	1.0	1.0	0.0	1.0	0	0
plasma	BCHE	P06276	1	0	0	0	0	0	ms_only	1.0	0.8429618768731287	24.0	13.0	0.04	ENSG00000114200	1.0	1.0	confirmable	1	1	1.0	1.0	0.0	1.0	1	1
plasma	BDNF	P23560	0	0	0	0	1	0	other_only	1.0	0.7826076546460776	15.0	7.0	0.0	ENSG00000176697	1.0	1.0	confirmable	1	1	0.0	1.0	0.0	1.0	1	1
plasma	BGLAP	P02818	1	0	0	0	0	0	ms_only	1.0	0.6025007565101556	2.0	1.0	0.0				inference_limited	1	1					1	1
plasma	BLNK	Q8WV28	0	0	1	0	0	0	affinity_only	1.0	0.8079789247377658	21.0	17.0	0.0	ENSG00000095585	0.0	0.0	confirmable	1	1	0.0	1.0	0.0	0.0	0	0
plasma	BRK1	Q8WUW1	0	0	1	0	0	0	affinity_only	1.0	0.8047847172801068	5.0	4.0	0.0				confirmable	1	1					0	0
plasma	BTD	P43251	1	0	0	0	0	0	ms_only	1.0	0.7357883145300436	21.0	4.0	0.0	ENSG00000169814	1.0	1.0	confirmable	1	1	1.0	1.0	0.0	1.0	1	1
plasma	BTN3A2	P78410	0	0	1	0	0	0	affinity_only	1.0	0.9119201919932148	9.0	5.0	0.4705882352941176	ENSG00000186470	0.0	1.0	confirmable	1	1	0.0	1.0	0.0	1.0	0	0
plasma	C1QC	P02747	1	0	0	0	0	0	ms_only	1.0	0.6588321835169867	10.0	7.0	0.0	ENSG00000159189	1.0	1.0	chemistry_limited	1	0	0.0	1.0	0.0	0.0	1	0
plasma	C3	P01024	1	1	0	1	0	0	both	1.0	0.9539734193042138	94.0	55.0	0.0105263157894736	ENSG00000125730	1.0	1.0	confirmable	1	1	0.0	1.0	0.0	1.0	1	1
plasma	C4A	P0C0L4	1	0	0	0	0	0	ms_only	1.0	0.6399853008561981	0.0	0.0	1.0	ENSG00000244731	1.0	1.0	inference_locked	1	0	0.0	1.0	0.0	0.0	1	0
plasma	C4BPA	P04003	1	0	0	0	0	0	ms_only	1.0	0.6855116547149492	28.0	9.0	0.0	ENSG00000123838	1.0	1.0	chemistry_limited	1	0	0.0	1.0	0.0	0.0	1	0
plasma	C5	P01031	1	0	0	0	0	0	ms_only	1.0	0.9025529465827984	25.0	21.0	0.0	ENSG00000106804	1.0	1.0	confirmable	1	1	0.0	1.0	0.0	1.0	1	1
plasma	C6	P13671	0	1	0	0	0	0	affinity_only	1.0	0.7647073121865289	44.0	13.0	0.0	ENSG00000039537	1.0	1.0	confirmable	1	0	0.0	1.0	0.0	0.0	1	0
plasma	C7	P10643	1	1	0	0	0	0	both	1.0	0.8480046054852486	42.0	14.0	0.0232558139534883	ENSG00000112936	1.0	1.0	confirmable	1	1	0.0	1.0	0.0	1.0	1	0
plasma	C9	P02748	1	0	0	0	0	0	ms_only	1.0	0.8060632040624537	26.0	14.0	0.0	ENSG00000113600	1.0	1.0	confirmable	1	1	0.0	1.0	0.0	1.0	1	0
plasma	CALCA	P06881	0	0	0	1	0	0	other_only	1.0	0.632504992290445	2.0	1.0	0.3333333333333333				inference_limited	1	0					1	1
plasma	CAMP	P49913	1	0	0	0	0	0	ms_only	1.0	0.4740497277512393	1.0	1.0	0.0	ENSG00000164047	1.0	1.0	inference_limited	1	0	0.0	1.0	0.0	1.0	1	0
plasma	CANT1	Q8WVQ1	0	1	0	0	0	0	affinity_only	1.0	0.9436668517735468	22.0	16.0	0.0	ENSG00000171302	1.0	0.0	confirmable	1	1	1.0	1.0	0.0	1.0	0	0
plasma	CAT	P04040	0	1	0	0	0	0	affinity_only	1.0	0.9169578588930104	29.0	16.0	0.0	ENSG00000121691	0.0	0.0	confirmable	1	1	1.0	1.0	1.0	1.0	1	1
plasma	CBLN4	Q9NTU7	0	1	0	0	0	0	affinity_only	1.0	0.8255127552021535	9.0	6.0	0.0				confirmable	1	1					0	0
plasma	CCL11	P51671	0	0	0	1	0	0	other_only	1.0	0.4435457916751527	2.0	0.0	0.0				inference_limited	1	1					1	1
plasma	CCL18	P55774	0	1	0	0	0	0	affinity_only	1.0	0.5584830844542706	3.0	0.0	0.0				inference_limited	1	1					1	1
plasma	CCL20	P78556	0	0	0	1	0	0	other_only	1.0	0.443508553621815	3.0	1.0	0.0				inference_limited	1	1					1	0
plasma	CCL22	O00626	0	1	0	0	0	0	affinity_only	1.0	0.505164782403048	2.0	0.0	0.0				inference_limited	1	1					1	0
plasma	CCL25	O15444	0	1	0	0	0	0	affinity_only	1.0	0.3317506309315265	5.0	2.0	0.0	ENSG00000131142	1.0	1.0	inference_limited	1	1	0.0	1.0	0.0	1.0	1	0
plasma	CCL26	Q9Y258	0	0	0	1	0	0	other_only	1.0	0.4101158425671466	3.0	1.0	0.0				inference_limited	1	1					0	0
plasma	CCL3	P10147	0	0	0	1	0	0	other_only	1.0	0.6772809639629657	1.0	0.0	0.6666666666666666				inference_limited	1	1					1	1
plasma	CCL4	P13236	0	0	0	0	1	0	other_only	1.0	0.53674546416861	0.0	0.0	1.0	ENSG00000275302	1.0	1.0	inference_locked	1	1	0.0	1.0	0.0	0.0	1	1
plasma	CCT5	P48643	0	1	0	0	0	0	affinity_only	1.0	0.9254276559178496	32.0	14.0	0.0303030303030303	ENSG00000150753	0.0	0.0	confirmable	1	1	1.0	1.0	1.0	0.0	0	0
plasma	CD200	P41217	0	0	1	0	0	0	affinity_only	1.0	0.5453938411039181	9.0	3.0	0.0	ENSG00000091972	0.0	1.0	chemistry_limited	1	1	1.0	1.0	0.0	1.0	1	0
plasma	CD209	Q9NNX6	0	1	0	0	0	0	affinity_only	1.0	0.89012637888852	17.0	9.0	0.3461538461538461	ENSG00000090659	1.0	0.0	confirmable	1	0	0.0	1.0	0.0	1.0	0	0
plasma	CD2AP	Q9Y5K6	0	0	1	0	0	0	affinity_only	1.0	0.9302172549634312	37.0	31.0	0.0	ENSG00000198087	0.0	0.0	confirmable	1	1	1.0	1.0	0.0	1.0	0	0
plasma	CD40	P25942	0	0	0	1	0	0	other_only	1.0	0.6826674895887391	11.0	1.0	0.0	ENSG00000101017	1.0	1.0	inference_limited	0	1	0.0	1.0	0.0	0.0	1	1
plasma	CD55	P08174	0	0	1	0	0	0	affinity_only	1.0	0.6640064749245919	19.0	6.0	0.0	ENSG00000196352	1.0	1.0	chemistry_limited	1	1	1.0	1.0	0.0	1.0	1	1
plasma	CD74	P04233	0	0	1	0	0	0	affinity_only	1.0	0.5489031876910975	14.0	5.0	0.0	ENSG00000019582	1.0	0.0	chemistry_limited	1	1	1.0	1.0	0.0	1.0	1	0
plasma	CD86	P42081	0	0	1	0	0	0	affinity_only	1.0	0.3929315957409757	8.0	4.0	0.0	ENSG00000114013	0.0	1.0	chemistry_limited	1	1	0.0	1.0	0.0	1.0	1	1
plasma	CDC5L	Q99459	1	0	0	0	0	0	ms_only	1.0	0.908502083088706	35.0	24.0	0.0	ENSG00000096401	0.0	0.0	confirmable	1	0	1.0	1.0	0.0	0.0	1	1
plasma	CDCP1	Q9H5V8	0	1	1	0	0	0	affinity_only	1.0	0.6585106129240936	39.0	13.0	0.0	ENSG00000163814	1.0	1.0	chemistry_limited	1	1	0.0	1.0	0.0	1.0	0	0
plasma	CDH5	P33151	1	0	0	0	0	0	ms_only	1.0	0.8873365867681053	26.0	13.0	0.0	ENSG00000179776	0.0	1.0	confirmable	1	1	0.0	1.0	0.0	1.0	1	0
plasma	CDHR5	Q9HBB8	0	0	1	0	0	0	affinity_only	1.0	0.7979099926386213	21.0	12.0	0.0	ENSG00000099834	0.0	1.0	confirmable	1	1	0.0	1.0	0.0	0.0	0	0
plasma	CDON	Q4KMG0	0	1	0	0	0	0	affinity_only	1.0	0.8395624650661613	49.0	27.0	0.02	ENSG00000064309	0.0	1.0	confirmable	1	1	0.0	1.0	0.0	1.0	0	0
plasma	CEND1	Q8N111	0	0	1	0	0	0	affinity_only	1.0	0.6919478305509269	7.0	6.0	0.0	ENSG00000184524	0.0	0.0	confirmable	1	1	1.0	1.0	0.0	1.0	0	0
plasma	CFB	P00751	1	0	0	0	0	0	ms_only	1.0	0.8460801833127266	36.0	19.0	0.0	ENSG00000243649	1.0	1.0	confirmable	1	1	0.0	1.0	1.0	1.0	1	1
plasma	CFH	P08603	1	0	0	1	0	0	ms_only	1.0	0.8327288788234947	52.0	10.0	0.1333333333333333	ENSG00000000971	1.0	1.0	confirmable	1	1	0.0	1.0	0.0	1.0	1	1
plasma	CFI	P05156	1	0	0	0	0	0	ms_only	1.0	0.7636500876342905	26.0	7.0	0.0	ENSG00000205403	1.0	1.0	confirmable	1	1	1.0	1.0	1.0	1.0	1	0
plasma	CGA	P01215	0	0	0	1	0	0	other_only	1.0	0.43986077510573	4.0	1.0	0.0	ENSG00000135346	1.0	1.0	inference_limited	1	0	0.0	1.0	0.0	1.0	1	1
plasma	CHI3L1	P36222	0	1	0	0	0	0	affinity_only	1.0	0.8940852817056334	21.0	13.0	0.0				confirmable	1	1					1	0
plasma	CHL1	O00533	0	1	0	0	0	0	affinity_only	1.0	0.8635355928795736	44.0	19.0	0.0	ENSG00000134121	1.0	1.0	confirmable	1	1	0.0	1.0	0.0	1.0	1	0
plasma	CHRDL1	Q9BU40	0	1	0	0	0	0	affinity_only	1.0	0.6700015178720183	22.0	8.0	0.0	ENSG00000101938	1.0	1.0	chemistry_limited	1	1	1.0	1.0	0.0	1.0	0	0
plasma	CILP2	Q8IUL8	0	1	0	0	0	0	affinity_only	1.0	0.762269826580275	59.0	29.0	0.0	ENSG00000160161	1.0	1.0	confirmable	1	0	1.0	1.0	0.0	0.0	0	0
plasma	CIQB	P02746	1	0	0	0	0	0	ms_only	1.0	0.6460501264858441	12.0	8.0	0.0	ENSG00000173369	1.0	1.0	chemistry_limited	1	0	0.0	1.0	0.0	1.0	0	0
plasma	CISD1	Q9NZ45	0	1	0	0	0	0	affinity_only	1.0	0.7259491199891567	5.0	2.0	0.0	ENSG00000122873	0.0	0.0	inference_limited	1	0	1.0	1.0	0.0	1.0	0	0
plasma	CLNS1A	P54105	1	0	0	0	0	0	ms_only	1.0	0.8956281473186719	8.0	5.0	0.0	ENSG00000074201	0.0	0.0	confirmable	0	1	1.0	1.0	0.0	0.0	0	0
plasma	CLU	P10909	1	1	0	1	0	0	both	1.0	0.7314710216704605	19.0	10.0	0.0	ENSG00000120885	1.0	1.0	confirmable	1	1	1.0	1.0	1.0	1.0	1	0
plasma	CNN1	P51911	0	1	0	0	0	0	affinity_only	1.0	0.7584740194494699	13.0	2.0	0.0714285714285714	ENSG00000130176	0.0	0.0	inference_limited	1	0	1.0	1.0	0.0	1.0	1	0
plasma	CP	P00450	1	0	0	0	0	0	ms_only	1.0	0.8954219359605665	45.0	23.0	0.0	ENSG00000047457	1.0	1.0	confirmable	1	0	1.0	1.0	1.0	1.0	1	1
plasma	CPLX1	O14810	0	1	0	0	0	0	affinity_only	1.0	0.7926971141834888	4.0	0.0	0.2	ENSG00000168993	0.0	0.0	inference_limited	1	0	1.0	1.0	0.0	1.0	0	0
plasma	CPLX2	Q6PUV4	0	1	0	0	0	0	affinity_only	1.0	0.7981072909840586	4.0	0.0	0.2	ENSG00000145920	0.0	0.0	inference_limited	1	0	1.0	1.0	0.0	1.0	0	0
plasma	CR1	P17927	0	1	1	0	0	0	affinity_only	1.0	0.8412565225727415	77.0	23.0	0.1894736842105263	ENSG00000203710	0.0	1.0	confirmable	1	1	0.0	1.0	0.0	1.0	1	0
plasma	CRIP1	P50238	1	0	0	0	0	0	ms_only	1.0	0.7025555174451007	4.0	2.0	0.0	ENSG00000213145	0.0	0.0	inference_limited	1	0	1.0	1.0	0.0	1.0	1	1
plasma	CRISPLD2	Q9H0B8	1	0	0	0	0	0	ms_only	1.0	0.6647218511781261	23.0	6.0	0.0416666666666666	ENSG00000103196	1.0	1.0	chemistry_limited	1	0	0.0	1.0	0.0	0.0	1	1
plasma	CRP	P02741	1	1	0	1	0	0	both	1.0	0.81336328295405	6.0	5.0	0.0	ENSG00000132693	1.0	1.0	confirmable	1	0	0.0	1.0	0.0	0.0	1	1
plasma	CRTAC1	Q9NQ79	1	0	0	0	0	0	ms_only	1.0	0.8599181263261957	23.0	13.0	0.0	ENSG00000095713	1.0	1.0	confirmable	1	1	1.0	1.0	1.0	1.0	0	0
plasma	CSF3	P09919	0	1	0	0	0	0	affinity_only	1.0	0.544462558994832	3.0	2.0	0.0				inference_limited	1	1					1	1
plasma	CST3	P01034	1	0	0	1	0	0	ms_only	1.0	0.6233977228530313	6.0	2.0	0.0	ENSG00000101439	1.0	1.0	inference_limited	1	1	1.0	1.0	1.0	1.0	1	1
plasma	CST5	P28325	0	0	1	0	0	0	affinity_only	1.0	0.7099651020339255	6.0	2.0	0.0	ENSG00000170367	1.0	1.0	inference_limited	1	1	0.0	1.0	0.0	0.0	1	0
plasma	CST7	O76096	0	0	1	0	0	0	affinity_only	1.0	0.5626221638296764	7.0	3.0	0.0	ENSG00000077984	1.0	1.0	chemistry_limited	1	1	0.0	1.0	0.0	1.0	0	0
plasma	CTF1	Q16619	0	1	0	0	0	0	affinity_only	1.0	0.4960737708830268	9.0	8.0	0.0	ENSG00000150281	1.0	0.0	chemistry_limited	1	1	0.0	1.0	0.0	1.0	1	0
plasma	CTPS1	P17812	0	1	0	0	0	0	affinity_only	1.0	0.8864855639208538	24.0	14.0	0.1428571428571428	ENSG00000171793	0.0	0.0	confirmable	1	1	1.0	1.0	0.0	1.0	1	1
plasma	CTSD	P07339	0	0	0	1	0	0	other_only	1.0	0.8483504945786259	16.0	7.0	0.0	ENSG00000117984	1.0	1.0	confirmable	1	1	1.0	1.0	1.0	1.0	1	1
plasma	CTSH	P09668	0	0	0	0	0	0	unclassified	1.0	0.7846758229425884	8.0	3.0	0.0	ENSG00000103811	0.0	1.0	confirmable	1	1	1.0	1.0	0.0	1.0	1	0
plasma	CUL1	Q13616	0	1	0	0	0	0	affinity_only	1.0	0.8531514483522499	47.0	27.0	0.0	ENSG00000055130	0.0	0.0	confirmable	1	0	1.0	1.0	0.0	1.0	0	0
plasma	CX3CL1	P78423	0	0	1	0	0	0	affinity_only	1.0	0.7174686216184042	18.0	10.0	0.0	ENSG00000006210	1.0	1.0	confirmable	1	1	0.0	1.0	0.0	1.0	1	1
plasma	CXCL12	P48061	0	1	0	0	0	0	affinity_only	1.0	0.6008945742608066	4.0	2.0	0.0	ENSG00000107562	1.0	1.0	inference_limited	1	0	1.0	1.0	0.0	1.0	1	1
plasma	DCTN2	Q13561	0	0	1	0	0	0	affinity_only	1.0	0.9370613861968344	20.0	15.0	0.0	ENSG00000175203	0.0	0.0	confirmable	1	1	1.0	1.0	1.0	1.0	0	0
plasma	DKK3	Q9UBP4	0	1	0	0	0	0	affinity_only	1.0	0.7553738364107484	17.0	4.0	0.0	ENSG00000050165	1.0	1.0	confirmable	1	1	1.0	1.0	1.0	1.0	1	0
plasma	DNAJB12	Q9NXW2	0	1	0	0	0	0	affinity_only	1.0	0.8603430210439603	15.0	12.0	0.0625	ENSG00000148719	0.0	0.0	confirmable	1	0	1.0	1.0	0.0	1.0	0	0
plasma	DNJB9	Q9UBS3	0	1	0	0	0	0	affinity_only	1.0	0.863615033499729	11.0	8.0	0.0	ENSG00000128590	0.0	1.0	confirmable	1	0	1.0	1.0	0.0	1.0	0	0
plasma	ECM1	Q16610	1	0	0	0	0	0	ms_only	1.0	0.6769615180843784	29.0	14.0	0.0	ENSG00000143369	1.0	1.0	chemistry_limited	1	1	1.0	1.0	1.0	1.0	0	0
plasma	EFEMP1	Q12805	0	1	0	0	0	0	affinity_only	1.0	0.7209543491519858	21.0	6.0	0.0	ENSG00000115380	1.0	1.0	confirmable	1	1	1.0	1.0	0.0	1.0	0	0
plasma	EGF	P01133	0	0	0	0	0	1	other_only	1.0	0.8936352228794197	53.0	21.0	0.0				confirmable	1	1					1	1
plasma	EGFR	P00533	0	1	0	0	0	0	affinity_only	1.0	0.8719645586025313	55.0	23.0	0.0517241379310344	ENSG00000146648	1.0	1.0	confirmable	1	1	1.0	1.0	0.0	1.0	1	1
plasma	ELN	P15502	0	0	1	0	0	0	affinity_only	1.0	0.8354916313154049	8.0	8.0	0.0	ENSG00000049540	1.0	1.0	confirmable	1	1	1.0	1.0	0.0	1.0	1	0
plasma	ERAP2	Q6P179	1	0	0	0	0	0	ms_only	1.0	0.9009491326365692	51.0	24.0	0.0	ENSG00000164308	0.0	0.0	confirmable	1	0	0.0	1.0	0.0	1.0	1	0
plasma	F12	P00748	1	0	0	0	0	0	ms_only	1.0	0.4423222425754837	22.0	3.0	0.0	ENSG00000131187	1.0	1.0	chemistry_limited	1	1	0.0	1.0	0.0	1.0	1	1
plasma	FAHD2A	Q96GK7	0	1	0	0	0	0	affinity_only	1.0	0.6616795778323036	2.0	1.0	0.8	ENSG00000115042	0.0	0.0	inference_limited	1	0	1.0	1.0	1.0	1.0	0	0
plasma	FAM135B	Q49AJ0	1	0	0	0	0	0	ms_only	1.0	0.8986260252714747	53.0	28.0	0.0701754385964912	ENSG00000147724	0.0	0.0	confirmable	0	1	0.0	0.0	0.0	0.0	0	0
plasma	FBLN1	P23142	1	0	0	0	0	0	ms_only	1.0	0.8597952964624318	31.0	10.0	0.0	ENSG00000077942	1.0	1.0	confirmable	1	0	1.0	1.0	1.0	1.0	0	0
plasma	FBLN5	Q9UBX5	0	1	0	0	0	0	affinity_only	1.0	0.6680930268624437	16.0	3.0	0.0	ENSG00000140092	1.0	1.0	chemistry_limited	1	0	1.0	1.0	0.0	1.0	0	0
plasma	FCN2	Q15485	0	1	0	1	0	0	affinity_only	1.0	0.8135840021957873	11.0	5.0	0.2142857142857142				confirmable	1	1					1	1
plasma	FCRL3	Q96P31	0	0	1	0	0	0	affinity_only	1.0	0.7394138070974613	23.0	13.0	0.0	ENSG00000160856	0.0	1.0	confirmable	1	1	0.0	1.0	0.0	0.0	0	0
plasma	FCRL5	Q96RD9	0	0	1	0	0	0	affinity_only	1.0	0.7572579222928273	36.0	19.0	0.0				confirmable	1	1					0	0
plasma	FGB	P02675	1	0	0	0	0	0	ms_only	1.0	0.8650583812890679	26.0	12.0	0.0	ENSG00000171564	1.0	1.0	confirmable	1	0	0.0	1.0	0.0	1.0	1	1
plasma	FGFBP3	Q8TAT2	0	1	0	0	0	0	affinity_only	1.0	0.4956824959519725	10.0	5.0	0.0	ENSG00000174721	1.0	1.0	chemistry_limited	1	1	1.0	1.0	1.0	1.0	0	0
plasma	FGA	P02671	1	0	0	0	0	0	ms_only	1.0	0.9097850094567173	34.0	21.0	0.0	ENSG00000171560	1.0	1.0	confirmable	0	1	0.0	0.0	0.0	0.0	1	1
plasma	FGG	P02679	1	0	0	0	0	0	ms_only	1.0	0.89326123719791	25.0	14.0	0.0	ENSG00000171557	1.0	1.0	confirmable	1	1	0.0	1.0	0.0	1.0	1	1
plasma	FLT1	P17948	0	0	0	0	1	0	other_only	1.0	0.8057859319454216	68.0	30.0	0.0422535211267605	ENSG00000102755	1.0	1.0	confirmable	1	1	0.0	1.0	0.0	0.0	1	1
plasma	FLT3LG	P49771	0	0	1	0	0	0	affinity_only	1.0	0.405768660561626	7.0	3.0	0.0				chemistry_limited	1	1					0	0
plasma	FN1	P02751	1	0	0	0	0	0	ms_only	1.0	0.8480879248017723	95.0	56.0	0.0	ENSG00000115414	1.0	1.0	confirmable	1	1	1.0	1.0	1.0	1.0	1	1
plasma	FRZB	Q92765	0	1	0	0	0	0	affinity_only	1.0	0.549642036356142	9.0	4.0	0.0				chemistry_limited	1	1					1	0
plasma	FSH	P01225	0	0	0	1	0	0	other_only	1.0	0.677288456866225	5.0	1.0	0.0	ENSG00000131808	1.0	1.0	inference_limited	1	1	0.0	1.0	0.0	0.0	0	0
