is_in_complex	n_complexes	complex_size_mean	complex_size_max	in_large_complex	ensg	n_conserved_mirna_sites	n_mirna_families	uorf_count	uorf_max_length_aa	uorf_mean_length_aa	uorf_mean_phastcon	has_uorf	rbp_n_binding_rbps	rbp_hur_binding	rbp_hnrnp_binding	rbp_pumilio_binding	rbp_destab_binding
1.0	6.0	7.833333333333333	11.0	1.0	ENSG00000004897	24.0	22.0	0.0				0.0	165.0	1.0	1.0	1.0	0.0
1.0	1.0	3.0	3.0	0.0	ENSG00000004939	6.0	6.0	2.0	28.0	27.5	0.18985000000000002	1.0	90.0	1.0	1.0	1.0	0.0
1.0	8.0	2.375	5.0	0.0	ENSG00000004948	23.0	21.0	0.0				0.0	6.0	1.0	0.0	0.0	0.0
0.0	0.0			0.0	ENSG00000004961	2.0	2.0	55.0	87.0	43.56363636363636	0.2774836363636364	1.0	133.0	1.0	1.0	1.0	0.0
1.0	2.0	7.0	10.0	1.0	ENSG00000004975	5.0	5.0	0.0				0.0	163.0	1.0	1.0	1.0	0.0
0.0	0.0			0.0	ENSG00000005001	4.0	3.0	0.0				0.0	2.0	0.0	0.0	0.0	0.0
1.0	6.0	5.166666666666667	10.0	1.0	ENSG00000005007	8.0	8.0	26.0	90.0	51.38461538461539	0.41112692307692306	1.0	168.0	1.0	1.0	1.0	0.0
1.0	1.0	2.0	2.0	0.0	ENSG00000005020	8.0	8.0	19.0	65.0	47.73684210526316	0.7444736842105263	1.0	139.0	1.0	1.0	1.0	0.0
1.0	4.0	29.75	104.0	1.0	ENSG00000005022	1.0	1.0	0.0				0.0	168.0	1.0	1.0	1.0	0.0
1.0	1.0	5.0	5.0	0.0	ENSG00000005059	0.0	0.0	1.0	61.0	61.0	0.0738	1.0	70.0	1.0	1.0	1.0	0.0
0.0	0.0			0.0	ENSG00000005073	12.0	12.0	22.0	18.0	14.909090909090908	1.0	1.0	0.0	0.0	0.0	0.0	0.0
0.0	0.0			0.0	ENSG00000005075	0.0	0.0	0.0				0.0	145.0	1.0	1.0	1.0	0.0
0.0	0.0			0.0	ENSG00000005100	7.0	6.0	2.0	69.0	51.5	0.7117	1.0	155.0	1.0	1.0	1.0	0.0
0.0	0.0			0.0	ENSG00000005102	5.0	5.0	0.0				0.0	3.0	1.0	0.0	0.0	0.0
0.0	0.0			0.0	ENSG00000005108	25.0	21.0	0.0				0.0	19.0	1.0	1.0	0.0	0.0
1.0	9.0	4.555555555555555	7.0	0.0	ENSG00000005156	10.0	10.0	5.0	16.0	16.0	0.1436	1.0	162.0	1.0	1.0	1.0	0.0
1.0	1.0	4.0	4.0	0.0	ENSG00000005175	4.0	4.0	3.0	18.0	15.0	0.41566666666666663	1.0	154.0	1.0	1.0	1.0	0.0
0.0	0.0			0.0	ENSG00000005187	1.0	1.0	8.0	55.0	37.75	0.0450875	1.0	166.0	1.0	1.0	1.0	0.0
0.0	0.0			0.0	ENSG00000005189	2.0	2.0	0.0				0.0	148.0	1.0	1.0	1.0	0.0
0.0	0.0			0.0	ENSG00000005194	4.0	4.0	69.0	50.0	37.594202898550726	0.7073579710144927	1.0	152.0	1.0	1.0	1.0	0.0
0.0	0.0			0.0	ENSG00000005206	0.0	0.0	12.0	30.0	17.25	0.09749999999999999	1.0	167.0	1.0	1.0	1.0	0.0
0.0	0.0			0.0	ENSG00000005238	4.0	4.0	68.0	97.0	48.029411764705884	0.8291132352941176	1.0	119.0	1.0	1.0	1.0	0.0
0.0	0.0			0.0	ENSG00000005243	0.0	0.0	4.0	41.0	25.5	0.71635	1.0	23.0	1.0	1.0	0.0	0.0
1.0	6.0	4.0	8.0	0.0	ENSG00000005249	9.0	9.0	2.0	60.0	60.0	0.8369	1.0	140.0	1.0	1.0	1.0	0.0
1.0	2.0	4.0	4.0	0.0	ENSG00000005302	2.0	2.0	3.0	42.0	42.0	0.8081	1.0	128.0	1.0	1.0	1.0	0.0
1.0	26.0	4.6923076923076925	13.0	1.0	ENSG00000005339	22.0	19.0	6.0	51.0	27.333333333333332	0.6781666666666667	1.0	166.0	1.0	1.0	1.0	0.0
0.0	0.0			0.0	ENSG00000005379	12.0	12.0	0.0				0.0	115.0	1.0	1.0	1.0	0.0
1.0	2.0	2.5	3.0	0.0	ENSG00000005381	0.0	0.0	0.0				0.0	1.0	0.0	0.0	0.0	0.0
0.0	0.0			0.0	ENSG00000005421	2.0	2.0	0.0				0.0	1.0	0.0	0.0	0.0	0.0
1.0	1.0	3.0	3.0	0.0	ENSG00000005436	8.0	8.0	0.0				0.0	158.0	1.0	1.0	1.0	0.0
0.0	0.0			0.0	ENSG00000005448	0.0	0.0	22.0	71.0	66.77272727272727	0.6905681818181818	1.0	60.0	0.0	1.0	0.0	0.0
0.0	0.0			0.0	ENSG00000005469	9.0	7.0	12.0	69.0	26.333333333333332	0.12175833333333334	1.0	88.0	1.0	1.0	0.0	0.0
0.0	0.0			0.0	ENSG00000005471	0.0	0.0	0.0				0.0	103.0	1.0	1.0	0.0	0.0
1.0	1.0	3.0	3.0	0.0	ENSG00000005483	20.0	19.0	264.0	97.0	32.65909090909091	0.8354492424242423	1.0	166.0	1.0	1.0	1.0	0.0
0.0	0.0			0.0	ENSG00000005486	1.0	1.0	178.0	87.0	45.07303370786517	0.892314606741573	1.0	148.0	1.0	1.0	1.0	0.0
0.0	0.0			0.0	ENSG00000005513	2.0	2.0	0.0				0.0	25.0	0.0	0.0	0.0	0.0
1.0	1.0	2.0	2.0	0.0	ENSG00000005700	3.0	3.0	162.0	48.0	21.5	0.5630740740740741	1.0	159.0	1.0	1.0	1.0	0.0
0.0	0.0			0.0	ENSG00000005801	0.0	0.0	15.0	67.0	24.466666666666665	0.009766666666666667	1.0	158.0	1.0	1.0	1.0	0.0
0.0	0.0			0.0	ENSG00000005810	16.0	14.0	0.0				0.0	164.0	1.0	1.0	1.0	0.0
0.0	0.0			0.0	ENSG00000005812	31.0	31.0	16.0	24.0	16.4375	0.02739375	1.0	153.0	1.0	1.0	1.0	0.0
1.0	1.0	3.0	3.0	0.0	ENSG00000005844	0.0	0.0	9.0	29.0	17.666666666666668	0.2417	1.0	27.0	0.0	1.0	0.0	0.0
0.0	0.0			0.0	ENSG00000005882	5.0	5.0	13.0	85.0	27.76923076923077	0.7839769230769231	1.0	93.0	0.0	1.0	1.0	0.0
1.0	8.0	2.75	4.0	0.0	ENSG00000005884	5.0	5.0	56.0	81.0	40.92857142857143	0.09513035714285714	1.0	11.0	0.0	0.0	0.0	0.0
0.0	0.0			0.0	ENSG00000005889	27.0	26.0	19.0	68.0	27.789473684210527	0.23367894736842104	1.0	164.0	1.0	1.0	1.0	0.0
0.0	0.0			0.0	ENSG00000005893	10.0	9.0	97.0	71.0	53.649484536082475	0.29478762886597937	1.0	165.0	1.0	1.0	1.0	0.0
0.0	0.0			0.0	ENSG00000005955	8.0	8.0	0.0				0.0	0.0	0.0	0.0	0.0	0.0
1.0	10.0	3.4	5.0	0.0	ENSG00000005961	0.0	0.0	0.0				0.0	130.0	1.0	1.0	1.0	0.0
0.0	0.0			0.0	ENSG00000005981	6.0	6.0	0.0				0.0	28.0	1.0	1.0	0.0	0.0
0.0	0.0			0.0	ENSG00000006007	15.0	14.0	23.0	20.0	15.695652173913043	0.8442391304347826	1.0	145.0	1.0	1.0	1.0	0.0
0.0	0.0			0.0	ENSG00000006015	0.0	0.0	5.0	21.0	21.0	0.026000000000000002	1.0	155.0	1.0	1.0	1.0	0.0
1.0	2.0	2.5	3.0	0.0	ENSG00000006016	0.0	0.0	0.0				0.0	168.0	1.0	1.0	1.0	0.0
0.0	0.0			0.0	ENSG00000006025	3.0	3.0	7.0	21.0	14.857142857142858	0.5866285714285714	1.0	146.0	1.0	1.0	1.0	0.0
0.0	0.0			0.0	ENSG00000006042	6.0	6.0	7.0	99.0	29.857142857142858	0.05505714285714286	1.0	155.0	1.0	1.0	1.0	0.0
1.0	1.0	2.0	2.0	0.0	ENSG00000006047	6.0	6.0	0.0				0.0	10.0	0.0	0.0	0.0	0.0
1.0	6.0	6.333333333333333	14.0	1.0	ENSG00000006062	0.0	0.0	7.0	54.0	48.0	0.6908428571428572	1.0	154.0	1.0	1.0	1.0	0.0
1.0	2.0	2.0	2.0	0.0	ENSG00000006071	1.0	1.0	0.0				0.0	1.0	0.0	0.0	0.0	0.0
0.0	0.0			0.0	ENSG00000006075	1.0	1.0	0.0				0.0	0.0	0.0	0.0	0.0	0.0
0.0	0.0			0.0	ENSG00000006114	14.0	12.0	0.0				0.0	0.0	0.0	0.0	0.0	0.0
0.0	0.0			0.0	ENSG00000006116	3.0	3.0	7.0	23.0	16.571428571428573	0.8158857142857142	1.0	0.0	0.0	0.0	0.0	0.0
0.0	0.0			0.0	ENSG00000006118	1.0	1.0	0.0				0.0	102.0	0.0	1.0	0.0	0.0
1.0	1.0	4.0	4.0	0.0	ENSG00000006125	17.0	17.0	63.0	51.0	18.857142857142858	0.6865888888888889	1.0	168.0	1.0	1.0	1.0	0.0
1.0	1.0	2.0	2.0	0.0	ENSG00000006128	1.0	1.0	0.0				0.0	0.0	0.0	0.0	0.0	0.0
0.0	0.0			0.0	ENSG00000006194	0.0	0.0	73.0	75.0	24.82191780821918	0.012567123287671234	1.0	150.0	1.0	1.0	1.0	0.0
0.0	0.0			0.0	ENSG00000006210	3.0	3.0	0.0				0.0	104.0	0.0	1.0	0.0	0.0
0.0	0.0			0.0	ENSG00000006282	0.0	0.0	0.0				0.0	118.0	0.0	1.0	0.0	0.0
0.0	0.0			0.0	ENSG00000006283	7.0	7.0	0.0				0.0	15.0	0.0	0.0	0.0	0.0
0.0	0.0			0.0	ENSG00000006327	2.0	2.0	0.0				0.0	157.0	1.0	1.0	1.0	0.0
0.0	0.0			0.0	ENSG00000006377	2.0	2.0	0.0				0.0	67.0	0.0	1.0	0.0	0.0
0.0	0.0			0.0	ENSG00000006432	30.0	25.0	0.0				0.0	112.0	0.0	1.0	1.0	0.0
0.0	0.0			0.0	ENSG00000006451	9.0	9.0	58.0	92.0	16.93103448275862	0.5723103448275861	1.0	157.0	1.0	1.0	1.0	0.0
0.0	0.0			0.0	ENSG00000006453	6.0	6.0	0.0				0.0	163.0	1.0	1.0	1.0	0.0
0.0	0.0			0.0	ENSG00000006459	59.0	49.0	0.0				0.0	162.0	1.0	1.0	1.0	0.0
0.0	0.0			0.0	ENSG00000006468	33.0	31.0	17.0	56.0	29.941176470588236	0.9881235294117648	1.0	92.0	1.0	1.0	1.0	0.0
1.0	2.0	4.5	6.0	0.0	ENSG00000006530	0.0	0.0	0.0				0.0	159.0	1.0	1.0	1.0	0.0
0.0	0.0			0.0	ENSG00000006534	0.0	0.0	3.0	36.0	34.666666666666664	0.3956	1.0	90.0	0.0	1.0	0.0	0.0
0.0	0.0			0.0	ENSG00000006555	3.0	3.0	1.0	21.0	21.0	0.3563	1.0	0.0	0.0	0.0	0.0	0.0
0.0	0.0			0.0	ENSG00000006576	18.0	17.0	25.0	45.0	21.48	0.39546	1.0	156.0	1.0	1.0	1.0	0.0
0.0	0.0			0.0	ENSG00000006606	0.0	0.0	0.0				0.0	10.0	1.0	0.0	0.0	0.0
1.0	4.0	3.0	3.0	0.0	ENSG00000006607	0.0	0.0	16.0	43.0	28.875	0.060875	1.0	158.0	1.0	1.0	1.0	0.0
1.0	3.0	2.0	2.0	0.0	ENSG00000006611	1.0	1.0	0.0				0.0	0.0	0.0	0.0	0.0	0.0
0.0	0.0			0.0	ENSG00000006625	1.0	1.0	210.0	49.0	36.614285714285714	0.21979	1.0	148.0	1.0	1.0	1.0	0.0
0.0	0.0			0.0	ENSG00000006634	3.0	3.0	0.0				0.0	156.0	1.0	1.0	1.0	0.0
0.0	0.0			0.0	ENSG00000006638	2.0	2.0	36.0	44.0	20.11111111111111	0.03874166666666667	1.0	82.0	1.0	1.0	1.0	0.0
0.0	0.0			0.0	ENSG00000006652	4.0	3.0	42.0	65.0	23.761904761904763	0.887947619047619	1.0	163.0	1.0	1.0	1.0	0.0
0.0	0.0			0.0	ENSG00000006695	2.0	2.0	0.0				0.0	139.0	1.0	1.0	1.0	0.0
0.0	0.0			0.0	ENSG00000006704	1.0	1.0	11.0	62.0	31.272727272727273	0.6977090909090908	1.0	164.0	1.0	1.0	1.0	0.0
1.0	1.0	5.0	5.0	0.0	ENSG00000006712	1.0	1.0	0.0				0.0	143.0	1.0	1.0	1.0	0.0
1.0	5.0	2.8	6.0	0.0	ENSG00000006715	3.0	3.0	66.0	39.0	19.28787878787879	0.88605	1.0	164.0	1.0	1.0	1.0	0.0
0.0	0.0			0.0	ENSG00000006740	12.0	10.0	0.0				0.0	49.0	0.0	1.0	0.0	0.0
0.0	0.0			0.0	ENSG00000006744	4.0	4.0	1.0	97.0	97.0	0.4574	1.0	159.0	1.0	1.0	1.0	0.0
0.0	0.0			0.0	ENSG00000006747	4.0	4.0	0.0				0.0	97.0	1.0	1.0	1.0	0.0
0.0	0.0			0.0	ENSG00000006756	0.0	0.0	0.0				0.0	67.0	1.0	1.0	0.0	0.0
0.0	0.0			0.0	ENSG00000006757	1.0	1.0	0.0				0.0	93.0	1.0	1.0	1.0	0.0
0.0	0.0			0.0	ENSG00000006788	0.0	0.0	0.0				0.0	51.0	1.0	1.0	1.0	0.0
0.0	0.0			0.0	ENSG00000006831	16.0	14.0	44.0	55.0	31.65909090909091	0.5381795454545455	1.0	165.0	1.0	1.0	1.0	0.0
0.0	0.0			0.0	ENSG00000006837	0.0	0.0	0.0				0.0	117.0	1.0	1.0	0.0	0.0
0.0	0.0			0.0	ENSG00000007001	4.0	4.0	0.0				0.0	49.0	1.0	1.0	0.0	0.0
0.0	0.0			0.0	ENSG00000007038	0.0	0.0	0.0				0.0	140.0	1.0	1.0	1.0	0.0
0.0	0.0			0.0	ENSG00000007047	13.0	10.0	10.0	26.0	13.9	0.25578	1.0	168.0	1.0	1.0	1.0	0.0
0.0	0.0			0.0	ENSG00000007062	3.0	3.0	0.0				0.0	86.0	1.0	1.0	0.0	0.0
0.0	0.0			0.0	ENSG00000007080	1.0	1.0	56.0	75.0	31.625	0.8743392857142858	1.0	159.0	1.0	1.0	1.0	0.0
0.0	0.0			0.0	ENSG00000007129	0.0	0.0	1.0	34.0	34.0		1.0	1.0	0.0	0.0	1.0	0.0
0.0	0.0			0.0	ENSG00000007168	27.0	24.0	47.0	91.0	22.595744680851062	0.9750446808510639	1.0	166.0	1.0	1.0	1.0	0.0
1.0	1.0	3.0	3.0	0.0	ENSG00000007171	0.0	0.0	0.0				0.0	1.0	0.0	0.0	0.0	0.0
1.0	1.0	4.0	4.0	0.0	ENSG00000007174	1.0	1.0	0.0				0.0	13.0	1.0	1.0	0.0	0.0
0.0	0.0			0.0	ENSG00000007202	1.0	1.0	235.0	84.0	40.09361702127659	0.7563808510638297	1.0	167.0	1.0	1.0	1.0	0.0
0.0	0.0			0.0	ENSG00000007216	2.0	2.0	0.0				0.0	2.0	1.0	0.0	0.0	0.0
0.0	0.0			0.0	ENSG00000007237	17.0	16.0	2.0	67.0	62.5	0.7637	1.0	42.0	1.0	1.0	0.0	0.0
1.0	4.0	12.0	14.0	1.0	ENSG00000007255	1.0	1.0	0.0				0.0	158.0	1.0	1.0	1.0	0.0
0.0	0.0			0.0	ENSG00000007264	0.0	0.0	0.0				0.0	130.0	1.0	1.0	1.0	0.0
1.0	1.0	2.0	2.0	0.0	ENSG00000007312	0.0	0.0	0.0				0.0	0.0	0.0	0.0	0.0	0.0
0.0	0.0			0.0	ENSG00000007314	3.0	3.0	0.0				0.0	38.0	0.0	1.0	1.0	0.0
0.0	0.0			0.0	ENSG00000007341	4.0	4.0	83.0	80.0	56.04819277108434	0.9346710843373494	1.0	157.0	1.0	1.0	1.0	0.0
0.0	0.0			0.0	ENSG00000007350	1.0	1.0	1.0	12.0	12.0	0.8568	1.0	22.0	0.0	1.0	0.0	0.0
1.0	1.0	2.0	2.0	0.0	ENSG00000007372	35.0	31.0	27.0	88.0	63.888888888888886	0.9053592592592593	1.0	63.0	1.0	1.0	0.0	0.0
0.0	0.0			0.0	ENSG00000007376	7.0	6.0	0.0				0.0	125.0	0.0	1.0	1.0	0.0
0.0	0.0			0.0	ENSG00000007384	1.0	1.0	0.0				0.0	143.0	1.0	1.0	1.0	0.0
0.0	0.0			0.0	ENSG00000007392	9.0	9.0	5.0	37.0	27.2	0.56536	1.0	167.0	1.0	1.0	1.0	0.0
0.0	0.0			0.0	ENSG00000007402	15.0	14.0	0.0				0.0	50.0	0.0	1.0	0.0	0.0
0.0	0.0			0.0	ENSG00000007516	1.0	1.0	0.0				0.0	144.0	1.0	1.0	1.0	0.0
0.0	0.0			0.0	ENSG00000007520	0.0	0.0	0.0				0.0	145.0	1.0	1.0	1.0	0.0
1.0	1.0	4.0	4.0	0.0	ENSG00000007541	0.0	0.0	0.0				0.0	165.0	1.0	1.0	1.0	0.0
0.0	0.0			0.0	ENSG00000007545	8.0	8.0	0.0				0.0	165.0	1.0	1.0	1.0	0.0
0.0	0.0			0.0	ENSG00000007866	18.0	17.0	0.0				0.0	161.0	1.0	1.0	1.0	0.0
0.0	0.0			0.0	ENSG00000007908	4.0	4.0	0.0				0.0	4.0	1.0	0.0	0.0	0.0
1.0	3.0	7.0	12.0	1.0	ENSG00000007923	5.0	5.0	0.0				0.0	167.0	1.0	1.0	1.0	0.0
0.0	0.0			0.0	ENSG00000007933	1.0	1.0	0.0				0.0	0.0	0.0	0.0	0.0	0.0
0.0	0.0			0.0	ENSG00000007944	12.0	12.0	41.0	83.0	39.65853658536585	0.855048780487805	1.0	154.0	1.0	1.0	1.0	0.0
0.0	0.0			0.0	ENSG00000007952	1.0	1.0	0.0				0.0	7.0	1.0	0.0	0.0	0.0
0.0	0.0			0.0	ENSG00000007968	17.0	14.0	7.0	94.0	63.0	0.5951714285714286	1.0	151.0	1.0	1.0	1.0	0.0
1.0	5.0	20.6	36.0	1.0	ENSG00000008018	0.0	0.0	110.0	72.0	64.1	0.37357181818181817	1.0	167.0	1.0	1.0	1.0	0.0
1.0	1.0	2.0	2.0	0.0	ENSG00000008056	9.0	9.0	1.0	81.0	81.0	0.7209	1.0	148.0	1.0	1.0	1.0	0.0
