ensg	uniprot	length	mw_da	gravy	pI	n_tm	has_signal	n_tryptic_7_30	mature_start	mature_end	mature_length	n_glyco_sites	n_mod_res	n_disulfide	n_lipid_sites	n_glyco_sites_observed	n_mod_res_observed	n_disulfide_observed	n_lipid_sites_observed	has_propeptide	pe_level	cysteine_fraction	charged_fraction	proline_fraction	glycine_fraction	aromatic_fraction	n_glyco_motif_count	low_complexity_fraction	disorder_fraction_proxy	pest_score_max	pest_score_sum	n_pest_regions	pest_fraction	is_secreted	is_ecm	is_membrane	is_nuclear	is_chromatin	is_cytoplasmic	is_mitochondrial	is_er_golgi	is_lysosome	is_peroxisome	is_endosome	is_vesicle	is_lipid_droplet	is_cytoskeleton	is_projection	n_compartments	is_multilocal	topo_multipass	topo_single_type1	topo_single_type2	topo_single_other	topo_peripheral	topo_lipid_anchor	topo_extracellular_aa	topo_cytoplasmic_aa	loc_n_clauses	loc_n_observed	loc_go_n_terms	loc_source	tryptic_per_kda	Transcript count	Transcript length (including UTRs and CDS)	exon_count	manual_gc_content	cai	kozak_score	utr5_length	utr3_length	cds_length	utr5_gc	utr3_gc	utr3_to_cds_ratio	is_in_complex	n_complexes	complex_size_mean	complex_size_max	in_large_complex	n_conserved_mirna_sites	n_mirna_families	uorf_count	uorf_max_length_aa	uorf_mean_length_aa	uorf_mean_phastcon	has_uorf	rbp_n_binding_rbps	rbp_hur_binding	rbp_hnrnp_binding	rbp_pumilio_binding	rbp_destab_binding	mirna_site_density
ENSG00000185567	Q8IVF2	5795	616629	-0.4619	4.98	0	0	302	1	5795	5795	0	0	0	0	0	35	0	0	0	1	0.003451251078515962	0.28213977566867987	0.09870578084555652	0.08041415012942192	0.031233822260569456	2	0.0	0.3793103448275862	0.07125	2.522779709454632	87	0.22139775668679895	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	6	cc	0.4898	5.0	18335.0	7.0	58.52195254976821	0.6808077881204194	0.5	137.0	810.0	17385.0	84.67153284671532	48.27160493827161	0.0465918895599654	0.0	0.0			0.0	4.0	3.0	0.0				0.0	47.0	0.0	1.0	0.0	0.0	4.938271604938271
ENSG00000117983	Q9HC84	5762	596340	-0.239	6.63	0	1	147	26	5762	5737	28	0	16	0	10	0	0	0	0	1	0.04758584626111208	0.11051071988844344	0.09848352797629423	0.06919993027714834	0.05159491023182848	33	0.01713885974116824	0.014003150708909505	0.12333333333333335	4.24709663264003	88	0.2499564232177096	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	5	cc	0.2465	5.0	17911.0	49.0	64.54134330858132	0.7095904055087591	0.625	58.0	564.0	17286.0	82.75862068965517	65.24822695035462	0.0326275598750433	1.0	1.0	2.0	2.0	0.0	0.0	0.0	0.0				0.0	71.0	0.0	1.0	0.0	0.0	0.0
ENSG00000215182	P98088	5654	585570	-0.3984	6.96	0	1	181	28	5654	5627	25	0	16	0	33	0	0	0	0	1	0.052070374977785674	0.12137906522125466	0.10414074995557135	0.060956104496179137	0.0444286475919673	19	0.20809557774607704	0.04676066393003748	0.11342105263157892	2.3450562921742635	55	0.17060600675315443	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	1	6	cc	0.3091	1.0	17448.0	49.0	60.29917469050894	0.7085483582648725	0.5625	47.0	436.0	16962.0	65.95744680851064	61.23853211009175	0.0257045159768895	0.0	0.0			0.0	0.0	0.0	0.0				0.0	6.0	0.0	1.0	0.0	0.0	0.0
ENSG00000143341	Q96RW7	5635	613390	-0.2464	6.47	0	1	255	22	5635	5614	34	0	76	0	0	0	0	0	0	1	0.03206270039187745	0.19344495903099396	0.0687566797292483	0.07784111150694692	0.06252226576416102	35	0.0	0.06511627906976744	0.08730769230769231	1.3463208832790878	57	0.14998218738867117	1	1	0	0	0	1	0	0	0	0	0	0	0	0	0	3	1	0	0	0	0	0	0	0	0	7	0	11	cc	0.4157	8.0	18368.0	107.0	44.73540940766551	0.5340841838257123	0.5	389.0	1071.0	16905.0	62.724935732647815	30.905695611577965	0.0633540372670807	0.0	0.0			0.0	3.0	3.0	0.0				0.0	48.0	1.0	1.0	1.0	0.0	2.801120448179272
ENSG00000112159	Q9NU22	5596	632820	-0.3709	5.44	0	0	279	1	5596	5596	0	0	0	0	0	13	0	0	0	1	0.017512508934953538	0.25125089349535384	0.04288777698355969	0.05843459614010007	0.0725518227305218	14	0.00017930787161556393	0.2812275664034458	0.10500000000000001	1.6415374862495604	55	0.14635453895639744	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	2	1	0	0	0	0	0	0	0	0	3	3	6	cc	0.4409	30.0	18485.0	102.0	47.984852583175545	0.5614044649605733	0.875	187.0	1507.0	16788.0	70.05347593582889	42.73390842733909	0.0897664998808672	1.0	1.0	7.0	7.0	0.0	12.0	11.0	4.0	31.0	29.5	0.6838500000000001	1.0	167.0	1.0	1.0	1.0	0.0	7.962840079628402
ENSG00000167548	O14686	5537	593389	-0.6476	5.3	0	0	171	1	5537	5537	0	8	0	0	0	30	0	0	0	1	0.020769369694780566	0.1983023297814701	0.1457467942929384	0.08542532057070616	0.040455120101137804	15	0.04367524465386009	0.1968075458008344	0.08714285714285713	2.5964638335871815	69	0.19920534585515623	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	1	3	cc	0.2882	36.0	20635.0	55.0	59.77707778047008	0.625531274881693	0.75	1219.0	2802.0	16611.0	70.71369975389665	52.9621698786581	0.1686834025645656	1.0	7.0	8.142857142857142	12.0	1.0	49.0	42.0	24.0	45.0	18.875	0.9928458333333332	1.0	168.0	1.0	1.0	1.0	0.0	17.48750892219843
ENSG00000205277	Q9UKN1	5478	558164	-0.6032	5.35	1	1	91	17	5478	5462	14	0	1	0	0	0	0	0	0	1	0.0027462467960454044	0.11882094470889784	0.09044306114976199	0.0710362504577078	0.04320761625778103	14	0.0018372221201543267	0.02225082751011401	0.10423076923076924	6.197957969288753	114	0.39710728670816553	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	2	0	2	cc	0.163	8.0	16366.0	12.0	54.94928510326286	0.5930480330214144	0.75	28.0	300.0	16035.0	46.42857142857143	61.33333333333333	0.0187090739008419	0.0	0.0			0.0	0.0	0.0	0.0				0.0	7.0	1.0	1.0	0.0	0.0	0.0
ENSG00000145113	Q99102	5412	542307	-0.2179	4.89	1	1	70	29	5412	5384	546	0	6	0	1	0	0	0	0	1	0.007986627043090638	0.09101040118870728	0.09713967310549777	0.06835066864784546	0.03138930163447251	31	0.0001863932898415657	0.005597014925373134	0.10500000000000001	5.534635837972402	109	0.3397102526002972	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	8	2	7	cc	0.1291	23.0	16756.0	25.0	57.40033420864168	0.5944748879096774	0.6875	112.0	405.0	16236.0	69.64285714285714	47.65432098765432	0.0249445676274944	0.0	0.0			0.0	0.0	0.0	0.0				0.0	112.0	1.0	1.0	1.0	0.0	0.0
ENSG00000275395	Q9Y6R7	5405	572017	-0.1136	5.0	0	1	162	24	5405	5382	2	0	28	0	7	0	0	0	0	1	0.08082497212931995	0.1570048309178744	0.07376439985135637	0.11334076551467856	0.07599405425492382	33	0.0	0.028368794326241134	0.07038461538461538	0.9220711053652224	37	0.09736157562244518	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	3	cc	0.2832	2.0	12795.0	28.0	63.2356389214537	0.6675834907433468	0.9375	16.0	164.0	12612.0	50.0	48.78048780487805	0.0130034887408817	0.0	0.0			0.0	0.0	0.0	0.0				0.0	65.0	0.0	1.0	0.0	0.0	0.0
ENSG00000198788	Q02817	5289	550850	-0.4384	5.76	0	1	81	21	5289	5269	26	0	7	0	19	1	52	0	0	1	0.04061491744163978	0.08863161890301766	0.15904346175744924	0.052761434807363825	0.03719870943252989	33	0.5085714285714286	0.041563393708293615	0.10911764705882353	0.7062765898532152	26	0.07705446953881191	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	2	1	0	0	0	0	0	0	0	0	3	2	7	cc	0.147	3.0	4209.0	30.0	61.81990971727252	0.5992193585746863	0.4375	325.0	3494.0	387.0	66.46153846153847	61.44819690898683	9.02842377260982	0.0	0.0			0.0	0.0	0.0	0.0				0.0	3.0	0.0	0.0	0.0	0.0	0.0
ENSG00000162825	P0DPF2	5207	595733	-1.0238	4.27	0	0	230	1	5207	5207	0	0	0	0	0	0	0	0	0	1	0.03840983291722681	0.3616285769156904	0.07777991165738429	0.06087958517380449	0.06337622431342424	0	0.032575173477255207	0.6104572641327417	0.08730769230769231	4.5106837606837615	84	0.24159784904935663	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	1	cc	0.3861	3.0	19578.0	143.0	48.932475227295946	0.5855631527158788	0.75	1119.0	1521.0	16935.0	57.19392314566577	42.47205785667324	0.0898139946855624	0.0	0.0			0.0	0.0	0.0	0.0				0.0	71.0	1.0	1.0	1.0	0.0	0.0
ENSG00000173821	Q63HN8	5207	591407	-0.2752	6.46	0	0	275	1	5207	5207	0	0	0	0	0	4	0	0	0	1	0.025350489725369695	0.24371038985980412	0.04551565200691377	0.04820434031111965	0.08027655079700403	25	0.00019275250578257516	0.24175188114991317	0.08666666666666667	1.1815505122896426	50	0.143268676781256	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	2	1	0	0	0	0	0	0	0	0	2	2	4	cc	0.465	24.0	21079.0	68.0	52.151430333507285	0.6411688351500736	0.625	159.0	5296.0	15621.0	63.52201257861635	48.07401812688822	0.3390307918827219	0.0	0.0			0.0	9.0	8.0	27.0	52.0	15.333333333333334	0.3572925925925926	1.0	167.0	1.0	1.0	1.0	0.0	1.6993957703927491
ENSG00000127481	Q5T4S7	5183	573841	-0.1995	5.91	0	0	231	1	5183	5183	0	6	0	0	0	14	0	0	0	1	0.023924368126567626	0.21338992861277253	0.0449546594636311	0.050935751495273004	0.06791433532703067	24	0.004066615027110767	0.16941267687536343	0.09874999999999999	1.0704377756970302	39	0.11421956395909705	0	0	0	1	0	1	0	0	0	0	1	0	0	1	0	4	1	0	0	0	0	0	0	0	0	6	3	12	cc	0.4026	20.0	15892.0	106.0	51.72413793103448	0.6121058015800479	0.75	18.0	322.0	15549.0	55.55555555555556	51.5527950310559	0.0207087272493407	1.0	1.0	3.0	3.0	0.0	3.0	3.0	21.0	42.0	22.61904761904762	0.9500190476190477	1.0	168.0	1.0	1.0	1.0	0.0	9.316770186335404
ENSG00000186472	Q9Y6V0	5142	560699	-0.784	6.43	0	0	215	1	5142	5142	0	61	0	0	0	0	0	0	0	1	0.006223259432127577	0.2471800855698172	0.10618436406067679	0.052703228315830415	0.042590431738623105	14	0.013273472574663284	0.31887456037514655	0.10423076923076924	2.6723038140057995	65	0.20381174640217814	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	2	0	9	cc	0.3834	9.0	20284.0	25.0	42.64937882074541	0.5314127043383963	1.0	292.0	4563.0	15426.0	72.6027397260274	32.434801665570895	0.2957992998833139	0.0	0.0			0.0	9.0	8.0	0.0				0.0	14.0	1.0	0.0	0.0	0.0	1.9723865877712032
ENSG00000157423	Q4G0P3	5121	575892	-0.2721	5.96	0	0	207	1	5121	5121	0	0	0	0	0	0	0	0	0	1	0.018551064245264596	0.23140011716461628	0.06365944151532904	0.056629564538176136	0.08338215192345245	45	0.0011760094080752645	0.20364920541494996	0.10423076923076924	1.4292522265316385	48	0.1349345830892404	0	0	0	0	0	1	0	0	0	0	0	0	0	1	1	3	1	0	0	0	0	0	0	0	0	4	2	5	cc	0.3594	24.0	21046.0	86.0	47.89508695239	0.6217838510860947	0.4375	184.0	5496.0	15363.0	60.32608695652174	42.503639010189225	0.357742628392892	0.0	0.0			0.0	0.0	0.0	0.0				0.0	3.0	1.0	0.0	0.0	0.0	0.0
ENSG00000261150	P58107	5088	555658	-0.2645	5.31	0	0	267	1	5088	5088	0	0	0	0	0	17	0	0	0	1	0.00845125786163522	0.2429245283018868	0.04834905660377359	0.0862814465408805	0.052476415094339625	9	0.002170053264943776	0.2278830963665087	0.06833333333333336	0.7037259164124487	39	0.11595911949685535	0	0	1	0	0	1	0	0	0	0	0	0	0	1	1	3	1	0	0	0	0	0	0	0	0	9	5	12	cc	0.4805	3.0	16005.0	2.0	68.1474539206498	0.7241593845305365	0.4375	75.0	663.0	15264.0	66.66666666666666	40.42232277526395	0.0434355345911949	0.0	0.0			0.0	0.0	0.0	0.0				0.0	166.0	1.0	1.0	1.0	0.0	0.0
ENSG00000148357	Q8NDA2	5079	544006	-0.1933	5.69	0	1	215	24	5079	5056	40	2	56	0	0	0	0	0	0	1	0.026305379746835444	0.18908227848101267	0.0814873417721519	0.08900316455696203	0.05379746835443038	41	0.0	0.06776629570747218	0.06833333333333336	0.860242135315665	45	0.1295490506329114	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	2	1	0	0	0	0	0	0	0	0	3	0	8	cc	0.3952	9.0	15789.0	98.0	64.78561023497372	0.6872354767989789	0.5	119.0	430.0	15237.0	78.15126050420169	66.51162790697674	0.0282207783684452	0.0	0.0			0.0	0.0	0.0	0.0				0.0	13.0	1.0	1.0	0.0	0.0	0.0
ENSG00000196218	P21817	5038	565176	-0.3092	4.96	6	0	242	1	5038	5038	0	6	0	0	0	2	0	0	0	1	0.019849146486701073	0.2483128225486304	0.053791186978959904	0.07205240174672489	0.0815799920603414	11	0.021119744969117355	0.2784204228161149	0.08730769230769231	1.0649115420006723	41	0.12246923382294561	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	4	1	17	cc	0.4282	14.0	15400.0	106.0	60.50649350649351	0.6839610762737746	0.8125	139.0	144.0	15114.0	70.50359712230215	60.41666666666666	0.0095275903136165	0.0	0.0			0.0	2.0	2.0	0.0				0.0	107.0	1.0	1.0	1.0	0.0	13.88888888888889
ENSG00000138688	Q2LD37	5005	555482	-0.432	6.55	1	0	220	1	5005	5005	0	4	0	0	0	10	0	0	0	1	0.014785214785214785	0.21998001998001998	0.05674325674325675	0.059940059940059943	0.07252747252747253	39	0.0012033694344163659	0.15699658703071673	0.14166666666666666	1.990780735291242	56	0.16903096903096904	0	0	1	0	0	0	1	1	0	0	0	0	0	0	0	2	1	0	0	0	1	0	0	0	0	7	0	8	cc	0.3961	48.0	16162.0	88.0	41.405766613042935	0.5077639893744221	0.6875	375.0	505.0	15279.0	62.93333333333333	24.95049504950495	0.0330519013024412	0.0	0.0			0.0	6.0	6.0	7.0	50.0	35.0	0.1846428571428571	1.0	160.0	1.0	1.0	1.0	0.0	11.881188118811881
ENSG00000196159	Q6V0I7	4981	542687	-0.2676	4.53	1	1	180	39	4981	4943	38	1	20	0	0	0	0	0	0	1	0.013959134129071415	0.202103985433947	0.05745498685009104	0.07242565243779081	0.07728100343920696	41	0.0008123476848090983	0.12360235820288677	0.07029411764705883	1.0142646453993203	41	0.12563220716164272	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	3	0	3	cc	0.3317	6.0	17151.0	18.0	45.80490933473267	0.5444133597091473	1.0	1035.0	1164.0	14949.0	64.15458937198068	30.412371134020617	0.0778647401163957	0.0	0.0			0.0	10.0	10.0	0.0				0.0	27.0	1.0	1.0	0.0	0.0	8.59106529209622
ENSG00000198626	Q92736	4967	564567	-0.3243	5.98	6	0	266	1	4967	4967	0	8	0	0	0	2	0	0	0	1	0.018119589289309443	0.25468089389973825	0.03805113750754983	0.06140527481377089	0.090396617676666	19	0.002223120452708165	0.3111470766740846	0.12333333333333335	1.2860805794652543	43	0.12119991946849205	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	2	2	14	cc	0.4712	12.0	16583.0	105.0	46.29439787734427	0.5601638555119566	1.0	338.0	1341.0	14901.0	81.65680473372781	38.18046234153616	0.0899939601369035	1.0	1.0	1.0	1.0	0.0	12.0	11.0	0.0				0.0	148.0	1.0	1.0	1.0	0.0	8.94854586129754
ENSG00000103657	Q15751	4861	532228	-0.2614	5.93	0	0	204	1	4861	4861	0	0	0	0	0	14	0	0	0	1	0.024891997531372147	0.21415346636494548	0.048138243159843656	0.0771446204484674	0.059658506480148116	32	0.0004130524576621231	0.1573289228860864	0.10285714285714284	1.389592847125355	41	0.12734005348693683	0	0	1	0	0	1	0	1	0	0	0	0	0	1	0	3	1	0	0	0	0	1	0	0	0	4	0	4	cc	0.3833	17.0	15197.0	78.0	47.07508060801474	0.5264292655593144	0.75	148.0	463.0	14583.0	62.83783783783784	32.82937365010799	0.0317492971267914	1.0	3.0	2.333333333333333	3.0	0.0	0.0	0.0	3.0	35.0	21.0	0.9285	1.0	165.0	1.0	1.0	1.0	0.0	0.0
ENSG00000115760	Q9NR09	4857	530269	-0.1382	5.95	0	0	186	1	4857	4857	0	2	0	0	0	8	0	0	0	1	0.022647724933086266	0.19271155033971588	0.055589870290302656	0.05703108914968087	0.05456042824788964	28	0.0033071517155849523	0.1388371611835299	0.08633333333333333	1.2326520165421098	37	0.11385628989087915	0	0	0	0	0	1	0	1	0	0	1	0	0	1	0	4	1	0	0	0	0	0	0	0	0	11	6	12	cc	0.3508	19.0	15687.0	74.0	43.09938165359852	0.4952099114879144	0.25	139.0	974.0	14571.0	72.66187050359713	31.21149897330596	0.0668451032873515	0.0	0.0			0.0	17.0	15.0	1.0	18.0	18.0	0.9996	1.0	167.0	1.0	1.0	1.0	0.0	17.453798767967147
ENSG00000128731	O95714	4834	527228	-0.1862	6.22	0	0	222	1	4834	4834	0	2	0	0	0	9	0	0	0	1	0.02399669011170873	0.22238311956971452	0.04840711625982623	0.0819197352089367	0.06061232933388498	12	0.0	0.18087318087318088	0.10500000000000001	1.057815362750549	45	0.14025651634257344	0	0	0	1	0	1	0	0	0	0	0	0	0	1	0	3	1	0	0	0	0	0	0	0	0	4	0	6	cc	0.4211	34.0	15364.0	93.0	53.31293933871388	0.5932056796176222	0.5	136.0	723.0	14502.0	77.20588235294117	40.94052558782849	0.0498551923872569	1.0	1.0	4.0	4.0	0.0	4.0	4.0	0.0				0.0	167.0	1.0	1.0	1.0	0.0	5.532503457814661
