ensg	length	n_trypsin	n_lysc	n_gluc	n_gluc_de	n_chymotrypsin	n_aspn
ENSG00000128591	2725	143	92	88	146	104	77
ENSG00000188994	2723	125	99	116	129	68	44
ENSG00000095951	2718	119	77	95	122	41	49
ENSG00000171811	2715	130	58	103	132	78	56
ENSG00000138778	2701	165	153	160	158	56	83
ENSG00000123104	2701	137	85	105	142	100	80
ENSG00000218336	2699	123	55	71	139	115	95
ENSG00000165671	2696	132	103	99	140	72	72
ENSG00000144426	2694	124	76	100	140	123	61
ENSG00000107290	2677	140	99	100	136	89	79
ENSG00000089154	2671	163	89	86	150	65	70
ENSG00000096433	2671	134	84	100	144	103	92
ENSG00000167522	2663	99	94	134	136	61	105
ENSG00000196924	2647	129	82	82	128	94	72
ENSG00000266074	2639	100	54	83	109	52	52
ENSG00000152580	2623	110	61	57	129	86	66
ENSG00000069020	2623	124	69	99	146	50	64
ENSG00000162402	2620	131	69	100	141	106	71
ENSG00000172752	2615	135	89	77	132	103	89
ENSG00000092148	2610	118	55	90	124	80	79
ENSG00000132466	2603	78	48	67	105	29	46
ENSG00000136068	2602	134	105	91	135	99	77
ENSG00000166004	2601	107	74	131	158	67	64
ENSG00000152223	2579	114	68	94	133	105	42
ENSG00000136367	2572	98	52	77	121	59	49
ENSG00000010327	2570	110	20	64	125	71	72
ENSG00000133454	2567	152	91	108	143	47	70
ENSG00000160460	2564	144	41	138	149	75	54
ENSG00000181555	2564	115	93	109	148	85	93
ENSG00000148400	2555	74	15	57	124	86	87
ENSG00000124486	2554	116	64	89	133	113	71
ENSG00000136011	2551	100	55	62	134	99	79
ENSG00000198793	2549	133	62	83	130	90	67
ENSG00000066933	2548	140	97	99	143	90	62
ENSG00000131503	2542	79	49	73	113	38	68
ENSG00000171914	2542	133	91	91	140	38	77
ENSG00000137076	2541	133	78	94	144	31	66
ENSG00000171988	2540	125	104	77	123	72	66
ENSG00000072121	2539	130	50	95	139	80	57
ENSG00000101639	2537	110	63	98	128	72	63
ENSG00000157766	2530	46	7	140	172	65	72
ENSG00000188906	2527	127	83	96	140	82	71
ENSG00000103335	2521	97	20	62	93	111	41
ENSG00000079432	2517	89	34	58	85	37	34
ENSG00000112659	2517	121	31	103	140	71	45
ENSG00000257743	2515	74	28	55	115	112	69
ENSG00000196498	2514	115	60	95	131	47	45
ENSG00000169710	2511	121	43	79	133	89	63
ENSG00000141837	2506	99	44	66	95	76	54
ENSG00000148143	2506	113	82	73	98	91	54
ENSG00000085224	2492	117	107	111	121	56	89
ENSG00000197081	2491	120	62	67	135	122	80
ENSG00000166833	2488	111	63	59	94	46	52
ENSG00000163629	2485	123	80	101	141	83	72
ENSG00000198707	2479	144	146	141	139	37	63
ENSG00000115414	2477	96	28	84	134	102	65
ENSG00000197694	2472	143	99	149	157	104	95
ENSG00000080345	2472	110	94	107	121	52	53
ENSG00000134250	2471	74	30	53	110	90	73
ENSG00000131711	2468	103	78	120	137	64	86
ENSG00000083097	2465	95	39	79	118	81	57
ENSG00000076555	2458	122	52	114	144	106	71
ENSG00000104133	2443	123	75	95	139	117	62
ENSG00000005339	2442	74	51	36	57	44	37
ENSG00000141027	2440	109	57	101	124	56	51
ENSG00000184956	2439	65	18	36	66	74	28
ENSG00000107331	2435	103	38	67	103	102	47
ENSG00000108021	2430	111	80	110	135	56	73
ENSG00000159140	2426	74	46	135	174	40	63
ENSG00000163554	2419	131	96	139	143	92	107
ENSG00000100393	2414	67	42	36	60	41	33
ENSG00000187908	2413	75	6	42	127	110	77
ENSG00000127124	2406	99	52	98	109	38	20
ENSG00000183638	2400	83	25	81	95	27	52
ENSG00000143520	2391	69	14	43	76	79	10
ENSG00000173898	2390	128	48	125	141	81	71
ENSG00000067798	2385	108	66	58	90	45	52
ENSG00000060237	2382	56	50	56	76	42	35
ENSG00000006283	2377	81	32	47	96	65	55
ENSG00000125107	2376	120	62	70	117	99	63
ENSG00000151779	2371	110	69	100	136	100	70
ENSG00000277399	2367	108	43	89	105	51	45
ENSG00000100106	2365	107	28	78	148	37	79
ENSG00000115306	2364	139	92	134	139	94	90
ENSG00000047410	2363	107	82	122	109	19	44
ENSG00000148396	2357	79	17	72	109	60	44
ENSG00000204186	2354	95	95	92	117	60	99
ENSG00000165899	2353	103	57	92	128	119	66
ENSG00000168014	2353	110	49	91	126	69	55
ENSG00000196557	2353	80	25	57	87	68	39
ENSG00000185958	2351	90	78	95	97	47	31
ENSG00000185010	2351	119	76	75	117	104	62
ENSG00000047936	2347	91	45	81	123	124	54
ENSG00000278540	2346	120	61	92	135	99	75
ENSG00000137812	2342	121	103	102	141	69	85
ENSG00000100731	2341	97	44	55	99	76	58
ENSG00000148408	2339	94	46	59	88	76	52
ENSG00000174231	2335	124	85	71	112	129	63
ENSG00000139304	2332	104	65	70	109	121	56
ENSG00000119397	2325	123	116	116	124	25	64
ENSG00000173546	2322	81	6	81	119	84	57
ENSG00000074181	2321	83	10	49	104	63	65
ENSG00000185658	2320	116	69	66	113	80	79
ENSG00000151320	2319	102	84	115	138	49	83
ENSG00000049618	2319	69	33	47	80	56	49
ENSG00000106278	2315	78	52	91	127	83	76
ENSG00000138193	2302	108	63	93	119	79	54
ENSG00000142197	2298	110	57	80	113	79	51
ENSG00000165238	2297	79	39	62	79	43	49
ENSG00000196440	2290	105	75	87	132	61	58
ENSG00000117713	2285	70	37	44	76	63	44
ENSG00000171467	2279	102	66	83	107	43	62
ENSG00000198691	2273	96	40	59	108	103	48
ENSG00000142207	2271	109	57	75	116	86	55
ENSG00000153207	2266	103	65	87	108	68	46
ENSG00000164151	2266	107	71	102	124	56	54
ENSG00000206384	2263	111	81	76	113	88	70
ENSG00000165029	2261	104	55	55	94	101	50
ENSG00000130943	2253	101	50	43	79	97	43
ENSG00000215421	2248	106	78	111	125	55	56
ENSG00000141431	2248	94	77	92	106	31	34
ENSG00000176542	2245	73	24	37	83	20	40
ENSG00000138246	2243	110	67	83	122	90	55
ENSG00000116580	2241	94	69	98	106	40	53
ENSG00000101191	2240	110	56	80	95	53	61
ENSG00000007202	2235	103	46	66	120	77	66
ENSG00000144674	2230	135	136	134	123	27	51
ENSG00000288701	2229	103	53	80	108	58	52
ENSG00000176225	2226	92	55	78	105	71	46
ENSG00000084774	2225	97	33	80	110	81	49
ENSG00000155761	2223	95	79	100	119	84	58
ENSG00000151067	2221	85	40	59	81	67	43
ENSG00000099991	2220	103	62	88	117	63	64
ENSG00000137474	2215	107	85	76	118	97	62
ENSG00000197321	2214	114	79	106	118	67	57
ENSG00000137642	2214	121	45	71	121	113	71
ENSG00000146555	2213	83	26	82	117	97	34
ENSG00000123066	2210	81	43	51	105	72	68
ENSG00000184445	2209	111	86	103	132	96	60
ENSG00000112249	2202	117	73	80	114	101	63
ENSG00000041982	2201	100	36	95	114	81	78
ENSG00000164880	2190	110	33	68	108	66	58
ENSG00000135905	2186	111	84	65	113	82	69
ENSG00000112379	2177	98	43	72	120	73	69
ENSG00000184634	2177	103	48	66	103	69	58
ENSG00000198796	2170	88	65	103	117	56	54
ENSG00000123636	2168	89	63	74	88	41	49
ENSG00000157388	2161	86	43	54	80	81	43
ENSG00000161681	2161	78	27	53	83	52	35
ENSG00000204469	2157	97	30	68	94	33	40
ENSG00000099331	2157	114	80	89	113	69	44
ENSG00000104237	2156	96	77	85	105	60	55
ENSG00000204740	2156	84	46	70	95	109	60
ENSG00000109927	2155	90	45	57	115	110	68
ENSG00000183530	2151	114	85	94	119	39	66
ENSG00000064687	2146	93	16	50	81	67	40
ENSG00000119596	2146	77	37	72	76	70	57
ENSG00000144893	2145	97	49	53	93	71	54
ENSG00000119285	2144	113	86	76	107	77	45
ENSG00000183090	2139	92	35	61	107	95	73
ENSG00000135749	2137	80	41	66	92	66	49
ENSG00000070182	2137	127	70	115	125	98	91
ENSG00000144028	2136	113	66	90	117	83	71
ENSG00000164050	2135	69	22	67	113	66	67
ENSG00000112297	2131	93	68	87	119	50	55
ENSG00000135476	2120	104	47	69	98	67	34
ENSG00000169994	2116	115	70	65	102	83	42
ENSG00000137497	2115	117	72	109	114	21	26
ENSG00000077235	2109	111	52	79	101	71	62
ENSG00000162849	2108	90	45	61	92	47	35
ENSG00000138658	2104	110	86	73	103	72	53
ENSG00000241973	2102	117	71	64	112	74	56
ENSG00000107099	2099	101	59	81	114	90	48
ENSG00000115020	2098	103	70	70	110	82	71
ENSG00000180113	2096	111	66	82	118	81	63
ENSG00000100503	2090	107	77	113	110	38	37
ENSG00000137337	2089	78	41	107	115	20	45
ENSG00000134909	2087	95	53	72	106	69	57
ENSG00000135636	2080	99	57	79	103	82	59
ENSG00000066739	2078	103	53	82	117	72	63
ENSG00000156650	2073	78	62	49	66	54	44
ENSG00000147251	2073	116	81	79	119	96	61
ENSG00000008869	2071	99	50	63	101	56	37
ENSG00000107186	2070	92	52	81	125	38	64
ENSG00000088387	2069	113	84	59	111	92	59
ENSG00000188157	2068	83	15	59	112	53	47
ENSG00000153827	2067	101	54	73	102	59	54
ENSG00000198646	2063	49	26	31	46	15	21
ENSG00000110237	2063	93	28	66	98	50	54
ENSG00000101745	2062	87	72	106	107	43	73
ENSG00000138119	2061	121	75	88	106	88	72
ENSG00000145555	2058	96	68	77	90	92	46
ENSG00000196535	2054	102	64	83	99	46	61
ENSG00000177103	2053	98	47	53	103	80	52
ENSG00000130158	2047	100	31	77	97	72	51
ENSG00000129493	2040	94	47	58	95	63	40
ENSG00000198670	2040	84	10	57	90	113	35
ENSG00000118482	2039	94	84	71	94	41	64
ENSG00000203710	2039	96	26	52	107	105	48
ENSG00000174373	2036	87	46	73	102	69	49
ENSG00000126464	2036	59	30	50	80	49	37
ENSG00000172534	2035	61	32	44	66	34	18
ENSG00000197136	2034	81	22	47	88	74	45
ENSG00000167880	2033	112	66	106	118	35	50
ENSG00000175216	2032	109	89	77	104	57	55
ENSG00000088538	2030	96	56	68	105	86	48
ENSG00000015133	2028	110	74	105	109	22	45
ENSG00000122966	2027	123	85	100	125	61	44
ENSG00000182670	2025	93	69	83	116	72	61
ENSG00000078674	2024	83	55	95	114	43	59
ENSG00000058453	2017	111	40	126	121	7	38
ENSG00000154237	2015	95	47	75	109	89	53
ENSG00000171587	2012	98	51	57	96	85	47
ENSG00000101596	2005	105	73	75	115	79	76
ENSG00000136531	2005	63	42	57	77	88	49
ENSG00000083168	2004	72	60	50	66	56	45
ENSG00000168769	2002	94	69	71	101	59	27
ENSG00000243156	2002	101	61	78	104	48	41
ENSG00000153253	2000	66	49	46	78	90	44
ENSG00000170004	2000	91	66	78	91	71	47
ENSG00000115155	1997	102	62	71	101	69	79
ENSG00000127329	1997	106	55	58	113	99	59
ENSG00000138771	1996	101	46	72	99	46	49
ENSG00000105357	1995	101	49	106	110	44	34
ENSG00000170921	1990	80	31	55	88	73	50
ENSG00000133858	1989	92	69	77	102	57	45
ENSG00000169432	1988	68	47	52	72	85	45
ENSG00000160294	1980	73	43	63	83	76	46
ENSG00000100815	1979	112	93	109	111	29	49
ENSG00000075292	1978	92	77	84	90	41	54
ENSG00000102001	1977	66	26	44	69	73	40
ENSG00000133026	1976	100	90	106	103	44	55
ENSG00000067369	1972	88	53	75	99	26	61
ENSG00000133392	1972	97	87	102	107	47	57
ENSG00000165521	1969	103	57	36	112	103	78
ENSG00000139718	1966	67	30	63	85	51	56
ENSG00000090905	1962	74	43	36	76	65	49
ENSG00000100345	1960	102	96	100	104	40	49
ENSG00000100207	1960	87	54	61	97	42	36
ENSG00000214595	1958	110	78	42	109	102	78
ENSG00000107863	1958	102	59	75	99	51	63
ENSG00000133816	1957	97	59	84	105	57	48
ENSG00000115970	1953	103	48	73	106	82	53
ENSG00000122778	1950	55	23	64	98	59	29
ENSG00000196208	1949	76	37	58	90	88	38
ENSG00000153107	1944	84	37	66	101	79	44
ENSG00000120549	1943	107	74	75	90	41	56
ENSG00000159450	1943	69	78	87	64	49	30
ENSG00000198265	1942	88	50	57	79	67	35
ENSG00000125414	1941	100	87	102	105	48	50
ENSG00000167716	1941	85	18	58	93	61	55
ENSG00000109063	1940	101	91	96	104	51	61
ENSG00000109061	1939	101	90	103	104	49	53
ENSG00000197616	1939	101	90	96	102	47	51
ENSG00000264424	1939	103	93	106	104	50	49
ENSG00000110046	1938	77	16	59	101	54	47
ENSG00000133020	1937	99	86	104	105	48	49
ENSG00000078687	1936	67	24	26	65	56	35
ENSG00000092054	1935	100	90	95	102	48	53
ENSG00000163638	1935	95	43	63	90	76	55
ENSG00000218819	1934	106	79	85	110	103	48
ENSG00000144821	1926	99	87	94	103	49	37
ENSG00000181378	1925	83	41	54	87	89	36
ENSG00000004399	1925	85	40	54	92	58	42
ENSG00000141449	1923	83	38	59	98	78	42
ENSG00000100697	1922	103	59	64	100	91	63
ENSG00000124201	1918	103	57	93	104	67	42
ENSG00000117000	1914	84	68	94	96	58	52
ENSG00000065534	1914	87	59	76	105	65	48
ENSG00000111642	1912	87	54	76	86	64	47
ENSG00000153707	1912	91	40	73	99	80	51
ENSG00000155085	1911	85	72	82	95	72	39
ENSG00000173157	1910	84	44	61	95	81	50
ENSG00000198753	1909	76	19	52	87	63	45
ENSG00000176771	1909	99	62	67	94	24	40
ENSG00000137145	1909	86	65	57	87	59	47
ENSG00000142949	1907	95	25	69	98	79	62
ENSG00000154305	1907	102	70	95	99	47	70
ENSG00000108557	1906	80	59	49	89	40	43
ENSG00000168502	1905	110	47	85	103	35	47
ENSG00000134569	1905	94	27	55	102	57	83
ENSG00000102763	1905	109	54	73	113	69	65
ENSG00000023516	1901	72	56	77	102	69	64
ENSG00000205978	1898	82	41	48	87	64	32
ENSG00000124006	1896	86	16	96	111	54	59
ENSG00000114554	1896	88	42	63	101	74	60
ENSG00000221866	1894	85	58	79	107	80	56
ENSG00000076356	1894	87	44	64	104	77	54
ENSG00000164694	1894	91	36	41	62	44	35
ENSG00000136861	1893	88	86	105	108	44	44
ENSG00000147133	1893	76	58	75	92	58	64
ENSG00000144357	1888	84	50	73	98	75	45
ENSG00000143552	1888	94	50	55	77	87	31
ENSG00000132182	1887	70	23	54	87	67	33
ENSG00000160111	1885	74	17	60	106	75	41
ENSG00000103994	1883	93	61	73	96	42	50
ENSG00000075568	1883	71	43	60	84	75	32
ENSG00000066735	1882	86	15	47	87	32	34
ENSG00000029534	1881	89	38	70	93	47	49
ENSG00000134369	1877	100	65	61	80	35	42
ENSG00000145700	1873	97	75	91	107	46	52
ENSG00000188559	1873	89	47	63	104	64	49
ENSG00000081248	1873	62	30	49	72	71	25
ENSG00000115355	1871	92	84	91	97	33	47
ENSG00000148843	1871	91	71	75	102	58	48
ENSG00000147459	1870	92	61	70	102	70	46
ENSG00000150760	1865	99	75	76	105	81	63
ENSG00000092439	1865	91	74	64	89	86	40
ENSG00000012048	1863	90	69	96	95	39	35
ENSG00000174485	1863	85	54	45	84	67	52
ENSG00000115183	1861	92	50	59	87	54	34
ENSG00000196739	1860	86	39	37	64	28	27
ENSG00000099139	1860	92	43	52	93	70	61
ENSG00000107862	1860	83	36	78	102	69	43
ENSG00000005483	1858	60	34	62	77	42	33
ENSG00000041515	1858	79	58	56	93	62	49
ENSG00000005379	1857	74	26	96	112	31	32
ENSG00000214814	1857	91	64	71	99	71	62
ENSG00000197535	1855	102	80	83	93	63	43
ENSG00000206530	1854	79	75	85	104	80	53
ENSG00000162105	1849	80	47	61	88	54	55
ENSG00000066777	1849	94	56	84	110	73	58
ENSG00000133812	1849	90	49	65	87	71	33
ENSG00000167306	1848	98	67	78	98	65	54
ENSG00000130856	1845	63	51	51	84	54	36
ENSG00000136813	1845	92	61	71	104	56	27
ENSG00000168334	1843	95	29	77	100	22	51
ENSG00000068878	1843	85	50	74	95	74	42
ENSG00000079308	1839	86	37	49	80	59	35
ENSG00000130635	1838	85	49	55	89	31	52
ENSG00000196576	1838	86	41	68	103	70	67
ENSG00000214655	1837	71	22	63	83	55	30
ENSG00000188827	1834	75	26	78	87	28	32
ENSG00000100354	1833	71	43	34	78	75	47
ENSG00000167395	1832	82	38	60	70	46	33
ENSG00000134516	1830	87	66	70	100	81	61
ENSG00000173575	1828	80	74	78	85	55	56
ENSG00000078018	1827	93	67	87	85	27	74
ENSG00000090402	1827	80	28	45	105	99	66
ENSG00000197892	1826	82	60	62	93	44	61
ENSG00000122728	1826	77	63	73	90	60	58
ENSG00000130396	1824	88	52	65	89	48	62
ENSG00000112769	1823	89	38	66	104	77	61
ENSG00000132470	1822	92	24	61	95	69	56
ENSG00000152582	1822	88	71	97	105	50	60
ENSG00000119681	1821	56	8	68	84	60	35
ENSG00000146247	1821	80	43	53	97	75	55
ENSG00000138182	1820	101	95	92	90	41	54
ENSG00000128159	1819	77	35	71	97	59	52
ENSG00000054523	1816	95	51	67	90	65	50
ENSG00000164944	1812	96	39	66	79	59	51
ENSG00000103197	1807	88	38	62	90	63	45
ENSG00000197077	1806	108	63	79	105	34	52
ENSG00000251322	1806	67	29	47	84	41	47
ENSG00000137177	1805	83	55	74	98	54	49
ENSG00000197555	1804	93	60	68	101	64	59
ENSG00000165288	1802	78	42	54	92	79	69
ENSG00000132849	1801	78	36	57	89	45	69
ENSG00000188352	1801	79	47	65	84	56	23
ENSG00000173193	1801	109	86	61	94	76	52
ENSG00000196632	1800	73	56	64	77	55	34
ENSG00000172037	1798	84	7	59	102	38	52
ENSG00000086015	1798	79	40	62	79	42	40
ENSG00000187955	1796	74	37	63	89	59	58
ENSG00000187605	1795	70	44	74	101	49	36
ENSG00000189195	1792	90	71	67	99	46	65
ENSG00000122257	1792	82	77	66	71	36	49
ENSG00000116183	1791	62	26	57	92	81	53
ENSG00000168356	1791	74	56	44	75	83	33
ENSG00000091136	1786	69	41	78	95	59	74
ENSG00000124198	1785	101	66	82	105	70	56
ENSG00000085185	1785	70	42	51	81	32	43
ENSG00000131016	1782	83	73	83	76	3	44
ENSG00000105738	1781	90	44	49	87	57	55
ENSG00000147234	1777	85	44	70	92	45	40
ENSG00000242866	1775	58	2	55	82	64	27
ENSG00000134313	1771	91	47	58	83	48	54
ENSG00000078177	1770	76	64	86	99	50	58
ENSG00000198862	1766	90	65	66	91	78	37
ENSG00000169629	1765	87	80	74	95	69	48
ENSG00000178031	1762	77	30	54	87	53	40
ENSG00000120733	1761	77	56	52	90	53	56
ENSG00000091128	1761	83	43	46	98	41	65
ENSG00000130940	1759	72	50	47	72	52	38
ENSG00000153165	1758	88	78	71	92	67	44
ENSG00000196862	1758	88	80	70	92	70	44
ENSG00000185304	1756	84	77	72	95	68	49
ENSG00000118898	1756	114	72	106	92	40	57
ENSG00000024048	1755	84	49	68	92	80	41
ENSG00000008226	1755	70	42	69	80	72	33
ENSG00000182871	1754	52	13	44	72	36	36
ENSG00000138002	1749	103	62	80	102	96	48
ENSG00000095319	1749	78	29	58	85	52	37
ENSG00000159459	1749	84	52	68	91	73	32
ENSG00000171798	1749	78	34	67	92	53	42
ENSG00000104067	1748	79	38	75	105	53	60
ENSG00000161996	1748	79	14	36	90	68	51
ENSG00000187627	1748	84	77	71	95	68	51
ENSG00000174718	1747	89	77	70	93	34	41
ENSG00000173517	1746	90	58	56	87	47	44
ENSG00000080573	1745	81	38	52	82	27	36
ENSG00000244731	1744	80	39	51	93	71	46
ENSG00000166783	1742	85	61	48	75	47	34
