ensg	ms_det	ms_abund	ms_present	ms_det_TDR1	ms_det_TDR4	ms_present_TDR1	ms_present_TDR4	ms_abund_TDR1	ms_abund_TDR4	ms_n_proteotypic	ms_n_sequences	soma_det	soma_abund	soma_present	soma_det_TDR1	soma_det_TDR4	soma_present_TDR1	soma_present_TDR4	soma_abund_TDR1	soma_abund_TDR4	olink_det	olink_abund	olink_present	olink_det_TDR1	olink_det_TDR4	olink_present_TDR1	olink_present_TDR4	olink_abund_TDR1	olink_abund_TDR4	arm	p_detect_intrinsic	p_detect_full	top_dark_reason	uniprot	tryptic_per_kda	n_tryptic_7_30	n_tm	is_secreted	has_signal	is_membrane	disorder_fraction_proxy	pep_n_unique	pep_frac_shared	pep_max_shared_genes	pep_n_clean	aff_present	aff_abund_z
ENSG00000001460	0.0		0	0.0	0.0	0	0					0.0		0	0.0	0.0	0	0			0.0	-0.8580721957019619	0	0.0	0.0	0	0	-1.825901279312348	0.10975688790842426	Organoid																0	-0.4180882679549679
ENSG00000001497	1.0	24.058186070879696	1	1.0	1.0	1	1	24.09348622133149	24.022885920427903	32.0	32.0	0.0		0	0.0	0.0	0	0			1.0	6.841119254565916	1	1.0	1.0	1	1	7.0993538515739285	6.582884657557905	Organoid	0.9375926929150856	0.980426598948374	localization	Q9Y4W2	0.4454	37.0	0.0	0.0	0.0	0.0	0.3253521126760563	37.0	0.0	0.0	19.0	1	1.5630886271526077
ENSG00000001561	1.0	21.760628605340365	1	1.0	1.0	1	1	21.62187246034539	21.899384750335344	6.0	7.0	1.0	10.484652062106989	1	1.0	1.0	1	1	10.490111289023194	10.479192835190783	0.0		0	0.0	0.0	0	0			Organoid	0.8705600285607662	0.886770987508282	abundance	Q9Y6X5	0.3098	16.0	1.0	0.0	1.0	1.0	0.1014492753623188	15.0	0.0625	1.0	9.0	1	0.06119393028898399
ENSG00000001617	1.0	21.087665831893947	1	1.0	1.0	1	1	21.47031422501288	20.705017438775016	20.0	20.0	1.0	9.97242873669453	1	1.0	1.0	1	1	10.141217542851198	9.803639930537866	1.0	0.72118823402615	1	1.0	1.0	1	1	0.8895829060447735	0.5527935620075263	Organoid	0.8605009554667984	0.6694750595313721	abundance	Q13275	0.4526	40.0	0.0	1.0	1.0	0.0	0.2436069986541049	38.0	0.05	1.0	17.0	1	-0.07369309673831816
ENSG00000001626	0.0		0	0.0	0.0	0	0					1.0	10.939299372782344	1	1.0	1.0	1	1	10.961905950011479	10.916692795553208	0.0		0	0.0	0.0	0	0			Organoid	0.9249568878183	0.7678575254689379	abundance	P13569	0.4104	69.0	12.0	0.0	0.0	1.0	0.206043956043956	69.0	0.0	0.0	37.0	1	0.23593621461542963
ENSG00000001629	1.0	19.96563758983144	1	1.0	1.0	1	1	20.307640972985187	19.623634206677686	11.0	11.0	0.0		0	0.0	0.0	0	0			1.0	3.090971519611454	1	1.0	1.0	1	1	3.507531007605239	2.6744120316176696	Organoid	0.8590851667401996	0.93642054476346	abundance	Q9P2G1	0.3934	48.0	0.0	0.0	0.0	1.0	0.3289473684210526	48.0	0.0	0.0	20.0	1	0.59809040705077
ENSG00000001630	1.0	23.279624845632	1	1.0	1.0	1	1	23.11875575279203	23.440493938471974	20.0	20.0	1.0	10.20205799559989	1	1.0	1.0	1	1	10.17872156898958	10.225394422210197	0.0		0	0.0	0.0	0	0			Organoid	0.8003121276543395	0.9677854599755304	size	Q16850	0.4539	26.0	1.0	0.0	0.0	1.0	0.222680412371134	26.0	0.0	0.0	16.0	1	-0.04742022305373935
ENSG00000001631	1.0	20.98813272345992	1	1.0	1.0	1	1	20.88965605058305	21.08660939633678	10.0	10.0	0.0		0	0.0	0.0	0	0			0.0	-1.0533387534449203	0	0.0	0.0	0	0	-1.0857310689096988	-1.020946437980142	Organoid	0.9446900551314013	0.778793996682525	abundance	O00522	0.4979	42.0	0.0	0.0	0.0	1.0	0.2317415730337078	42.0	0.0	0.0	24.0	0	-0.4683347899548954
ENSG00000002016	0.0		0	0.0	0.0	0	0					1.0	12.197248156112128	1	1.0	1.0	1	1	12.174475444125587	12.220020868098672	0.0		0	0.0	0.0	0	0			Organoid																1	0.7194249295012448
ENSG00000002330	1.0	21.55054502960523	1	1.0	1.0	1	1	21.594859355372407	21.506230703838064	5.0	5.0	1.0	12.74679348067768	1	1.0	1.0	1	1	12.874763783820274	12.61882317753509	0.0		0	0.0	0.0	0	0			Organoid	0.8445322058645802	0.9416215450498376	structure_af	Q92934	0.4893	9.0	0.0	0.0	0.0	0.0	0.3333333333333333	9.0	0.0	0.0	4.0	1	0.9306409712564606
ENSG00000002549	1.0	25.731707271919856	1	1.0	1.0	1	1	25.846960190405053	25.616454353434655	32.0	32.0	1.0	15.771164894956264	1	1.0	1.0	1	1	16.08123811924066	15.461091670671866	1.0	4.177784214084463	1	1.0	1.0	1	1	4.319398472317296	4.036169955851628	Organoid	0.9405046736862032	0.9929689311774148	size	P28838	0.5697	32.0	0.0	0.0	0.0	0.0	0.204040404040404	32.0	0.0	0.0	17.0	1	1.4854003774955116
ENSG00000002586	1.0	22.38741134031097	1	1.0	1.0	1	1	22.21277524844555	22.562047432176392	2.0	2.0	0.0		0	0.0	0.0	0	0			1.0	4.172426917622362	1	1.0	1.0	1	1	4.152118576400071	4.192735258844653	Organoid	0.741772352129059	0.9296963921314698	structure_af	P14209	0.2122	4.0	1.0	0.0	1.0	1.0	0.4676258992805755	4.0	0.0	0.0	3.0	1	0.8763734529352871
ENSG00000002587	0.6	18.46853096185521	0	1.0	0.2	1	0	18.79385058692106	16.84193283652596	3.0	3.0	1.0	11.745378154225246	1	1.0	1.0	1	1	11.70788093203446	11.782875376416033	0.0		0	0.0	0.0	0	0			Organoid	0.8263346764014811	0.188037242578764	abundance	O14792	0.3634	13.0	0.0	0.0	1.0	0.0	0.2699619771863117	13.0	0.0	0.0	8.0	1	0.5457500951972285
ENSG00000002726	0.0		0	0.0	0.0	0	0					1.0	9.705678568354012	1	1.0	1.0	1	1	9.714724594156154	9.696632542551868	0.0	-3.219490954377568	0	0.0	0.0	0	0	-3.5923767299701845	-2.8466051787849525	Organoid	0.9772478561535948	0.9654063571456182	composition	P19801	0.3865	33.0	0.0	1.0	1.0	1.0	0.0932203389830508	33.0	0.0	0.0	20.0	1	-0.6319685429295828
ENSG00000002745	0.0		0	0.0	0.0	0	0					1.0	11.28789007149591	1	1.0	1.0	1	1	11.266417849294818	11.309362293697001	0.0	0.3778816559335098	0	0.0	0.0	0	0	0.4369125860741345	0.31885072579288515	Organoid																1	0.1349333546890633
ENSG00000002746	1.0	22.39534045555551	1	1.0	1.0	1	1	22.739335982104958	22.051344929006056	18.0	18.0	1.0	9.803446532320605	1	1.0	1.0	1	1	9.811939381505042	9.794953683136168	0.0		0	0.0	0.0	0	0			Organoid	0.8980652154062656	0.6010669043479508	abundance	Q76N89	0.3509	63.0	0.0	0.0	0.0	0.0	0.2515802781289507	56.0	0.1111111111111111	5.0	35.0	1	-0.20062530316003463
ENSG00000002822	1.0	22.64048818705153	1	1.0	1.0	1	1	22.627236207816793	22.653740166286276	31.0	31.0	1.0	14.04807779716017	1	1.0	1.0	1	1	14.071752419240132	14.024403175080206	1.0	8.551586243617347	1	1.0	1.0	1	1	8.472417345828106	8.630755141406588	Organoid	0.9423107141481653	0.9300509039258738	localization	Q9Y6D9	0.5417	45.0	0.0	0.0	0.0	0.0	0.6729106628242075	45.0	0.0	0.0	26.0	1	1.717008105637201
ENSG00000002834	1.0	25.66152134838648	1	1.0	1.0	1	1	25.678200562929174	25.64484213384378	14.0	14.0	1.0	17.15806513043585	1	1.0	1.0	1	1	17.2178635386076	17.098266722264107	0.0		0	0.0	0.0	0	0			Organoid	0.6490516776826128	0.9870613784987848	size	Q14847	0.4711	14.0	0.0	0.0	0.0	0.0	0.4050632911392405	14.0	0.0	0.0	7.0	1	2.6260995536864207
ENSG00000002919	1.0	19.879963873983318	1	1.0	1.0	1	1	19.865566414650992	19.894361333315636	8.0	8.0	1.0	14.357768536972417	1	1.0	1.0	1	1	14.4812489070987	14.234288166846127	0.0		0	0.0	0.0	0	0			Organoid	0.813317934010118	0.8205810857745973	abundance	Q9Y5W9	0.4272	13.0	0.0	0.0	0.0	1.0	0.2439024390243902	13.0	0.0	0.0	9.0	1	1.549814239677877
ENSG00000002933	0.8	10.95928976307218	1	0.6	1.0	0	1	10.586814888462179	11.18277468783818	1.0	1.0	1.0	13.416942639365589	1	1.0	1.0	1	1	13.306744426827667	13.52714085190351	0.0		0	0.0	0.0	0	0			Organoid	0.4164632686520551	0.2609419868600669	abundance	Q96HP8	0.4212	11.0	4.0	0.0	0.0	1.0	0.0236966824644549	11.0	0.0	0.0	5.0	1	1.18821072275157
ENSG00000003056	1.0	24.091309365249764	1	1.0	1.0	1	1	24.03492499740254	24.14769373309699	9.0	9.0	0.0		0	0.0	0.0	0	0			1.0	2.127955520630161	1	1.0	1.0	1	1	2.116665262021949	2.1392457792383732	Organoid	0.8912847351355879	0.992950648965968	size	P20645	0.3872	12.0	1.0	0.0	1.0	1.0	0.2202643171806167	12.0	0.0	0.0	4.0	1	0.35028450962315155
ENSG00000003096	1.0	21.60448598788968	1	1.0	1.0	1	1	21.76008609552666	21.448885880252696	7.0	18.0	1.0	11.925514001868432	1	1.0	1.0	1	1	11.890708036298545	11.960319967438318	0.0		0	0.0	0.0	0	0			Organoid	0.8642976537128468	0.8410388350561098	proteotypicity	Q9P2N7	0.555	41.0	0.0	0.0	0.0	0.0	0.1315372424722662	21.0	0.4878048780487805	1.0	8.0	1	0.6149847497682472
ENSG00000003137	0.0		0	0.0	0.0	0	0					1.0	10.695882880849608	1	1.0	1.0	1	1	10.690563946689524	10.701201815009693	0.0		0	0.0	0.0	0	0			Organoid	0.8774153156002388	0.525089485426695	abundance	Q9NR63	0.4347	25.0	0.0	0.0	0.0	1.0	0.1762295081967213	24.0	0.04	1.0	15.0	1	0.14237984059911277
ENSG00000003147	1.0	18.03392276694377	1	1.0	1.0	1	1	17.882603016671162	18.185242517216377	5.0	7.0	1.0	11.571114566399933	1	1.0	1.0	1	1	11.51698725328252	11.625241879517338	1.0	6.917783137713246	1	1.0	1.0	1	1	6.896067879918251	6.9394983955082425	Organoid	0.9579606191251088	0.9371117024632514	abundance	Q05084	0.5307	29.0	0.0	0.0	0.0	1.0	0.4313725490196078	27.0	0.0689655172413793	1.0	14.0	1	1.030794205832136
ENSG00000003249	0.0		0	0.0	0.0	0	0					1.0	11.242786746215808	1	1.0	1.0	1	1	11.276699937303475	11.20887355512814	0.0		0	0.0	0.0	0	0			Organoid	0.624508041144766	0.5828259957421031	abundance	Q9H9R9	0.2347	4.0	0.0	0.0	0.0	0.0	0.2686567164179104	4.0	0.0	0.0	3.0	1	0.3525806457003076
ENSG00000003393	1.0	20.825784337192623	1	1.0	1.0	1	1	20.67805280352514	20.9735158708601	44.0	44.0	0.0		0	0.0	0.0	0	0			0.0		0	0.0	0.0	0	0			Organoid	0.8667371947591278	0.9097789978973244	abundance	Q96Q42	0.3921	72.0	0.0	0.0	0.0	0.0	0.1824862216778934	72.0	0.0	0.0	43.0	0	
ENSG00000003400	0.0		0	0.0	0.0	0	0					1.0	13.511028727751627	1	1.0	1.0	1	1	13.521817824492237	13.500239631011016	0.7	-0.7628147113827668	1	0.6	0.8	0	1	-0.868436864982925	-0.6571925577826083	Organoid	0.6489389964415431	0.8416045577255443	abundance	Q92851	0.1696	10.0	0.0	0.0	0.0	0.0	0.0	10.0	0.0	0.0	4.0	1	0.4153980331278867
ENSG00000003402	0.0		0	0.0	0.0	0	0					1.0	9.87338303105622	1	1.0	1.0	1	1	9.836012813002817	9.910753249109625	0.0		0	0.0	0.0	0	0			Organoid	0.9534016777063028	0.8320129145039022	abundance	O15519	0.3975	22.0	0.0	0.0	0.0	1.0	0.4517045454545454	22.0	0.0	0.0	14.0	1	-0.17374542669336984
ENSG00000003436	0.9	22.184022637008177	1	1.0	0.8	1	1	22.51964388549838	21.764496076395424	10.0	10.0	1.0	11.111463235161972	1	1.0	1.0	1	1	10.869847648824573	11.353078821499372	1.0	3.5645285228320183	1	1.0	1.0	1	1	3.9812508178747152	3.147806227789321	Organoid	0.6960273435221204	0.9726392793464836	size	P10646	0.3427	12.0	0.0	1.0	1.0	0.0	0.3134920634920635	12.0	0.0	0.0	3.0	1	0.5110271225668843
ENSG00000003509	1.0	22.48220502002182	1	1.0	1.0	1	1	22.4745964164678	22.489813623575834	19.0	19.0	0.0		0	0.0	0.0	0	0			0.0		0	0.0	0.0	0	0			Organoid	0.9224980182818312	0.9735807959867908	size	Q7L592	0.4671	23.0	0.0	0.0	0.0	0.0	0.0943396226415094	23.0	0.0	0.0	16.0	0	
ENSG00000003756	1.0	23.255998218299915	1	1.0	1.0	1	1	23.2842153831241	23.22778105347573	16.0	16.0	1.0	11.232593323021147	1	1.0	1.0	1	1	11.26016350185411	11.205023144188186	0.0		0	0.0	0.0	0	0			Organoid	0.9765101309734632	0.9648015888345024	localization	P52756	0.3798	35.0	0.0	0.0	0.0	0.0	0.4399494310998735	31.0	0.1142857142857142	1.0	18.0	1	0.3486628350978534
ENSG00000003987	1.0	21.33034683061791	1	1.0	1.0	1	1	21.52006847397509	21.140625187260724	20.0	20.0	1.0	11.874614426631094	1	1.0	1.0	1	1	11.874401338073534	11.874827515188654	1.0	0.8634753734899805	1	1.0	1.0	1	1	1.4890716940196256	0.237879052960335	Organoid																1	0.3101633465360875
ENSG00000003989	0.0		0	0.0	0.0	0	0					1.0	15.791623737947386	1	1.0	1.0	1	1	15.581407131513894	16.001840344380877	0.0		0	0.0	0.0	0	0			Organoid																1	2.100912040827375
ENSG00000004059	1.0	27.409963591624592	1	1.0	1.0	1	1	27.54753673619673	27.272390447052466	6.0	7.0	1.0	11.294457486436896	1	1.0	1.0	1	1	11.31245991805216	11.276455054821634	0.0		0	0.0	0.0	0	0			Organoid																1	0.3724401345107858
ENSG00000004139	1.0	23.66459552899406	1	1.0	1.0	1	1	23.68613849381985	23.643052564168265	33.0	33.0	1.0	12.36424266614723	1	1.0	1.0	1	1	12.330917863058309	12.39756746923615	0.0		0	0.0	0.0	0	0			Organoid	0.9151565690376726	0.9539552495202406	abundance	Q6SZW1	0.5165	41.0	0.0	0.0	0.0	0.0	0.2095096582466567	41.0	0.0	0.0	23.0	1	0.7836087517043555
ENSG00000004142	1.0	22.182085193541795	1	1.0	1.0	1	1	22.160493817214572	22.203676569869017	14.0	14.0	1.0	13.779584635712627	1	1.0	1.0	1	1	13.995439010845852	13.563730260579405	0.0		0	0.0	0.0	0	0			Organoid																1	1.32759104975769
ENSG00000004399	1.0	22.0030998310823	1	1.0	1.0	1	1	22.114546010009473	21.891653652155114	11.0	11.0	1.0	12.596933858882572	1	1.0	1.0	1	1	12.833280411980075	12.36058730578507	0.0		0	0.0	0.0	0	0			Organoid	0.760818105780755	0.922447143964636	ptm	Q9Y4D7	0.3821	81.0	1.0	0.0	1.0	1.0	0.1590296495956873	78.0	0.037037037037037	3.0	32.0	1	0.8730428902255292
ENSG00000004455	1.0	25.202028237582248	1	1.0	1.0	1	1	24.819725561166383	25.584330913998116	16.0	16.0	1.0	17.065184973940397	1	1.0	1.0	1	1	17.035018172336596	17.095351775544206	1.0	7.964480633570746	1	1.0	1.0	1	1	7.8597697502077155	8.069191516933774	Organoid	0.93305108043101	0.9906176388076005	size	P54819	0.5287	14.0	0.0	0.0	0.0	0.0	0.4325581395348837	14.0	0.0	0.0	7.0	1	2.2212781937964525
ENSG00000004468	0.0		0	0.0	0.0	0	0					1.0	10.451709882275503	1	1.0	1.0	1	1	10.407654964678965	10.495764799872038	0.1	-4.136850669024992	0	0.0	0.2	0	0	-4.694331464280607	-3.5793698737693775	Organoid	0.6910738631597391	0.951509524531311	size	P28907	0.5826	20.0	1.0	0.0	0.0	1.0	0.1557971014492753	20.0	0.0	0.0	6.0	1	-0.606629880679005
ENSG00000004478	1.0	25.83587097480888	1	1.0	1.0	1	1	25.72286827262642	25.948873676991337	40.0	40.0	1.0	17.530150843616582	1	1.0	1.0	1	1	17.527624852214036	17.53267683501913	1.0	3.34975313720824	1	1.0	1.0	1	1	3.537805909538938	3.1617003648775426	Organoid	0.9699817579137284	0.9950711476006158	size	Q02790	0.5598	29.0	0.0	0.0	0.0	0.0	0.5494252873563218	29.0	0.0	0.0	17.0	1	1.716895170534809
ENSG00000004487	1.0	24.605218469798192	1	1.0	1.0	1	1	24.701730953504775	24.508705986091606	33.0	33.0	1.0	15.02425424791288	1	1.0	1.0	1	1	14.989653814156132	15.058854681669626	0.8	5.266051606565463	1	0.6	1.0	0	1	3.669722569879101	6.862380643251823	Organoid	0.9542774309610688	0.973079853512711	localization	O60341	0.3983	37.0	0.0	0.0	0.0	0.0	0.2741545893719807	37.0	0.0	0.0	20.0	1	1.4818819451333176
ENSG00000004534	1.0	21.250491324222363	1	1.0	1.0	1	1	21.31090748460599	21.190075163838735	32.0	34.0	0.0		0	0.0	0.0	0	0			0.0		0	0.0	0.0	0	0			Organoid	0.9701159240614166	0.9731603431341894	structure_af	P78332	0.513	66.0	0.0	0.0	0.0	0.0	0.607825295723385	63.0	0.0454545454545454	1.0	46.0	0	
ENSG00000004660	1.0	19.34353926868904	1	1.0	1.0	1	1	19.755107882481532	18.931970654896546	11.0	11.0	1.0	10.666987609450455	1	1.0	1.0	1	1	10.911532713698126	10.422442505202786	1.0	8.175753786356914	1	1.0	1.0	1	1	8.463072754935308	7.8884348177785215	Organoid	0.8539493965144337	0.8560823139909541	abundance	Q8N5S9	0.5203	29.0	0.0	0.0	0.0	0.0	0.3575883575883576	29.0	0.0	0.0	20.0	1	1.0188972246576995
ENSG00000004700	1.0	24.187271479364377	1	1.0	1.0	1	1	24.32707421812272	24.047468740606043	32.0	32.0	1.0	15.11871351186357	1	1.0	1.0	1	1	15.260364091435068	14.977062932292062	0.0		0	0.0	0.0	0	0			Organoid	0.8236978144896221	0.9861895772383864	localization	P46063	0.4629	34.0	0.0	0.0	0.0	0.0	0.3264	33.0	0.0294117647058823	1.0	11.0	1	1.8422810816387165
ENSG00000004766	1.0	24.727175350790805	1	1.0	1.0	1	1	24.83131500081231	24.623035700769297	35.0	35.0	0.0		0	0.0	0.0	0	0			0.0		0	0.0	0.0	0	0			Organoid	0.9324754438913908	0.9688369797178392	structure_af	Q96JG6	0.4497	50.0	0.0	0.0	0.0	0.0	0.3414893617021277	50.0	0.0	0.0	30.0	0	
ENSG00000004776	1.0	15.79888428819802	1	1.0	1.0	1	1	15.296660486081517	16.30110809031452	3.0	3.0	1.0	10.57815777371518	1	1.0	1.0	1	1	10.390337563840284	10.765977983590076	1.0	-0.8266138053273234	1	1.0	1.0	1	1	-0.9708254759746833	-0.6824021346799638	Organoid	0.7863936964122235	0.9760712952790844	size	O14558	0.4085	7.0	0.0	1.0	0.0	0.0	0.2279411764705882	7.0	0.0	0.0	5.0	1	-0.1564303743433309
ENSG00000004777	1.0	21.999000415727856	1	1.0	1.0	1	1	22.25221928754023	21.74578154391549	18.0	18.0	0.0		0	0.0	0.0	0	0			0.0		0	0.0	0.0	0	0			Organoid	0.7946363365646195	0.5450208633353661	abundance	O14559	0.3863	53.0	0.0	0.0	0.0	0.0	0.0839271575613618	50.0	0.0566037735849056	3.0	28.0	0	
ENSG00000004779	1.0	24.89010693455616	1	1.0	1.0	1	1	24.985183568076557	24.79503030103576	4.0	4.0	0.0		0	0.0	0.0	0	0			0.0		0	0.0	0.0	0	0			Organoid	0.8038649029052162	0.908088322132138	size	O14561	0.1148	2.0	0.0	0.0	0.0	0.0	0.796875	2.0	0.0	0.0	0.0	0	
ENSG00000004809	0.0		0	0.0	0.0	0	0					1.0	14.703629920659257	1	1.0	1.0	1	1	14.732786156422545	14.674473684895968	0.0		0	0.0	0.0	0	0			Organoid	0.5702077800031716	0.3135683751568904	abundance	Q86VW1	0.325	21.0	12.0	0.0	0.0	1.0	0.0958408679927667	21.0	0.0	0.0	8.0	1	1.682744990232561
ENSG00000004838	0.0		0	0.0	0.0	0	0					1.0	14.883708458821484	1	1.0	1.0	1	1	14.942035603832887	14.825381313810084	0.0		0	0.0	0.0	0	0			Organoid																1	1.7519576180822487
ENSG00000004846	0.0		0	0.0	0.0	0	0					1.0	9.033972002759144	1	1.0	1.0	1	1	9.017299007241121	9.05064499827716	0.0	2.880704262301328	0	0.0	0.0	0	0	2.9336791763439485	2.827729348258708	Organoid																1	0.023806705601853495
ENSG00000004848	1.0	18.91485381274628	1	1.0	1.0	1	1	19.019909214577503	18.809798410915054	9.0	10.0	1.0	13.060179598789158	1	1.0	1.0	1	1	13.197119599925546	12.92323959765277	0.0		0	0.0	0.0	0	0			Organoid																1	1.0510899541695045
ENSG00000004864	1.0	25.769904519694546	1	1.0	1.0	1	1	25.53240037661994	26.007408662769148	31.0	38.0	1.0	10.517168490987014	1	1.0	1.0	1	1	10.44630166318969	10.58803531878434	0.0		0	0.0	0.0	0	0			Organoid	0.9267844452089886	0.9849803038013992	proteotypicity	Q9UJS0	0.4044	30.0	6.0	0.0	0.0	1.0	0.1353846153846153	23.0	0.2333333333333333	1.0	17.0	1	0.07369151891915499
ENSG00000004866	1.0	20.736880702994	1	1.0	1.0	1	1	20.65068365524621	20.823077750741795	7.0	12.0	0.0		0	0.0	0.0	0	0			0.0		0	0.0	0.0	0	0			Organoid	0.5686015741285361	0.6758558553623079	abundance	Q9NRC1	0.3871	26.0	3.0	0.0	0.0	1.0	0.160427807486631	20.0	0.2307692307692307	1.0	9.0	0	
ENSG00000004897	1.0	22.90037889400344	1	1.0	1.0	1	1	22.974085616219206	22.826672171787674	16.0	16.0	1.0	13.630078922550563	1	1.0	1.0	1	1	13.664687014310072	13.595470830791054	1.0	5.955814103299114	1	1.0	1.0	1	1	5.750053061646699	6.16157514495153	Organoid	0.82719598731007	0.9637845725543324	localization	P30260	0.4245	39.0	0.0	0.0	0.0	0.0	0.15625	39.0	0.0	0.0	19.0	1	1.302704244469576
ENSG00000004939	0.0		0	0.0	0.0	0	0					0.0		0	0.0	0.0	0	0			0.1	-4.563032798370839	0	0.0	0.2	0	0	-4.633752311142296	-4.492313285599382	Organoid				P02730	0.3144	32.0	12.0	0.0	0.0	1.0	0.1082299887260428	32.0	0.0	0.0	20.0	0	-1.3714588122133564
ENSG00000004948	0.0		0	0.0	0.0	0	0					1.0	11.68504846786124	1	1.0	1.0	1	1	11.693739711946467	11.67635722377601	0.0		0	0.0	0.0	0	0			Organoid	0.3435932999944217	0.4383644345588502	abundance	P30988	0.1626	9.0	7.0	0.0	1.0	1.0	0.068075117370892	9.0	0.0	0.0	2.0	1	0.5225625672818324
ENSG00000004961	1.0	22.86561960331632	1	1.0	1.0	1	1	22.36642590891438	23.364813297718264	14.0	14.0	1.0	13.266295358758107	1	1.0	1.0	1	1	12.857103375532972	13.675487341983246	0.0		0	0.0	0.0	0	0			Organoid	0.8663845871126622	0.9691064550727864	size	P53701	0.4902	15.0	0.0	0.0	0.0	0.0	0.3909465020576131	15.0	0.0	0.0	7.0	1	1.1303099074980612
