ensg	uniprot	length	mw_da	gravy	pI	n_tm	has_signal	n_tryptic_7_30	mature_start	mature_end	mature_length	n_glyco_sites	n_mod_res	n_disulfide	n_lipid_sites	n_glyco_sites_observed	n_mod_res_observed	n_disulfide_observed	n_lipid_sites_observed	has_propeptide	pe_level	cysteine_fraction	charged_fraction	proline_fraction	glycine_fraction	aromatic_fraction	n_glyco_motif_count	low_complexity_fraction	disorder_fraction_proxy	pest_score_max	pest_score_sum	n_pest_regions	pest_fraction	is_secreted	is_ecm	is_membrane	is_nuclear	is_chromatin	is_cytoplasmic	is_mitochondrial	is_er_golgi	is_lysosome	is_peroxisome	is_endosome	is_vesicle	is_lipid_droplet	is_cytoskeleton	is_projection	n_compartments	is_multilocal	topo_multipass	topo_single_type1	topo_single_type2	topo_single_other	topo_peripheral	topo_lipid_anchor	topo_extracellular_aa	topo_cytoplasmic_aa	loc_n_clauses	loc_n_observed	loc_go_n_terms	loc_source	tryptic_per_kda	Transcript count	Transcript length (including UTRs and CDS)	exon_count	manual_gc_content	cai	kozak_score	utr5_length	utr3_length	cds_length	utr5_gc	utr3_gc	utr3_to_cds_ratio	is_in_complex	n_complexes	complex_size_mean	complex_size_max	in_large_complex	n_conserved_mirna_sites	n_mirna_families	uorf_count	uorf_max_length_aa	uorf_mean_length_aa	uorf_mean_phastcon	has_uorf	rbp_n_binding_rbps	rbp_hur_binding	rbp_hnrnp_binding	rbp_pumilio_binding	rbp_destab_binding	mirna_site_density	pa_n_peptides	pa_n_proteotypic	pa_observed	frac_measured	n_obs	median_log_abundance	log_len	log_pa	log_tryptic
ENSG00000185567	Q8IVF2	5795	616629	-0.4619	4.98	0	0	302	1	5795	5795	0	0	0	0	0	35	0	0	0	1	0.0034512510785159	0.2821397756686798	0.0987057808455565	0.0804141501294219	0.0312338222605694	2	0.0	0.3793103448275862	0.07125	2.522779709454632	87	0.2213977566867989	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	6	cc	0.4898	5.0	18335.0	7.0	58.52195254976821	0.6808077881204194	0.5	137.0	810.0	17385.0	84.67153284671532	48.27160493827161	0.0465918895599654	0.0	0.0			0.0	4.0	3.0	0.0				0.0	47.0	0.0	1.0	0.0	0.0	4.938271604938271	1191.0	1181.0	1	1.0	3.0	0.0969100130080564	3.7630534402996147	3.076276255404218	2.4800069429571505
ENSG00000117983	Q9HC84	5762	596340	-0.239	6.63	0	1	147	26	5762	5737	28	0	16	0	10	0	0	0	0	1	0.047585846261112	0.1105107198884434	0.0984835279762942	0.0691999302771483	0.0515949102318284	33	0.0171388597411682	0.0140031507089095	0.1233333333333333	4.24709663264003	88	0.2499564232177096	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	5	cc	0.2465	5.0	17911.0	49.0	64.54134330858132	0.7095904055087591	0.625	58.0	564.0	17286.0	82.75862068965517	65.24822695035462	0.0326275598750433	1.0	1.0	2.0	2.0	0.0	0.0	0.0	0.0				0.0	71.0	0.0	1.0	0.0	0.0	0.0	737.0	683.0	1	1.0	2.0	0.9813655090785444	3.7605732539443943	2.8680563618230415	2.167317334748176
ENSG00000215182	P98088	5654	585570	-0.3984	6.96	0	1	181	28	5654	5627	25	0	16	0	33	0	0	0	0	1	0.0520703749777856	0.1213790652212546	0.1041407499555713	0.0609561044961791	0.0444286475919673	19	0.208095577746077	0.0467606639300374	0.1134210526315789	2.3450562921742635	55	0.1706060067531544	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	1	6	cc	0.3091	1.0	17448.0	49.0	60.29917469050894	0.7085483582648725	0.5625	47.0	436.0	16962.0	65.95744680851064	61.23853211009175	0.0257045159768895	0.0	0.0			0.0	0.0	0.0	0.0				0.0	6.0	0.0	1.0	0.0	0.0	0.0	649.0	598.0	1	1.0	1.0	-0.1505805862031006	3.752355804153501	2.8129133566428557	2.2576785748691846
ENSG00000143341	Q96RW7	5635	613390	-0.2464	6.47	0	1	255	22	5635	5614	34	0	76	0	0	0	0	0	0	1	0.0320627003918774	0.1934449590309939	0.0687566797292483	0.0778411115069469	0.062522265764161	35	0.0	0.0651162790697674	0.0873076923076923	1.3463208832790878	57	0.1499821873886711	1	1	0	0	0	1	0	0	0	0	0	0	0	0	0	3	1	0	0	0	0	0	0	0	0	7	0	11	cc	0.4157	8.0	18368.0	107.0	44.73540940766551	0.5340841838257123	0.5	389.0	1071.0	16905.0	62.724935732647815	30.905695611577965	0.0633540372670807	0.0	0.0			0.0	3.0	3.0	0.0				0.0	48.0	1.0	1.0	1.0	0.0	2.801120448179272	518.0	512.0	1	1.0	8.0	-0.5451551399914898	3.750893920382125	2.7151673578484576	2.406540180433955
ENSG00000112159	Q9NU22	5596	632820	-0.3709	5.44	0	0	279	1	5596	5596	0	0	0	0	0	13	0	0	0	1	0.0175125089349535	0.2512508934953538	0.0428877769835596	0.0584345961401	0.0725518227305218	14	0.0001793078716155	0.2812275664034458	0.105	1.6415374862495604	55	0.1463545389563974	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	2	1	0	0	0	0	0	0	0	0	3	3	6	cc	0.4409	30.0	18485.0	102.0	47.984852583175545	0.5614044649605733	0.875	187.0	1507.0	16788.0	70.05347593582889	42.73390842733909	0.0897664998808672	1.0	1.0	7.0	7.0	0.0	12.0	11.0	4.0	31.0	29.5	0.6838500000000001	1.0	167.0	1.0	1.0	1.0	0.0	7.962840079628402	1319.0	1316.0	1	1.0	7.0	0.3541084391474008	3.74787770581979	3.12057393120585	2.4456042032735974
ENSG00000167548	O14686	5537	593389	-0.6476	5.3	0	0	171	1	5537	5537	0	8	0	0	0	30	0	0	0	1	0.0207693696947805	0.1983023297814701	0.1457467942929384	0.0854253205707061	0.0404551201011378	15	0.04367524465386	0.1968075458008344	0.0871428571428571	2.596463833587181	69	0.1992053458551562	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	1	3	cc	0.2882	36.0	20635.0	55.0	59.77707778047008	0.625531274881693	0.75	1219.0	2802.0	16611.0	70.71369975389665	52.9621698786581	0.1686834025645656	1.0	7.0	8.142857142857142	12.0	1.0	49.0	42.0	24.0	45.0	18.875	0.9928458333333332	1.0	168.0	1.0	1.0	1.0	0.0	17.48750892219843	577.0	536.0	1	1.0	6.0	-0.3757179041643317	3.7432745235119333	2.761927838420529	2.2329961103921536
ENSG00000205277	Q9UKN1	5478	558164	-0.6032	5.35	1	1	91	17	5478	5462	14	0	1	0	0	0	0	0	0	1	0.0027462467960454	0.1188209447088978	0.0904430611497619	0.0710362504577078	0.043207616257781	14	0.0018372221201543	0.022250827510114	0.1042307692307692	6.197957969288753	114	0.3971072867081655	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	2	0	2	cc	0.163	8.0	16366.0	12.0	54.94928510326286	0.5930480330214144	0.75	28.0	300.0	16035.0	46.42857142857143	61.33333333333333	0.0187090739008419	0.0	0.0			0.0	0.0	0.0	0.0				0.0	7.0	1.0	1.0	0.0	0.0	0.0	55.0	53.0	1	1.0	1.0	-1.537602002101044	3.7386220279179425	1.7481880270062005	1.9590413923210936
ENSG00000145113	Q99102	5412	542307	-0.2179	4.89	1	1	70	29	5412	5384	546	0	6	0	1	0	0	0	0	1	0.0079866270430906	0.0910104011887072	0.0971396731054977	0.0683506686478454	0.0313893016344725	31	0.0001863932898415	0.0055970149253731	0.105	5.534635837972402	109	0.3397102526002972	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	8	2	7	cc	0.1291	23.0	16756.0	25.0	57.40033420864168	0.5944748879096774	0.6875	112.0	405.0	16236.0	69.64285714285714	47.65432098765432	0.0249445676274944	0.0	0.0			0.0	0.0	0.0	0.0				0.0	112.0	1.0	1.0	1.0	0.0	0.0	100.0	0.0	1	0.0	2.0	-1.0	3.7333577879255855	2.0043213737826426	1.845098040014257
ENSG00000275395	Q9Y6R7	5405	572017	-0.1136	5.0	0	1	162	24	5405	5382	2	0	28	0	7	0	0	0	0	1	0.0808249721293199	0.1570048309178744	0.0737643998513563	0.1133407655146785	0.0759940542549238	33	0.0	0.0283687943262411	0.0703846153846153	0.9220711053652224	37	0.0973615756224451	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	3	cc	0.2832	2.0	12795.0	28.0	63.2356389214537	0.6675834907433468	0.9375	16.0	164.0	12612.0	50.0	48.78048780487805	0.0130034887408817	0.0	0.0			0.0	0.0	0.0	0.0				0.0	65.0	0.0	1.0	0.0	0.0	0.0	1465.0	1.0	1	0.0	3.0	1.1398790864012365	3.7327956982893293	3.166133970305109	2.2095150145426308
ENSG00000198788	Q02817	5289	550850	-0.4384	5.76	0	1	81	21	5289	5269	26	0	7	0	19	1	52	0	0	1	0.0406149174416397	0.0886316189030176	0.1590434617574492	0.0527614348073638	0.0371987094325298	33	0.5085714285714286	0.0415633937082936	0.1091176470588235	0.7062765898532152	26	0.0770544695388119	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	2	1	0	0	0	0	0	0	0	0	3	2	7	cc	0.147	3.0	4209.0	30.0	61.81990971727252	0.5992193585746863	0.4375	325.0	3494.0	387.0	66.46153846153847	61.44819690898683	9.02842377260982	0.0	0.0			0.0	0.0	0.0	0.0				0.0	3.0	0.0	0.0	0.0	0.0	0.0	925.0	14.0	1	1.0	1.0	0.4871383754771864	3.7233735670189843	2.966610986681934	1.9084850188786497
ENSG00000162825	P0DPF2	5207	595733	-1.0238	4.27	0	0	230	1	5207	5207	0	0	0	0	0	0	0	0	0	1	0.0384098329172268	0.3616285769156904	0.0777799116573842	0.0608795851738044	0.0633762243134242	0	0.0325751734772552	0.6104572641327417	0.0873076923076923	4.5106837606837615	84	0.2415978490493566	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	1	cc	0.3861	3.0	19578.0	143.0	48.932475227295946	0.5855631527158788	0.75	1119.0	1521.0	16935.0	57.19392314566577	42.47205785667324	0.0898139946855624	0.0	0.0			0.0	0.0	0.0	0.0				0.0	71.0	1.0	1.0	1.0	0.0	0.0	41.0	3.0	1				3.7165875776756923	1.6232492903979006	2.361727836017593
ENSG00000173821	Q63HN8	5207	591407	-0.2752	6.46	0	0	275	1	5207	5207	0	0	0	0	0	4	0	0	0	1	0.0253504897253696	0.2437103898598041	0.0455156520069137	0.0482043403111196	0.080276550797004	25	0.0001927525057825	0.2417518811499131	0.0866666666666666	1.1815505122896426	50	0.143268676781256	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	2	1	0	0	0	0	0	0	0	0	2	2	4	cc	0.465	24.0	21079.0	68.0	52.151430333507285	0.6411688351500736	0.625	159.0	5296.0	15621.0	63.52201257861635	48.07401812688822	0.3390307918827219	0.0	0.0			0.0	9.0	8.0	27.0	52.0	15.333333333333334	0.3572925925925926	1.0	167.0	1.0	1.0	1.0	0.0	1.6993957703927491	1614.0	1609.0	1	1.0	9.0	0.8615344108590378	3.7165875776756923	3.2081725266671217	2.439332693830263
ENSG00000127481	Q5T4S7	5183	573841	-0.1995	5.91	0	0	231	1	5183	5183	0	6	0	0	0	14	0	0	0	1	0.0239243681265676	0.2133899286127725	0.0449546594636311	0.050935751495273	0.0679143353270306	24	0.0040666150271107	0.1694126768753634	0.0987499999999999	1.0704377756970302	39	0.114219563959097	0	0	0	1	0	1	0	0	0	0	1	0	0	1	0	4	1	0	0	0	0	0	0	0	0	6	3	12	cc	0.4026	20.0	15892.0	106.0	51.72413793103448	0.6121058015800479	0.75	18.0	322.0	15549.0	55.55555555555556	51.5527950310559	0.0207087272493407	1.0	1.0	3.0	3.0	0.0	3.0	3.0	21.0	42.0	22.61904761904762	0.9500190476190477	1.0	168.0	1.0	1.0	1.0	0.0	9.316770186335404	1845.0	1830.0	1	1.0	9.0	1.0644579892269184	3.7145812088395314	3.266231696689893	2.3636119798921444
ENSG00000186472	Q9Y6V0	5142	560699	-0.784	6.43	0	0	215	1	5142	5142	0	61	0	0	0	0	0	0	0	1	0.0062232594321275	0.2471800855698172	0.1061843640606767	0.0527032283158304	0.0425904317386231	14	0.0132734725746632	0.3188745603751465	0.1042307692307692	2.6723038140057995	65	0.2038117464021781	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	2	0	9	cc	0.3834	9.0	20284.0	25.0	42.64937882074541	0.5314127043383963	1.0	292.0	4563.0	15426.0	72.6027397260274	32.434801665570895	0.2957992998833139	0.0	0.0			0.0	9.0	8.0	0.0				0.0	14.0	1.0	0.0	0.0	0.0	1.9723865877712032	427.0	407.0	1	1.0	9.0	-0.9956786262173574	3.711132072306842	2.6314437690131722	2.3324384599156054
ENSG00000157423	Q4G0P3	5121	575892	-0.2721	5.96	0	0	207	1	5121	5121	0	0	0	0	0	0	0	0	0	1	0.0185510642452645	0.2314001171646162	0.063659441515329	0.0566295645381761	0.0833821519234524	45	0.0011760094080752	0.2036492054149499	0.1042307692307692	1.4292522265316383	48	0.1349345830892404	0	0	0	0	0	1	0	0	0	0	0	0	0	1	1	3	1	0	0	0	0	0	0	0	0	4	2	5	cc	0.3594	24.0	21046.0	86.0	47.89508695239	0.6217838510860947	0.4375	184.0	5496.0	15363.0	60.32608695652174	42.503639010189225	0.357742628392892	0.0	0.0			0.0	0.0	0.0	0.0				0.0	3.0	1.0	0.0	0.0	0.0	0.0	214.0	213.0	1	0.0	1.0	-1.6020599913279625	3.709354775834396	2.3324384599156054	2.315970345456918
ENSG00000261150	P58107	5088	555658	-0.2645	5.31	0	0	267	1	5088	5088	0	0	0	0	0	17	0	0	0	1	0.0084512578616352	0.2429245283018868	0.0483490566037735	0.0862814465408805	0.0524764150943396	9	0.0021700532649437	0.2278830963665087	0.0683333333333333	0.7037259164124487	39	0.1159591194968553	0	0	1	0	0	1	0	0	0	0	0	0	0	1	1	3	1	0	0	0	0	0	0	0	0	9	5	12	cc	0.4805	3.0	16005.0	2.0	68.1474539206498	0.7241593845305365	0.4375	75.0	663.0	15264.0	66.66666666666666	40.42232277526395	0.0434355345911949	0.0	0.0			0.0	0.0	0.0	0.0				0.0	166.0	1.0	1.0	1.0	0.0	0.0	1827.0	1552.0	1	0.0	7.0	0.7737864449811935	3.7065471026403576	3.2619761913978125	2.4265112613645754
ENSG00000148357	Q8NDA2	5079	544006	-0.1933	5.69	0	1	215	24	5079	5056	40	2	56	0	0	0	0	0	0	1	0.0263053797468354	0.1890822784810126	0.0814873417721519	0.089003164556962	0.0537974683544303	41	0.0	0.0677662957074721	0.0683333333333333	0.860242135315665	45	0.1295490506329114	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	2	1	0	0	0	0	0	0	0	0	3	0	8	cc	0.3952	9.0	15789.0	98.0	64.78561023497372	0.6872354767989789	0.5	119.0	430.0	15237.0	78.15126050420169	66.51162790697674	0.0282207783684452	0.0	0.0			0.0	0.0	0.0	0.0				0.0	13.0	1.0	1.0	0.0	0.0	0.0	301.0	290.0	1	1.0	7.0	-1.4436974992327127	3.705778212828598	2.4800069429571505	2.3324384599156054
ENSG00000196218	P21817	5038	565176	-0.3092	4.96	6	0	242	1	5038	5038	0	6	0	0	0	2	0	0	0	1	0.019849146486701	0.2483128225486304	0.0537911869789599	0.0720524017467248	0.0815799920603414	11	0.0211197449691173	0.2784204228161149	0.0873076923076923	1.0649115420006725	41	0.1224692338229456	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	4	1	17	cc	0.4282	14.0	15400.0	106.0	60.50649350649351	0.6839610762737746	0.8125	139.0	144.0	15114.0	70.50359712230215	60.41666666666666	0.0095275903136165	0.0	0.0			0.0	2.0	2.0	0.0				0.0	107.0	1.0	1.0	1.0	0.0	13.88888888888889	276.0	237.0	1	1.0	2.0	-0.7746907182741372	3.702258163162094	2.4424797690644486	2.383815365980431
ENSG00000138688	Q2LD37	5005	555482	-0.432	6.55	1	0	220	1	5005	5005	0	4	0	0	0	10	0	0	0	1	0.0147852147852147	0.2199800199800199	0.0567432567432567	0.0599400599400599	0.0725274725274725	39	0.0012033694344163	0.1569965870307167	0.1416666666666666	1.990780735291242	56	0.169030969030969	0	0	1	0	0	0	1	1	0	0	0	0	0	0	0	2	1	0	0	0	1	0	0	0	0	7	0	8	cc	0.3961	48.0	16162.0	88.0	41.405766613042935	0.5077639893744221	0.6875	375.0	505.0	15279.0	62.93333333333333	24.95049504950495	0.0330519013024412	0.0	0.0			0.0	6.0	6.0	7.0	50.0	35.0	0.1846428571428571	1.0	160.0	1.0	1.0	1.0	0.0	11.88118811881188	291.0	288.0	1				3.6994040818153375	2.4653828514484184	2.342422680822206
ENSG00000196159	Q6V0I7	4981	542687	-0.2676	4.53	1	1	180	39	4981	4943	38	1	20	0	0	0	0	0	0	1	0.0139591341290714	0.202103985433947	0.057454986850091	0.0724256524377908	0.0772810034392069	41	0.000812347684809	0.1236023582028867	0.0702941176470588	1.0142646453993205	41	0.1256322071616427	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	3	0	3	cc	0.3317	6.0	17151.0	18.0	45.80490933473267	0.5444133597091473	1.0	1035.0	1164.0	14949.0	64.15458937198068	30.412371134020617	0.0778647401163957	0.0	0.0			0.0	10.0	10.0	0.0				0.0	27.0	1.0	1.0	0.0	0.0	8.59106529209622	241.0	239.0	1	1.0	9.0	-1.537602002101044	3.697316541732383	2.383815365980431	2.255272505103306
