ensg	n_Trypsin	n_LysC	n_LysN	n_AspN	n_GluC	n_Chymotrypsin	log_abundance_peak	log_abundance_med	n_tm	log_mw	log_tryptic	length	is_membrane	ms_dark	trypsin_limited	rescued_any	membrane
ENSG00000100298	0	1	0	0	0	0	-1.3467874862246565	-1.3467874862246565	0.0	4.371658839715409	0.8450980400142568	200.0	0.0	True	True	False	False
ENSG00000100344	1	0	0	0	0	0	-1.214670164989233	-1.214670164989233	1.0	4.723168236542887	1.414973347970818	481.0	1.0	True	True	False	True
ENSG00000100926	0	1	0	0	0	0	-0.0741724253752576	-0.0741724253752576	9.0	4.837973325242435	1.3010299956639813	606.0	1.0	True	True	False	True
ENSG00000102145	0	1	1	0	0	0	-0.3736596326249576	-0.3736596326249576	0.0	4.630946277880625	1.0413926851582251	413.0	0.0	True	True	False	False
ENSG00000103260	1	0	0	0	0	0	-2.0457574905606752	-2.0457574905606752	0.0	4.494252020954077	0.9030899869919436	293.0	0.0	True	True	False	False
ENSG00000105204	1	0	0	0	1	0	-0.3990271043132517	-0.3990271043132517	0.0	4.84009354241173	1.4313637641589874	629.0	0.0	True	True	False	False
ENSG00000105467	1	0	0	1	0	0	-1.744727494896694	-1.744727494896694	4.0	4.411956237930402	0.6020599913279624	234.0	1.0	True	True	False	True
ENSG00000105583	1	1	1	0	0	1	-1.0861861476162833	-1.0861861476162833	3.0	4.081635301502951	0.3010299956639812	106.0	1.0	True	True	False	True
ENSG00000106025	1	0	0	0	0	0	-2.221848749616356	-2.221848749616356	4.0	4.548794652434945	1.0413926851582251	305.0	1.0	True	True	False	True
ENSG00000108691	0	2	1	0	0	1	0.3560258571931227	0.3560258571931227	0.0	4.0423785981398765	0.3010299956639812	99.0	0.0	True	True	True	False
ENSG00000111199	0	0	0	1	1	0	-0.8297382846050426	-0.8297382846050426	6.0	4.992469566736334	1.5440680443502757	871.0	1.0	True	True	False	True
ENSG00000111218	1	0	1	0	1	1	0.255272505103306	0.255272505103306	0.0	4.656011909768569	1.3222192947339193	394.0	1.0	True	True	False	True
ENSG00000111319	1	0	0	2	0	0	-2.397940008672037	-2.397940008672037	2.0	4.87911882708307	1.462397997898956	669.0	1.0	True	True	True	True
ENSG00000112033	1	1	0	0	0	0	-1.6989700043360187	-1.6989700043360187	0.0	4.698126654727247	1.3010299956639813	441.0	0.0	True	True	False	False
ENSG00000112183	1	0	0	0	0	0	-0.1536628878701947	-0.1536628878701947	0.0	4.394031192348731	0.6989700043360189	236.0	0.0	True	True	False	False
ENSG00000112378	1	1	1	0	1	3	-0.640164517660112	-0.640164517660112	4.0	4.3301295624875245	0.6989700043360189	193.0	1.0	True	True	True	True
ENSG00000112559	1	1	2	0	0	0	-0.7772835288524167	-0.7772835288524167	0.0	4.398443498303484	0.3010299956639812	246.0	0.0	True	True	True	False
ENSG00000112799	0	2	1	1	1	1	-1.3279021420642825	-1.3279021420642825	0.0	4.252998580156892	0.3010299956639812	162.0	1.0	True	True	True	True
ENSG00000114395	1	1	1	0	0	1	-0.2111248842245832	-0.2111248842245832	6.0	4.379740500992257	0.3010299956639812	222.0	1.0	True	True	False	True
ENSG00000115446	1	1	2	1	0	1	-0.3788237182249648	-0.3788237182249648	5.0	4.4824876901434685	0.4771212547196624	259.0	1.0	True	True	True	True
ENSG00000117090	0	0	0	0	0	1	0.4913616938342727	0.4913616938342727	1.0	4.570904701237179	1.0413926851582251	335.0	1.0	True	True	False	True
ENSG00000117411	1	0	0	0	0	1	-1.6382721639824072	-1.6382721639824072	1.0	4.622959664190499	1.255272505103306	372.0	1.0	True	True	False	True
ENSG00000120149	1	1	1	0	0	0	-0.6252516539898961	-0.6252516539898961	0.0	4.460852757944295	0.9542425094393248	267.0	0.0	True	True	False	False
ENSG00000120742	0	3	3	0	1	2	-1.6575773191777938	-1.6575773191777938	1.0	3.8677031332700977	0.0	66.0	1.0	True	True	True	True
ENSG00000122188	0	1	0	0	0	0	-1.0506099933550872	-1.0506099933550872	1.0	4.644290845128293	1.1760912590556811	398.0	1.0	True	True	False	True
ENSG00000123179	0	0	0	1	2	2	-0.5030703519267851	-0.5030703519267851	4.0	4.36556285679556	0.3010299956639812	206.0	1.0	True	True	True	True
ENSG00000123411	0	0	0	1	1	0	-1.1307682802690238	-1.1307682802690238	0.0	4.806898679205935	1.462397997898956	585.0	0.0	True	True	False	False
ENSG00000124678	1	0	1	0	0	0	-1.6989700043360187	-1.6989700043360187	1.0	4.749280144148331	1.3617278360175928	503.0	1.0	True	True	False	True
ENSG00000124939	0	1	1	0	1	1	0.2648178230095365	0.2648178230095365	0.0	4.03678853310772	0.6989700043360189	95.0	0.0	True	True	False	False
ENSG00000125388	0	1	0	0	0	0	-0.4122890349810886	-0.4122890349810886	0.0	4.823363359070777	1.4771212547196624	578.0	1.0	True	True	False	True
ENSG00000125966	1	1	1	1	0	0	-2.0457574905606752	-2.0457574905606752	1.0	4.864694964650529	1.3010299956639813	645.0	1.0	True	True	False	True
ENSG00000126562	0	1	1	1	1	2	-0.5044556624535516	-0.5044556624535516	0.0	5.1294933198008845	1.5440680443502757	1243.0	0.0	True	True	True	False
ENSG00000126709	1	1	3	1	0	1	-0.8181564120552275	-0.8181564120552275	4.0	4.11149774880803	0.4771212547196624	130.0	1.0	True	True	True	True
ENSG00000127922	0	0	0	8	8	4	-1.853871964321762	-1.853871964321762	0.0	4.148756851321792	0.6020599913279624	128.0	0.0	True	True	True	False
ENSG00000128040	1	0	0	0	0	0	-0.5128616245228135	-0.5128616245228135	0.0	3.968062460076449	0.4771212547196624	84.0	0.0	True	True	False	False
ENSG00000128881	1	1	0	1	1	0	-1.7958800173440752	-1.7958800173440752	0.0	5.138024660716386	1.7853298350107671	1244.0	0.0	True	True	False	False
ENSG00000128917	1	0	0	0	0	0	-2.096910013008056	-2.096910013008056	1.0	4.872767934706479	1.3617278360175928	685.0	1.0	True	True	False	True
ENSG00000130066	1	2	2	0	2	1	-1.619788758288394	-1.619788758288394	0.0	4.301550836600167	0.9542425094393248	171.0	0.0	True	True	True	False
ENSG00000133101	0	0	1	0	0	0	-1.7212463990471711	-1.7212463990471711	0.0	4.718983048773428	1.3424226808222062	465.0	0.0	True	True	False	False
ENSG00000133678	1	1	0	0	0	1	-0.8961962790440431	-0.8961962790440431	3.0	4.153601474288411	0.0	123.0	1.0	True	True	False	True
ENSG00000134057	0	1	1	1	1	0	0.8363241157067517	0.8363241157067517	0.0	4.684279692743619	1.3010299956639813	433.0	0.0	True	True	False	False
ENSG00000135447	0	0	1	0	1	1	-0.5157001606532142	-0.5157001606532142	0.0	4.277357044047016	0.9030899869919436	171.0	0.0	True	True	False	False
ENSG00000135482	1	0	0	0	1	0	-0.9136401693252518	-0.9136401693252518	0.0	4.663248495990033	1.146128035678238	434.0	0.0	True	True	False	False
ENSG00000136867	1	0	0	0	0	0	0.5465426634781311	0.5465426634781311	3.0	4.195373754817413	0.0	143.0	1.0	True	True	False	True
ENSG00000137473	1	1	0	0	1	0	-1.6575773191777938	-1.6575773191777938	0.0	4.74100970088762	1.2787536009528289	475.0	0.0	True	True	False	False
ENSG00000139372	1	1	0	0	0	0	-0.7258421507363202	-0.7258421507363202	0.0	4.663257926411442	1.0	410.0	0.0	True	True	False	False
ENSG00000139515	1	1	0	0	0	0	-1.207608310501746	-1.207608310501746	0.0	4.488141610235919	0.9030899869919436	283.0	0.0	True	True	False	False
ENSG00000139874	1	1	0	0	0	1	-2.096910013008056	-2.096910013008056	7.0	4.630285460043619	1.0	391.0	1.0	True	True	False	True
ENSG00000140287	1	0	0	1	1	0	-2.096910013008056	-2.096910013008056	0.0	4.8700584394161375	1.4771212547196624	662.0	0.0	True	True	False	False
ENSG00000142686	0	0	0	0	1	0	-1.6989700043360187	-1.6989700043360187	0.0	4.397383755657276	1.0413926851582251	229.0	0.0	True	True	False	False
ENSG00000143771	1	0	0	0	0	3	0.9385197251764918	0.9385197251764918	3.0	4.206637011283536	0.3010299956639812	139.0	1.0	True	True	True	True
ENSG00000144659	1	0	0	1	0	0	-1.4814860601221125	-1.4814860601221125	6.0	4.525899590237239	1.230448921378274	304.0	1.0	True	True	False	True
ENSG00000145022	0	0	0	1	1	0	-1.3279021420642825	-1.3279021420642825	2.0	4.054651350441741	0.0	103.0	1.0	True	True	False	True
ENSG00000156009	0	0	0	0	0	0	-0.7471469690201068	-0.7471469690201068	0.0	4.54672769272835	1.1139433523068367	318.0	0.0	True	True	False	False
ENSG00000157303	1	0	0	0	0	0	-0.8728952016351923	-0.8728952016351923	1.0	4.433273671091449	1.1139433523068367	255.0	1.0	True	True	False	True
ENSG00000158373	1	0	2	0	0	0	2.989449817666692	2.989449817666692	0.0	4.144138137663588	0.8450980400142568	126.0	0.0	True	True	True	False
ENSG00000158816	1	0	1	0	0	0	-1.958607314841775	-1.958607314841775	0.0	5.1264626050795785	1.7708520116421442	1220.0	0.0	True	True	False	False
ENSG00000158987	1	1	1	0	0	0	0.3304137733491908	0.3304137733491908	0.0	5.253878113918957	1.8920946026904804	1601.0	1.0	True	True	False	True
ENSG00000159388	1	0	2	0	0	1	-1.5528419686577808	-1.5528419686577808	0.0	4.240948416033038	0.9030899869919436	158.0	0.0	True	True	True	False
ENSG00000159596	1	1	0	0	0	0	-2.5228787452803374	-2.5228787452803374	5.0	4.440137366766757	0.8450980400142568	247.0	1.0	True	True	False	True
ENSG00000160050	1	2	2	2	2	0	-0.583359492661719	-0.583359492661719	0.0	4.343152471662257	0.7781512503836436	200.0	0.0	True	True	True	False
ENSG00000161920	1	0	0	1	0	0	0.6020599913279624	0.6020599913279624	0.0	4.118231648327027	0.7781512503836436	117.0	0.0	True	True	False	False
ENSG00000162594	1	2	0	0	2	1	-1.6777807052660807	-1.6777807052660807	1.0	4.855652391554579	1.3010299956639813	629.0	1.0	True	True	True	True
ENSG00000163235	1	0	0	2	1	1	-1.2839966563652008	-1.2839966563652008	1.0	4.230602174740532	0.6989700043360189	160.0	1.0	True	True	True	True
ENSG00000163293	0	1	0	1	1	1	-0.623423042943488	-0.623423042943488	9.0	4.6497047278555526	1.0	410.0	1.0	True	True	False	True
ENSG00000163923	1	2	2	0	0	0	-1.585026652029182	-1.585026652029182	0.0	3.7988577317474856	0.0	51.0	0.0	True	True	True	False
ENSG00000164508	1	1	1	0	0	1	2.9258275746247424	2.9258275746247424	0.0	4.153326961490906	0.7781512503836436	131.0	0.0	True	True	False	False
ENSG00000165949	0	1	0	0	0	0	-0.1611509092627447	-0.1611509092627447	3.0	4.062281069972644	0.0	122.0	1.0	True	True	False	True
ENSG00000166046	1	0	0	0	0	0	-0.978810700930062	-0.978810700930062	0.0	4.76410885264672	1.414973347970818	519.0	0.0	True	True	False	False
ENSG00000167470	1	0	0	0	0	0	-0.9208187539523752	-0.9208187539523752	0.0	4.692079840216632	1.2041199826559248	468.0	0.0	True	True	False	False
ENSG00000167483	1	0	0	2	1	0	-0.6161846340195687	-0.6161846340195687	0.0	4.888813898075463	1.5440680443502757	697.0	0.0	True	True	True	False
ENSG00000168062	1	1	0	0	0	0	-4.096910013008056	-4.096910013008056	0.0	4.4683177855649125	0.7781512503836436	274.0	0.0	True	True	False	False
ENSG00000168175	1	2	2	0	1	3	0.8733206018153987	0.8733206018153987	0.0	4.385051881670654	0.0	245.0	0.0	True	True	True	False
ENSG00000168329	1	0	1	0	0	0	-1.3098039199714864	-1.3098039199714864	7.0	4.606338363528125	1.146128035678238	355.0	1.0	True	True	False	True
ENSG00000168398	0	0	1	0	0	0	-1.744727494896694	-1.744727494896694	7.0	4.64797922646009	1.0	391.0	1.0	True	True	False	True
ENSG00000168528	1	0	0	1	0	2	0.380211241711606	0.380211241711606	11.0	4.705367580974908	0.9542425094393248	455.0	1.0	True	True	True	True
ENSG00000168890	1	2	1	1	0	0	-2.6989700043360187	-2.6989700043360187	6.0	4.4599199557469165	0.6020599913279624	271.0	1.0	True	True	True	True
ENSG00000169059	1	1	1	0	6	0	-0.6073030467403343	-0.6073030467403343	0.0	4.3014640731433	0.3010299956639812	186.0	0.0	True	True	True	False
ENSG00000169184	0	0	0	1	0	0	-1.8860566476931635	-1.8860566476931635	0.0	5.1335421017002565	1.5314789170422551	1320.0	0.0	True	True	False	False
ENSG00000169908	1	0	0	1	2	5	-0.0438315695246366	-0.0438315695246366	4.0	4.335096674261542	0.3010299956639812	202.0	1.0	True	True	True	True
ENSG00000170166	0	0	1	0	0	0	0.6794278966121189	0.6794278966121189	0.0	4.44537064882758	0.9542425094393248	255.0	0.0	True	True	False	False
ENSG00000170293	0	0	0	0	0	1	-1.0969100130080565	-1.0969100130080565	4.0	4.291635207087901	0.3010299956639812	173.0	0.0	True	True	False	False
ENSG00000170464	1	0	1	0	1	0	-1.958607314841775	-1.958607314841775	1.0	4.618581480328452	1.2041199826559248	358.0	1.0	True	True	False	True
ENSG00000171056	1	1	1	1	1	0	-1.744727494896694	-1.744727494896694	0.0	4.625281575848903	0.9030899869919436	388.0	0.0	True	True	False	False
ENSG00000171469	1	1	2	1	0	0	-1.3979400086720375	-1.3979400086720375	0.0	4.7419154741268175	1.4313637641589874	486.0	0.0	True	True	True	False
ENSG00000172273	1	1	1	0	0	0	-1.2441251443275083	-1.2441251443275083	0.0	4.775814260116117	1.3617278360175928	517.0	0.0	True	True	False	False
ENSG00000173213	0	1	0	0	0	1	2.2764618041732443	2.2764618041732443	0.0	4.695245201818642	1.2041199826559248	444.0	0.0	True	True	False	False
ENSG00000173585	1	1	0	0	0	0	-1.2839966563652008	-1.2839966563652008	7.0	4.623414704409385	1.0	369.0	1.0	True	True	False	True
ENSG00000174600	0	1	0	0	0	0	-1.3010299956639813	-1.3010299956639813	7.0	4.626566182856055	1.0	373.0	1.0	True	True	False	True
ENSG00000175182	1	0	0	1	1	0	-1.2218487496163564	-1.2218487496163564	0.0	4.596630078764982	1.146128035678238	366.0	0.0	True	True	False	False
ENSG00000175197	1	1	2	1	1	0	-1.4559319556497243	-1.4559319556497243	0.0	4.282735372621018	0.4771212547196624	169.0	0.0	True	True	True	False
ENSG00000175548	0	0	0	0	0	1	-0.7144426909922262	-0.7144426909922262	12.0	4.743885885839037	1.255272505103306	473.0	1.0	True	True	False	True
ENSG00000176472	0	2	1	0	0	0	-1.1804560644581312	-1.1804560644581312	0.0	4.427534794089044	1.1760912590556811	245.0	0.0	True	True	True	False
ENSG00000176907	1	1	0	3	0	1	-1.8239087409443189	-1.8239087409443189	0.0	4.09120956473413	0.6020599913279624	106.0	0.0	True	True	True	False
ENSG00000177143	1	1	0	0	0	0	-0.4294570601181025	-0.4294570601181025	0.0	4.291590825658001	0.9542425094393248	172.0	0.0	True	True	False	False
ENSG00000178075	1	0	1	1	0	0	-1.1191864077192086	-1.1191864077192086	1.0	4.881013550279083	1.568201724066995	662.0	1.0	True	True	False	True
ENSG00000178531	1	1	1	1	0	0	-1.744727494896694	-1.744727494896694	1.0	3.956408571195833	0.6989700043360189	82.0	1.0	True	True	False	True
ENSG00000178719	0	1	0	2	0	2	0.3364597338485295	0.3364597338485295	7.0	4.614928838266458	0.6020599913279624	371.0	1.0	True	True	True	True
ENSG00000179388	1	2	2	3	1	3	-2.096910013008056	-2.096910013008056	0.0	4.629542110064862	0.9542425094393248	387.0	0.0	True	True	True	False
ENSG00000181458	1	1	0	0	0	1	-1.6382721639824072	-1.6382721639824072	5.0	4.500785172917456	0.8450980400142568	275.0	1.0	True	True	False	True
ENSG00000181588	0	1	0	1	1	0	0.4828735836087537	0.4828735836087537	0.0	4.812130922172959	1.2787536009528289	651.0	0.0	True	True	False	False
ENSG00000182742	1	1	1	0	0	0	0.0374264979406236	0.0374264979406236	0.0	4.440972018733961	1.0791812460476249	251.0	0.0	True	True	False	False
ENSG00000182916	1	0	1	0	2	0	-0.5287082889410615	-0.5287082889410615	0.0	4.090751689644903	0.7781512503836436	100.0	0.0	True	True	True	False
ENSG00000183066	1	1	1	0	0	1	-1.0969100130080565	-1.0969100130080565	0.0	4.503913193999621	0.9030899869919436	309.0	0.0	True	True	False	False
ENSG00000184260	0	0	1	0	1	0	2.770115294787101	2.770115294787101	0.0	4.145755623637207	0.6989700043360189	129.0	0.0	True	True	False	False
ENSG00000184313	1	0	0	1	1	0	-1.4559319556497243	-1.4559319556497243	2.0	5.163301543568123	1.7323937598229686	1323.0	1.0	True	True	False	True
ENSG00000184330	0	0	0	1	0	0	0.7979596437371962	0.7979596437371962	0.0	4.053270566681379	0.8450980400142568	101.0	0.0	True	True	False	False
ENSG00000184451	1	0	0	0	0	0	-0.9030899869919436	-0.9030899869919436	7.0	4.584512142712952	1.0413926851582251	362.0	1.0	True	True	False	True
ENSG00000184497	1	0	1	1	0	0	-1.337242168318426	-1.337242168318426	4.0	4.539189050875863	0.6989700043360189	326.0	1.0	True	True	False	True
ENSG00000185803	1	0	0	0	0	1	-1.031517051446065	-1.031517051446065	11.0	4.660647327741384	0.8450980400142568	445.0	1.0	True	True	False	True
ENSG00000185885	1	0	0	0	0	1	0.965201701025912	0.965201701025912	1.0	4.145009840142142	0.3010299956639812	125.0	1.0	True	True	False	True
ENSG00000186526	1	0	0	0	0	1	-1.3767507096020994	-1.3767507096020994	1.0	4.778115057668767	1.4471580313422192	520.0	1.0	True	True	False	True
ENSG00000186787	1	0	1	0	0	0	-0.8096683018297085	-0.8096683018297085	0.0	4.4647577316228855	1.1760912590556811	258.0	0.0	True	True	False	False
ENSG00000187609	1	1	0	1	1	0	-2.6989700043360187	-2.6989700043360187	0.0	4.984968134718231	1.6334684555795864	876.0	0.0	True	True	False	False
ENSG00000187627	1	1	3	0	1	0	-0.0145735259169983	-0.0145735259169983	0.0	5.293720451507423	1.9242792860618816	1748.0	0.0	True	True	True	False
ENSG00000188375	1	0	0	0	0	0	1.4828735836087537	1.4828735836087537	0.0	4.182243411919001	0.6020599913279624	135.0	0.0	True	True	False	False
ENSG00000189266	1	3	2	0	1	1	-1.853871964321762	-1.853871964321762	0.0	4.192873971542522	0.9030899869919436	139.0	0.0	True	True	True	False
ENSG00000196214	1	1	0	0	1	0	-1.1804560644581312	-1.1804560644581312	0.0	4.736452279637317	1.3617278360175928	468.0	0.0	True	True	False	False
ENSG00000196376	1	1	1	1	0	2	-0.3851027839668654	-0.3851027839668654	10.0	4.656538983688415	0.9542425094393248	408.0	1.0	True	True	True	True
ENSG00000198225	0	0	0	0	1	1	1.0681858617461617	1.0681858617461617	0.0	4.085611630471647	0.4771212547196624	108.0	0.0	True	True	False	False
ENSG00000198464	1	1	0	0	1	0	-1.3279021420642825	-1.3279021420642825	0.0	4.790341470850629	1.4913616938342726	535.0	0.0	True	True	False	False
ENSG00000198718	1	1	0	0	0	1	-1.8860566476931635	-1.8860566476931635	0.0	5.277288244921026	1.8976270912904412	1720.0	0.0	True	True	False	False
ENSG00000198818	1	1	0	4	1	1	0.1238516409670858	0.1238516409670858	4.0	4.250517585610485	0.7781512503836436	159.0	1.0	True	True	True	True
ENSG00000198840	1	0	0	0	0	2	0.5198279937757188	0.5198279937757188	3.0	4.120113071407684	0.0	115.0	1.0	True	True	True	True
ENSG00000198914	1	0	0	0	0	0	-1.136677139879544	-1.136677139879544	0.0	4.701801042809668	0.9542425094393248	500.0	0.0	True	True	False	False
ENSG00000203805	1	2	1	1	0	0	-1.958607314841775	-1.958607314841775	6.0	4.48280214772046	1.146128035678238	271.0	1.0	True	True	True	True
ENSG00000203857	0	1	1	1	0	2	1.8898617212581883	1.8898617212581883	1.0	4.625847271117809	1.1139433523068367	373.0	1.0	True	True	True	True
ENSG00000203989	1	1	0	0	0	1	-0.7304870557820837	-0.7304870557820837	0.0	4.500195294509041	0.9030899869919436	288.0	0.0	True	True	False	False
ENSG00000204103	1	0	0	1	1	0	-0.8601209135987634	-0.8601209135987634	0.0	4.553785966752555	0.9030899869919436	323.0	0.0	True	True	False	False
ENSG00000204389	1	2	2	0	2	1	2.785329835010767	2.785329835010767	0.0	4.845420539001729	1.505149978319906	641.0	0.0	True	True	True	False
ENSG00000204514	1	0	0	4	2	1	-1.1804560644581312	-1.1804560644581312	0.0	4.98827795682917	1.740362689494244	855.0	0.0	True	True	True	False
ENSG00000204524	0	1	1	1	0	0	-1.537602002101044	-1.537602002101044	0.0	4.852132174821858	1.4313637641589874	627.0	0.0	True	True	False	False
ENSG00000204531	1	3	4	2	4	1	-0.3027706572402824	-0.3027706572402824	0.0	4.586260898623679	1.0	360.0	0.0	True	True	True	False
ENSG00000204967	1	0	0	0	0	0	-1.4814860601221125	-1.4814860601221125	1.0	5.009845915575426	1.591064607026499	947.0	1.0	True	True	False	True
ENSG00000205060	1	1	0	0	1	3	-0.835647144215563	-0.835647144215563	11.0	4.573150204465078	0.9030899869919436	331.0	1.0	True	True	True	True
ENSG00000205155	1	1	3	1	0	0	-1.259637310505756	-1.259637310505756	1.0	4.080229524884867	0.6020599913279624	101.0	1.0	True	True	True	True
ENSG00000205362	0	1	0	0	0	0	0.1931245983544616	0.1931245983544616	0.0	3.786751422145562	0.4771212547196624	61.0	0.0	True	True	False	False
ENSG00000205363	1	1	1	0	1	0	-1.4814860601221125	-1.4814860601221125	0.0	4.504171714775967	0.9542425094393248	293.0	0.0	True	True	False	False
ENSG00000206559	1	1	0	0	2	0	-2.5228787452803374	-2.5228787452803374	0.0	4.6167485032003	1.2041199826559248	356.0	0.0	True	True	True	False
ENSG00000213462	1	1	2	0	0	0	-1.5086383061657274	-1.5086383061657274	0.0	4.832138326993523	1.3222192947339193	604.0	0.0	True	True	True	False
ENSG00000213533	0	0	1	0	0	0	-1.9208187539523751	-1.9208187539523751	5.0	4.520967995333214	1.0791812460476249	294.0	1.0	True	True	False	True
ENSG00000213676	0	0	0	0	1	0	0.3074960379132129	0.3074960379132129	1.0	4.884846321198446	1.3424226808222062	703.0	1.0	True	True	False	True
ENSG00000224712	0	0	1	0	0	0	-2.3010299956639813	-2.3010299956639813	0.0	4.602721785922646	1.1760912590556811	350.0	0.0	True	True	False	False
ENSG00000225190	1	1	2	0	0	1	-0.9244530386074692	-0.9244530386074692	0.0	5.069827136465089	1.6532125137753435	1056.0	0.0	True	True	True	False
ENSG00000235376	0	1	2	1	0	0	0.0293837776852096	0.0293837776852096	0.0	4.398339375914612	0.7781512503836436	228.0	0.0	True	True	True	False
ENSG00000239789	0	1	1	0	0	1	0.8904210188009143	0.8904210188009143	0.0	4.161427900791294	0.6989700043360189	130.0	0.0	True	True	False	False
ENSG00000240583	0	1	0	2	0	2	0.9790929006383264	0.9790929006383264	6.0	4.455240877870955	0.6020599913279624	269.0	1.0	True	True	True	True
ENSG00000241258	0	0	2	0	2	1	0.1238516409670858	0.1238516409670858	0.0	4.227140825423186	0.8450980400142568	148.0	1.0	True	True	True	True
ENSG00000241484	1	0	1	0	0	0	-0.3251388592621884	-0.3251388592621884	0.0	4.728223880133801	1.380211241711606	464.0	0.0	True	True	False	False
ENSG00000243056	0	1	0	1	0	1	-0.3251388592621884	-0.3251388592621884	0.0	4.036349388031838	0.6020599913279624	100.0	0.0	True	True	False	False
ENSG00000246705	0	0	0	1	1	0	2.656098202012832	2.656098202012832	0.0	4.146717035743976	0.6989700043360189	129.0	0.0	True	True	False	False
ENSG00000248098	1	0	0	0	0	0	0.693726948923647	0.693726948923647	0.0	4.703041909651052	1.3222192947339193	445.0	0.0	True	True	False	False
ENSG00000248144	1	0	1	0	0	1	1.4533183400470375	1.4533183400470375	0.0	4.600624449588904	1.2787536009528289	375.0	0.0	True	True	False	False
ENSG00000260027	0	1	1	0	0	1	-0.9208187539523752	-0.9208187539523752	0.0	4.380482590974981	0.7781512503836436	217.0	0.0	True	True	False	False
ENSG00000261052	0	0	0	1	0	0	1.3483048630481609	1.3483048630481609	0.0	4.533975308409208	1.2041199826559248	295.0	0.0	True	True	False	False
ENSG00000268940	0	1	1	0	0	0	-0.5272435506827877	-0.5272435506827877	0.0	4.3278287400942	0.9542425094393248	189.0	0.0	True	True	False	False
ENSG00000273899	0	0	1	0	0	0	-0.342944147142896	-0.342944147142896	0.0	4.392045902924811	0.9542425094393248	213.0	0.0	True	True	False	False
ENSG00000275113	0	0	0	0	0	1	0.436162647040756	0.436162647040756	0.0	4.086964573877051	0.0	110.0	0.0	True	True	False	False
ENSG00000275713	1	1	3	0	0	0	2.989894563718773	2.989894563718773	0.0	4.142764774638724	0.8450980400142568	126.0	0.0	True	True	True	False
ENSG00000275832	1	0	0	0	0	0	-0.5800442515102421	-0.5800442515102421	0.0	5.210029429150484	1.9030899869919435	1491.0	0.0	True	True	False	False
ENSG00000277149	1	1	0	0	0	0	-1.1307682802690238	-1.1307682802690238	0.0	4.886186048169057	1.4771212547196624	668.0	0.0	True	True	False	False
